Authors,Year,First author and year,Title,DOI,Number (% female),Age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,Does the study have a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study apply proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,sensors_type_plot,axes
"Weikert M., Suh Y., Lane A., Sandroff B., Dlugonski D., Fernhall B., Motl R.W.",2012,"Weikert et al, 2012","Accelerometry is associated with walking mobility, not physical activity, in persons with multiple sclerosis",10.1016/J.MEDENGPHY.2011.09.005,33 (81.8),47.5 (10.6),RR: n=28,"PDDS: 2 (median), range: 0-6",9.2 (6.7),not reported,not reported,"healthy
n=33 (82% female)
age: 47.7 (11.3)","ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,1
"Motl R.W., Weikert M., Suh Y., Sosnoff J.J., Pula J., Soaz C., Schimpl M., Lederer C., Daumer M.",2012,"Motl et al, 2012",Accuracy of the actibelt(®) accelerometer for measuring walking speed in a controlled environment among persons with multiple sclerosis,10.1016/J.GAITPOST.2011.09.005,51 (84.3),53.1 (11.3),RR: n=45,"EDSS: 4.0 (median), range: 2.0-6.5, 
mild disability: n = 21, EDDS: range:2-3.5, 
moderate disability: n = 13, EDDS: range: 4.0-5.5,
severe disability: n = 17, EDDS: range: 6.0–6.5",13.4 (9.4),patients on a disease-modifying treatment: n=44 (86%),not reported,none,"Actibelt
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",lab setting (controlled),6 minutes,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,3
"Spain R.I., St. George R.J., Salarian A., Mancini M., Wagner J.M., Horak F.B., Bourdette D.",2012,"Spain et al, 2012",Body-worn motion sensors detect balance and gait deficits in people with multiple sclerosis who have normal walking speed,10.1016/J.GAITPOST.2011.11.026,31 (61.3),"39.8 (mean), range: 24-67 ","RR: n=28; 
high-risk clinically isolated syndromes (one brainstem, one spinal cord, and one pyramidal tract symptoms with cerebral white matter changes): n=3","EDSS: 3.0 (median), range: 0-5.0","6.8 (median), range: 0.2-33",not reported,exclusion criterion: arthritis,"healthy
n=28 (67% female)
age: 37.4 (mean), range: 26 - 60","Xsens
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 6
Primary position: sternum, lower back, wrist, ankle ",lab setting (controlled),not reported,yes,yes,yes,yes,yes,no,yes,no,no,"accelerometer, gyroscope",3
"Coote S., O'Dwyer C.",2012,"Coote et al, 2012",Comparative validity of accelerometer-based measures of physical activity for people with multiple sclerosis,10.1016/J.APMR.2012.05.010,"30 (70.0)
(2 MS groups:
Group MS-A: n=19, 
Group MS-B: n=11)","Group MS-A: 50.6 (mean), 95% CI: 46.5-54.8,
Group MS-B: 56.1 (mean), 95% CI: 49.0-63.2","RR: n=9,
PP: n=1,
SP/P: n=15,
benign: n=5","GNDS total score
Group MS-A: 10.11 (5.87),
Group MS-B: 11.18 (3.74)","2 MS groups:
Group MS-A: 10.16 (8.07),
Group MS-B: 15.36 (9.11)",not reported,not reported,"healthy
n=15 (73% female)
age: 46.1 (mean), range: 39.7 - 52.6        ","SenseWear Armband
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Primary position: upper arm",lab setting (controlled),85 minutes,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,2
"Sosnoff J.J., Socie M.J., Boes M.K., Sandroff B.M., Motl R.W.",2012,"Sosnoff et al, 2012",Does a waist-worn ActiGraph accelerometer quantify community ambulation in persons with multiple sclerosis?,10.1682/JRRD.2011.11.0218,22 (77.3),"46.9 (11.7), range 23-64",not reported,EDSS: 3.0 [2.5] range: 1-6,"11.0 (6.9), range: 1-23",not reported,not reported,none,"ActiGraph, IDEEA system
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Primary position: sternum, waist, upper leg, foot",real-life setting,1 day,yes,no,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Sosnoff J.J., Sandroff B.M., Pula J.H., Morrison S.M., Motl R.W.",2012,"Sosnoff et al, 2012",Falls and physical activity in persons with multiple sclerosis,10.1155/2012/315620,37 (75.7),53.4 (10.0),not reported,EDSS: 5.0 [4],14.6 (10.6),not reported,not reported,"MS patients - no fallers
n=38 (82% female)
age: 50.1 (13.9)
Type: not reported
Severity of MS: 3.0 [2.0]
Disease duration [yrs]: 11.0 (9.6)","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,1 day,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Sandroff B.M., Dlugonski D., Weikert M., Suh Y., Balantrapu S., Motl R.W.",2012,"Sandroff et al, 2012",Physical activity and multiple sclerosis: New insights regarding inactivity,10.1111/J.1600-0404.2011.01634.X,77 (85.7),"47.3 (9.7)	",RR: n=66    ,"PDSS: 1 (median), range: 0-6",10.1 (7.3),not reported,not reported,"healthy
n=66 (85% female)
age: 47.0 (10.5)     ","ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,1
"Motl R.W., McAuley E., Dlugonski D.",2012,"Motl et al, 2012",Reactivity in baseline accelerometer data from a physical activity behavioral intervention,10.1037/A0025965,18 (83.3),45.4 (11.2),RR: n=18,not reported,7.7 (5.5),not reported,"exclusion criteria: contre-indications for physical activity (e.g., cardiovascular disease)","MS patients
n=20 (80% female)
age: 48.3 (9.8)
Type: RR: n=18, not reported: n=2 
Severity of MS: not reported
Disease duration [yrs]: 9.9 (8.9)","ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,accelerometer,1
"Ranadive S.M., Yan H., Weikert M., Lane A.D., Linden M.A., Baynard T., Motl R.W., Fernhall B.",2012,"Ranadive et al, 2012",Vascular dysfunction and physical activity in multiple sclerosis,10.1249/MSS.0B013E31822D7997,33 (81.8),47.0 (1.83),"RR: n=29,
PP: n=1,
SP: n=3","PDSS: 2 (median), range: 0-6",9.2 (6.7),"subjects taking disease-modifying medications: n=25
--> Avonex interferon beta (Biogen Idec, Washington, DC): n = 5
--> Betaseron (Bayer Healthcare Pharmaceuticals, Pinebrook, NJ): n=6
--> Tysabri (Biogen Idec): n=4
--> Copaxone (Teva Pharmaceutical Industries Ltd., Petah Tikva, Israel): n=7
--> Extavia (Novartis Pharmaceuticals Corp., East Hanover, NJ): n=1
--> Rebif (EMD Serono, Inc., Rockland, MA): n=2. In addition, 
subjects taking antispasticity medications: n=10,
subjects taking fatigue medications: n=7",not reported,"healthy
n=33 (82% female)
age: 47.0 (1.97)  ","ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,1
"Pilutti L.A., Dlugonski D., Pula J.H., Motl R.W.",2012,"Pilutti et al, 2012",Weight status in persons with multiple sclerosis: Implications for mobility outcomes,10.1155/2012/868256,168 (77.4),50.9 (10.6),"RR: n=134,
PP: n=11, 
SP: n=19, 
not reported: n=4",PDDS: 3.0 [3.0],11.9 (9.3),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",both,7 days,yes,yes,yes,yes,applies partially,applies partially,no,no,yes,accelerometer,3
"Motl R.W., Pilutti L., Sandroff B.M., Dlugonski D., Sosnoff J.J., Pula J.H.",2013,"Motl et al, 2013",Accelerometry as a measure of walking behavior in multiple sclerosis,10.1111/ANE.12036,256 (81.3),49.5 (10.2),"RR: n=215,
PP: n=13,
SP: n=24, 
not reported: n=4","EDSS: 4.0 [3.5], range: 0-6.5",11.3 (8.7),not reported,exclusion criteria: presence of any risk factors for undertaking excercise taking,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: wrist",real-life setting,7 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Huisinga J.M., Mancini M., St. George R.J., Horak F.B.",2013,"Huisinga et al, 2013",Accelerometry reveals differences in gait variability between patients with multiple sclerosis and healthy controls,10.1007/S10439-012-0697-Y,15 (73.3),43.75 (11.9),not reported,EDSS: 4.21 [1.0],not reported,not reported,"exclusion criteria: any other problems which may affect gait such as vestibular issues, orthopaedic problems, and diabetic neuropathy","healthy
n=15 (80% female)
age: 42.2 (10.3)","MTX Xsens
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 6
Primary position: sternum, upper back, wrist, lower leg",lab setting (controlled),30s,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,"accelerometer, gyroscope",3
"Motl R.W., Pilutti L.A., Learmonth Y.C., Goldman M.D., Brown T.",2013,"Motl et al, 2013",Clinical Importance of Steps Taken per Day among Persons with Multiple Sclerosis,10.1371/JOURNAL.PONE.0073247,786 (84.9),47.3 (10.5),RR: n=705,PDDS: 2.0 [2.0],9.9 (8.0),not reported,not reported,"healthy
n=157 (91% female)
age: 43.4 (9.8)","ActiGraph, Yamax SW-200
Type of sensor: accelerometer, pedometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Sandroff B.M., Motl R.W.",2013,"Sandroff et al, 2013",Comparison of ActiGraph activity monitors in persons with multiple sclerosis and controls.,10.3109/09638288.2012.707745,41 (87.8),47.4 (8.8),"RR: n=37, 
not reported: n=4","PDDS: 1.0 (median), range: 0-4",11.0 (7.9),not reported,exclusion criteria: presence of any risk factors for undertaking excercise taking,"healthy
n=41 (88% female)
age: 47.2 (9.1)","ActiGraph
Type of sensor: accelerometer
Number of axes: 1, 3
Number of wearables: 2
Primary position: waist",both,7 days,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,3
"Filipović Grčić P., Matijaca M., Bilić I., Džamonja G., Lušić I., Čaljkušić K., Čapkun V.",2013,"Grčić et al, 2013",Correlation analysis of visual analogue scale and measures of walking ability in multiple sclerosis patients,10.1007/S13760-013-0187-5,82 (74.4),37.8 (9.9),not reported,"EDSS: 2.5 (median), range: 0-6.5",9.0 (6.3),not reported,"exclusion criteria: presence of a risk factor for strenuous physical activity (cardiovascular disease, hypertension), vision impairment, and orthopedic disease",none,"StepWatch Activity Monitor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: ankle",real-life setting,7 days,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,accelerometer,3
"Hilfiker R., Vaney C., Gattlen B., Meichtry A., Deriaz O., Lugon-Moulin V., Anchisi-Bellwald A.M., Palaci C., Foinant D., Terrier P.",2013,"Hilfiker et al, 2013",Local dynamic stability as a responsive index for the evaluation of rehabilitation effect on fall risk in patients with multiple sclerosis: a longitudinal study.,10.1186/1756-0500-6-260,18 (66.7),"54 (11), range: 37-72",not reported,"EDSS: 5.11 (1.27), range: 3-6.5",not reported,not reported,not reported,none,"Dynaport
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: lower back",lab setting (controlled),3 minutes,yes,yes,yes,applies partially,yes,yes,yes,no,yes,accelerometer,3
"Motl R.W., McAuley E., Sandroff B.M.",2013,"Motl et al, 2013",Longitudinal change in physical activity and its correlates in relapsing-remitting multiple sclerosis.,10.2522/PTJ.20120479,269 (82.9),45.9 (9.6),RR: n=269,PDDS: 2 [3],8.8 (7.0),"subjects taking disease-modifying therapy: n=223,
--> interferon 1a: n=112
--> glatiramer acetate: n=69
--> interferon 1b: n=29",not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,1
"Lamers I., Kerkhofs L., Raats J., Kos D., Van Wijmeersch B., Feys P.",2013,"Lamers et al, 2013",Perceived and actual arm performance in multiple sclerosis: Relationship with clinical tests according to hand dominance,10.1177/1352458513475832,30 (50.0),58.2 (10.9),"PP: n=5, 
SP: n=25","EDSS: 7.5 (median), range: 7.0-8.0",21.8 (11),not reported,"cognitive impairment, intention tremor, paralysis or severe spasticity in both arms, severe orthopaedic, rheumatoid impairment interfering with arm function","healthy
n=30 (33% female)
age: 57.9 (10.9)","Motionlogger
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Primary position: wrist",both,7 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Sandroff B.M., Pilutti L.A., Dlugonski D., Motl R.W.",2013,"Sandroff et al, 2013",Physical activity and information processing speed in persons with multiple sclerosis: A prospective study,10.1016/J.MHPA.2013.08.001,82 (75.6),49.0 (9.1),"RR: n=65,
PP: n=3,
SP: n=10","SR-EDSS: 3.5 (median), range: 0-6.5",11.8 (8.2),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,applies partially,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,3
"Dlugonski D., Pilutti L.A., Sandroff B.M., Suh Y., Balantrapu S., Motl R.W.",2013,"Dlugonski et al, 2013","Steps per day among persons with multiple sclerosis: Variation by demographic, clinical, and device characteristics",10.1016/J.APMR.2012.12.014,645 (85.3),46.3 (10.6),10.1080/10255842.2016.1140747,"PDDS<=2: n=255
PDDS=>3: n=194","<10 years: n=395, 
>10 years: n=250",not reported,not reported,none,"ActiGraph, Yamax SW-200
Type of sensor: accelerometer, pedometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,3
"Morrison S., Sosnoff J.J., Sandroff B.M., Pula J.H., Motl R.W.",2013,"Morrison et al, 2013",The dynamics of finger tremor in multiple sclerosis is affected by whole body position,10.1016/J.JNS.2012.10.007,32 (68.8),59.2 (12.4),not reported,not reported,not reported,not reported,not reported,"healthy
n=12 (33% female)
age: 64.3 (6.8)","V94-41
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 2
Primary position: hand",lab setting (controlled),30s,yes,yes,yes,applies partially,yes,applies partially,yes,no,yes,accelerometer,1
"Learmonth Y.C., Dlugonski D.D., Pilutti L.A., Sandroff B.M., Motl R.W.",2013,"Learmonth et al, 2013","The reliability, precision and clinically meaningful change of walking assessments in multiple sclerosis",10.1177/1352458513483890,82 (75.6),49.2 (9.0),"RR: n=65, 
PP: n=7, 
SP: n=10","SR-EDSS: 3.5 (2.0), 3.5 [3.5], range: 0-6.5,
PDDS: 2.6 (1.8), 3 [3], range: 0-6","11.8 (8.2), range: 0.5-32",not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,6 months,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Learmonth Y.C., Motl R.W., Sandroff B.M., Pula J.H., Cadavid D.",2013,"Learmonth et al, 2013",Validation of patient determined disease steps (PDDS) scale scores in persons with multiple sclerosis,10.1186/1471-2377-13-37,96 (80.2),"53.5 (14), range: 30-78",RR: n=79,"EDDS: 4.5 [3.0], range: 2-6.5,
PDDS: 3.0 [3.0], range: 0-6","9 (12), range: 1-43",not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Sandroff B.M., Riskin B.J., Agiovlasitis S., Motl R.W.",2014,"Sandroff et al, 2014","Accelerometer cut-points derived during over-ground walking in persons with mild, moderate, and severe multiple sclerosis",10.1016/J.JNS.2014.02.024,54 (83.3),50.9 (9.2),"RR: n=42,
PP: n=6,
SP: n=5,
not reported: n=1","EDDS: 4.0 (median), range: 1.0-6.5",11.9 (7.5),not reported,"inclusion criteria: absence of risk-factors for undertaking strenuous physical activity (e.g., cardiovascular diseases, diabetes, hyperlipidemia, and hypertension) ",none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",lab setting (controlled),1 day,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,"accelerometer, gyroscope",3
"Sandroff B.M., Motl R.W., Kam J.P., Pula J.H.",2014,"Sandroff et al, 2014",Accelerometer measured physical activity and the integrity of the anterior visual pathway in multiple sclerosis,10.1016/J.MSARD.2013.06.014,84 (78.6), 51.8 (11.3),"RR: n= 69,
PP: n=4, 
SP: n= 7, 
not reported: n= 4","EDDS: 4.5 (median), range: 2.0-6.5", 10.8 (9.3),not reported,"exclusion criteria: ocular disease (current or prior history of optic neuritis, glaucoma, macular degeneration, etc., assessed by a neuro-ophthalmologist) or (b) high myopia (minus 7.5 or higher)",none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Sandroff B.M., Motl R.W., Pilutti L.A., Learmonth Y.C., Ensari I., Dlugonski D., Klaren R.E., Balantrapu S., Riskin B.J.",2014,"Sandroff et al, 2014",Accuracy of StepWatch™ and ActiGraph accelerometers for measuring steps taken among persons with multiple sclerosis,10.1371/JOURNAL.PONE.0093511,63 (76.2),50.68 (9.22),RR: n=50,"EDSS: 4.0 (median), range: 1.0-6.5",12.83 (8.50),not reported,"Inclusion criteria: Absence of risk-factors for undertaking strenuous physical activity (e.g., cardiovascular diseases, diabetes, hyperlipidemia, and hypertension)",none,"ActiGraph, StepWatch Activity Monitor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Primary position: waist, ankle",real-life setting,1 day,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Spain R.I., Mancini M., Horak F.B., Bourdette D.",2014,"Spain et al, 2014","Body-worn sensors capture variability, but not decline, of gait and balance measures in multiple sclerosis over 18 months",10.1016/J.GAITPOST.2013.12.010,27 (66.7),"41 (mean), range: 24-67",RR: n=27,"SR-EDSS: 3.3 (mean), 4.0 (median), range: 0-5.5","10 (mean), 5 (median), range: 0-46","subjects taking disease modifying therapy: n=16,
4-aminopyridine: n=1",not reported,"healthy
n=18 (78% female)
age: 34 (mean), range: 27–60","Xsens
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 6
Primary position: waist",both,30s,no,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope",3
"Shammas L., Zentek T., von Haaren B., Schlesinger S., Hey S., Rashid A.",2014,"Shammas et al, 2014",Home-based system for physical activity monitoring in patients with multiple sclerosis (Pilot study),10.1186/1475-925X-13-10,11 (63.6),41 (9.3),"RR: n=8,
PP: n=1,
SP: n=2","Group EDSS 1-2.5: EDSS: 1.75 (0.82),
Group EDSS 3-5: EDSS: 4.40 (0.89)
  ",2.18 (10.67),not reported,not reported,none,"Move II activity sensor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Primary position: waist, ankle",real-life setting,10 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Schwartz C.E., Ayandeh A., Motl R.W.",2014,"Schwartzt et al, 2014",Investigating the minimal important difference in ambulation in multiple sclerosis: A disconnect between performance-based and patient-reported outcomes?,10.1016/J.JNS.2014.10.021,269 (82.9),45.85 (9.73),RR: n=269,"PDDS: 2 [3],
MSWS: 36.0 (28.2)",8.8 (7.0),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,7 days,yes,yes,yes,yes,applies partially,applies partially,yes,no,no,accelerometer,1
"Balantrapu S., Sosnoff J.J., Pula J.H., Sandroff B.M., Motl R.W.",2014,"Balantrapu et al, 2014",Leg spasticity and ambulation in multiple sclerosis,10.1155/2014/649390,44 (72.7),52.8 (7.6),RS: n=36,"EDSS: 6 (median), range: 2.5-6.5  ","10.3 (8.4), range: 0-39",not reported,not reported,"MS patients without spasticity
n=40 (90% female)
age: 47.7 (11.1)
Type: RR: n=37
Severity of MS: EDDS: 3.5 [2.0-6.5]
Disease duration [yrs]: 11.5 (9.7), range: 0-39","ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",real-life setting,7 days,applies partially,yes,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,3
"Sandroff B.M., Dlugonski D., Pilutti L.A., Pula J.H., Benedict R.H.B., Motl R.W.",2014,"Sandroff et al, 2014",Physical activity is associated with cognitive processing speed in persons with multiple sclerosis,10.1080/10255842.2016.1140747,212 (80.2),50.0 (10.3),"RR: n=173,
PP: n=12, 
SP: n= 22,
not reported: n=5","PASAT: 42.6 (12.2),
SDMT: 46.3 (11.6)",11.4 (8.8),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",both,7 days,yes,yes,yes,yes,yes,applies partially,yes,no,yes,accelerometer,3
"Huisinga, JM; St George, RJ; Spain, R; Overs, S; Horak, FB",2014,"Huisinga et al, 2014",Postural Response Latencies Are Related to Balance Control During Standing and Walking in Patients With Multiple Sclerosis,10.1016/J.APMR.2014.01.004,40 (80.0),"severity group:
mild: 41.4 (10.5),
moderate: 50.3 (11.8)",not reported,"mild MS group: SR-EDSS: 3.9 (1.2)
moderate MS group: SR-EDSS: 5.0 (1.3)",not reported,not reported,not reported,"healthy
n=20 (85% female)
age: 41.8 (10.7)","MTX Xsens
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 6
Primary position: sternum, upper back, wrist, lower leg",lab setting (controlled),,yes,yes,yes,yes,applies partially,no,applies partially,no,yes,"accelerometer, gyroscope",3
"Carpinella I., Cattaneo D., Ferrarin M.",2014,"Carpinella et al, 2014",Quantitative assessment of upper limb motor function in Multiple Sclerosis using an instrumented Action Research Arm Test,10.1186/1743-0003-11-67,21 (42.9),47.4 (9.0),"RR: n=10, 
PP: n=4, 
SP: n=7","EDSS: 7 (median), range: 2-8.5 ","15 (median), range: 1-33",not reported,not reported,"healthy
n=12 (42% female)
age: 44.3 (9.5)","MTX Xsens
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Primary position: lower arm",lab setting (controlled),,yes,yes,yes,yes,yes,yes,yes,no,yes,"accelerometer, gyroscope, magnetometer",3
"Ickmans K., Simoens F., Nijs J., Kos D., Cras P., Willekens B., Meeus M.",2014,"Ickmans et al, 2014",Recovery of peripheral muscle function from fatiguing exercise and daily physical activity level in patients with multiple sclerosis: A case-control study,10.1016/J.CLINEURO.2014.04.021,19 (68.4),39.74 (10.67),not reported,EDSS: 1.64 (1.02),83.52 (68.50) months,not reported,not reported,"healthy
n=32 (69% female)
age: 39.3 (13.9)","Actical
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: wrist",real-life setting,8 days,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,accelerometer,3
"Motl R.W., McAuley E., Klaren R.",2014,"Motl et al, 2014",Reliability of physical-activity measures over six months in adults with multiple sclerosis: Implications for designing behavioral interventions,10.1080/08964289.2013.821966,567 (83.6),"47.0 (10.0), range: 19-84","RR: n=519, 
PP: n=12, 
SP: n=36","PDDS: 2.0 (median), range: 0-6","9.6 (7.5), range: 1-37",not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,6 months,yes,no,yes,yes,applies partially,applies partially,yes,no,yes,accelerometer,1
"Suh Y., Joshi I., Olsen C., Motl R.W.",2014,"Suh et al, 2014",Social cognitive predictors of physical activity in relapsing-remitting multiple sclerosis,10.1007/S12529-013-9382-2,68 (82.4),49.1 (8.8),RR: n=68,PDDS: 2 [0-3],12.1 (7.9),not reported,not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: waist",real-life setting,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,1
"Motl R.W., Learmonth Y.C., Pilutti L.A., Dlugonski D., Klaren R.",2014,"Motl et al, 2014",Validity of minimal clinically important difference values for the multiple sclerosis walking scale-12?,10.1159/000356116,82 (80.5),49.2 (9.0),RR: n=67,PDDS: 3.0 [3],11.8 (8.2) ,"subjects taking disease-modifying therapy at baseline: n=63,
subjects taking disease-modifying therapy at follow-up: n=57,
subjects taking symptomatic agents at baseline and follow-up: n=41,
fampridine at baseline: n=5,
fampridine at follow-up: n=7",not reported,none,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Primary position: waist",both,7 days,yes,yes,yes,yes,applies partially,yes,yes,no,yes,accelerometer,3
"Ayache S.-S., Al-ani T., Farhat W.-H., Zouari H.-G., Créange A., Lefaucheur J.-P.",2015,"Ayache et al, 2015",Analysis of tremor in multiple sclerosis using Hilbert-Huang Transform,10.1016/J.NEUCLI.2015.09.013,"16 (75.0)
(MS patients with tremor)","49.6 (10.7), range: 31-74",not reported,"EDSS: 4.4 (2.4), range: 1.5-8.5",not reported,not reported,exclusion criteria: other neurological or psychiatric diseases,"MS patients without tremor
n=10 (60% female)
age: 47.9 (6.6), range: 35-58 
Type: not reported
Severity of MS: EDDS: 33.4 (1.6), range: 2 -6
Disease duration [yrs]: not reported","TREM0000
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Primary position: hand",lab setting (controlled),not reported,yes,yes,yes,applies partially,applies partially,yes,yes,no,yes,accelerometer,1
J. Gong,2015,"Gong et al, 2015",Causal analysis of inertial body sensors for enhancing gait assessment separability towards multiple sclerosis diagnosis,10.1109/BSN.2015.7299400,28 (46.4),not reported,not reported,not reported,not reported,not reported,not reported,"healthy
n=13 (female ratio not reported)
age: not reported","Inertial sensors
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 5
Primary position: lower back, wrist, ankle",lab setting (controlled),6 minutes,yes,no,no,no,yes,yes,yes,no,no,"accelerometer, gyroscope",3
J. Gong,2015,"Gong et al, 2015",Correlations between inertial body sensor measures and clinical measures in multiple sclerosis,10.4108/EAI.28-9-2015.2261504,41 (not reported),not reported,not reported,"inclusion criteria: no participants with
severe walking disability (EDSS ≥ 4.5)",not reported,not reported,not reported,none,"Inertial sensors
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 5
Primary position: lower back, wrist, ankle",lab setting (controlled),6 minutes,yes,no,no,no,yes,yes,yes,no,applies partially,"accelerometer, gyroscope",3
