Authors,Year,First author and year,Title,DOI,Number of MS patients,"Thereof female, n",Age,average_age,Type of MS,Severity,Duration of disease in years,Treatments,Comorbidities,Comparator populuation Type (healthy or other),"Comparator population, number (number of females)",Wearable,Context,Duration wearable was worn,clinicaltrials.gov identifier (NCT),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., reporting confidence intervals / standard deviations)?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective participant acceptability,Subjective participant acceptability - Effect,Comment
"Sandroff B.M., Motl R.W., Pilutti L.A., Learmonth Y.C., Ensari I., Dlugonski D., Klaren R.E., Balantrapu S., Riskin B.J.",2014,"Sandroff et al, 2014",Accuracy of StepWatch™ and ActiGraph accelerometers for measuring steps taken among persons with multiple sclerosis,10.1371/JOURNAL.PONE.0093511,63,48,50.68 (9.22),50.68,"RR: n=50,
not reported: n=13","EDSS: 4.0 (median), range: 1.0-6.5",12.83 (8.50),not reported,"Inclusion criteria: Absence of risk-factors for undertaking strenuous physical activity (e.g., cardiovascular diseases, diabetes, hyperlipidemia, and hypertension)",none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist

StepWatch Activity Monitor
Type of sensor: mechanical pedometer
Number of wearables: 1
Position: ankle",real-world,1 day,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,significant,no,,no,,no,,no,,no,,
"Spain R.I., Mancini M., Horak F.B., Bourdette D.",2014,"Spain et al, 2014","Body-worn sensors capture variability, but not decline, of gait and balance measures in multiple sclerosis over 18 months",10.1016/J.GAITPOST.2013.12.010,27,18,"41 (mean), range: 24-67",41,RR: n=27,"SR-EDSS: 3.3 (mean), 4.0 (median), range: 0-5.5","10 (mean), 5 (median), range: 0-46","subjects taking disease modifying therapy: n=16,
4-aminopyridine: n=1",not reported,healthy,"healthy
n=18 (78% female)
age: 34 (mean), range: 27-60","Xsens
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 6
Position: waist",mixed,30s,,no,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,Lab: Physical activity,Lab: Gait,,no,,no,,yes,significant,yes,significant,no,,no,,yes,some significant,no,,no,,
"Shammas L., Zentek T., von Haaren B., Schlesinger S., Hey S., Rashid A.",2014,"Shammas et al, 2014",Home-based system for physical activity monitoring in patients with multiple sclerosis (Pilot study),10.1186/1475-925X-13-10,11,7,41 (9.3),41,"RR: n=8,
PP: n=1,
SP: n=2","Group EDSS 1-2.5: EDSS: 1.75 (0.82),
Group EDSS 3-5: EDSS: 4.40 (0.89)",2.18 (10.67),not reported,not reported,none,none,"Move II activity sensor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Position: waist, ankle",real-world,10 days,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,no,,yes,significant,no,,no,,
"Schwartz C.E., Ayandeh A., Motl R.W.",2014,"Schwartzt et al, 2014",Investigating the minimal important difference in ambulation in multiple sclerosis: A disconnect between performance-based and patient-reported outcomes?,10.1016/J.JNS.2014.10.021,269,223,45.85 (9.73),45.85,RR: n=269,"PDDS: 2 [3],
MSWS: 36.0 (28.2)",8.8 (7.0),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,applies partially,yes,no,no,RW: Physical activity,,,,no,,yes,non-significant,no,,no,,no,,no,,yes,non-significant,no,,no,,
"Balantrapu S., Sosnoff J.J., Pula J.H., Sandroff B.M., Motl R.W.",2014,"Balantrapu et al, 2014",Leg spasticity and ambulation in multiple sclerosis,10.1155/2014/649390,44,32,52.8 (7.6),52.8,"RR: n=36,
not reported: n=8","EDSS: 6 (median), range: 2.5-6.5 ","10.3 (8.4), range: 0-39",not reported,not reported,MS patients,"MS patients (without spasticity)
n=40 (90% female)
age: 47.7 (11.1)
Type: RR: n=37
Severity: EDDS: 3.5 [2.0-6.5]
Disease duration: 11.5 (9.7)","ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,applies partially,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,RW: Dexterity/Tremor,,,no,,no,,no,,yes,significant,no,,no,,no,,no,,no,,
"Sandroff B.M., Dlugonski D., Pilutti L.A., Pula J.H., Benedict R.H.B., Motl R.W.",2014,"Sandroff et al, 2014",Physical activity is associated with cognitive processing speed in persons with multiple sclerosis,10.1016/J.MSARD.2013.04.003,212,170,50.0 (10.3),50,"RR: n=173,
PP: n=12, 
SP: n=22,
not reported: n=5","PASAT: 42.6 (12.2),
SDMT: 46.3 (11.6)",11.4 (8.8),not reported,not reported,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",mixed,7 days,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Huisinga, JM; St George, RJ; Spain, R; Overs, S; Horak, FB",2014,"Huisinga et al, 2014",Postural Response Latencies Are Related to Balance Control During Standing and Walking in Patients With Multiple Sclerosis,10.1016/J.APMR.2014.01.004,40,32,"severity group:
mild: 41.4 (10.5),
moderate: 50.3 (11.8)",45.9,not reported: n=40,"mild MS group: SR-EDSS: 3.9 (1.2)
moderate MS group: SR-EDSS: 5.0 (1.3)",not reported,not reported,not reported,healthy,"healthy
n=20 (85% female)
age: 41.8 (10.7)","Xsens MTx
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Position: sternum, lower back, wrist, lower leg",laboratory,not reported,,yes,yes,yes,yes,applies partially,no,applies partially,no,yes,Lab: Physical activity,Lab: Balance,,,no,,no,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,
"Carpinella I., Cattaneo D., Ferrarin M.",2014,"Carpinella et al, 2014",Quantitative assessment of upper limb motor function in Multiple Sclerosis using an instrumented Action Research Arm Test,10.1186/1743-0003-11-67,21,9,47.4 (9.0),47.4,"RR: n=10, 
PP: n=4, 
SP: n=7","EDSS: 7 (median), range: 2-8.5 ","15 (median), range: 1-33",not reported,not reported,healthy,"healthy
n=12 (42% female)
age: 44.3 (9.5)","Xsens MTx
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: lower arm",laboratory,not reported,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Physical activity,,,,no,,no,,yes,significant,no,,no,,no,,no,,no,,no,,
"Ickmans K., Simoens F., Nijs J., Kos D., Cras P., Willekens B., Meeus M.",2014,"Ickmans et al, 2014",Recovery of peripheral muscle function from fatiguing exercise and daily physical activity level in patients with multiple sclerosis: A case-control study,10.1016/J.CLINEURO.2014.04.021,19,13,39.74 (10.67),39.74,not reported: n=19,EDSS: 1.64 (1.02),83.52 (68.50) months,not reported,not reported,healthy,"healthy
n=32 (69% female)
age: 39.3 (13.9)","Actical
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",real-world,8 days,,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,yes,significant,no,,no,,no,,no,,no,,no,,
"Motl R.W., McAuley E., Klaren R.",2014,"Motl et al, 2014",Reliability of physical-activity measures over six months in adults with multiple sclerosis: Implications for designing behavioral interventions,10.1080/08964289.2013.821966,567,474,"47.0 (10.0), range: 19-84",47,"RR: n=519, 
PP: n=12, 
SP: n=36","PDDS: 2.0 (median), range: 0-6","9.6 (7.5), range: 1-37",not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,6 months,,yes,no,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,no,,no,,yes,significant,no,,no,,no,,
"Suh Y., Joshi I., Olsen C., Motl R.W.",2014,"Suh et al, 2014",Social cognitive predictors of physical activity in relapsing-remitting multiple sclerosis,10.1007/S12529-013-9382-2,68,56,49.1 (8.8),49.1,RR: n=68,PDDS: 2 [0-3],12.1 (7.9),not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,not reported,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Motl R.W., Learmonth Y.C., Pilutti L.A., Dlugonski D., Klaren R.",2014,"Motl et al, 2014",Validity of minimal clinically important difference values for the multiple sclerosis walking scale-12?,10.1159/000356116,82,66,49.2 (9.0),49.2,"RR: n=67,
not reported: n=15",PDDS: 3.0 [3],11.8 (8.2),"subjects taking disease-modifying therapy at baseline: n=63,
subjects taking disease-modifying therapy at follow-up: n=57,
subjects taking symptomatic agents at baseline and follow-up: n=41,
fampridine at baseline: n=5,
fampridine at follow-up: n=7",not reported,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",mixed,7 days,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,Lab: Physical activity,,,no,,no,,no,,no,,no,,yes,significant,no,,no,,no,,
"Ayache S.-S., Al-ani T., Farhat W.-H., Zouari H.-G., Créange A., Lefaucheur J.-P.",2015,"Ayache et al, 2015",Analysis of tremor in multiple sclerosis using Hilbert-Huang Transform,10.1016/J.NEUCLI.2015.09.013,16,12,"49.6 (10.7), range: 31-74",49.6,not reported: n=16,"EDSS: 4.4 (2.4), range: 1.5-8.5",not reported,not reported,exclusion criteria: other neurological or psychiatric diseases,MS patients,"MS patients (without tremor)
n=10 (60% female)
age: 47.9 (6.6)
Severity: EDDS: 33.4 (1.6)
Disease duration: not reported","MiR TREM0000
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: hand",laboratory,not reported,,yes,yes,yes,applies partially,applies partially,yes,yes,no,yes,Lab: Dexterity/Tremor,,,,no,,no,,no,,yes,significant,no,,no,,no,,no,,no,,
J. Gong,2015,"Gong et al, 2015",Causal analysis of inertial body sensors for enhancing gait assessment separability towards multiple sclerosis diagnosis,10.1109/BSN.2015.7299400,28,13,not reported,NA,not reported: n=28,not reported,not reported,not reported,not reported,healthy,"healthy
n=13 (female ratio not reported)
age: not reported","TEMPO Inertial sensors
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 5
Position: lower back, wrist, ankle",laboratory,6 minutes,,yes,no,no,no,yes,yes,yes,no,no,Lab: Physical activity,,,,no,,no,,yes,significant,no,,no,,no,,no,,no,,no,,
J. Gong,2015,"Gong et al, 2015",Correlations between inertial body sensor measures and clinical measures in multiple sclerosis,10.4108/EAI.28-9-2015.2261504,41,not reported,not reported,NA,not reported: n=41,inclusion criteria: no participants with severe walking disability (EDSS ≥ 4.5),not reported,not reported,not reported,none,none,"TEMPO Inertial sensors
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 5
Position: lower back, wrist, ankle",laboratory,6 minutes,,yes,no,no,no,yes,yes,yes,no,applies partially,Lab: Physical activity,,,,yes,significant,yes,significant,no,,no,,no,,no,,no,,no,,no,,
"Solomon A.J., Jacobs J.V., Lomond K.V., Henry S.M.",2015,"Solomon et al, 2015",Detection of postural sway abnormalities by wireless inertial sensors in minimally disabled patients with multiple sclerosis: A case-control study,10.1186/S12984-015-0066-9,20,16,"40 (mean), 95% CI: 35-45",40,not reported: n=20,"EDSS: 2.0 (median), range: 1.0-2.5","4 (mean), 95% CI: 1-7",exclusion criteria: Dalfampridine medication,"exclusion criteria: severe pain that limited mobility, significant vision impairment limiting mobility or balance, and any additional neurological or medical conditions that may impair walking or balance, including but not limited to stroke, neuropathy, low back pain, depression, or arthritis",healthy,"healthy
n=20 (80% female)
age: not reported","APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Position: sternum, lower back, wrist, ankle",laboratory,15 minutes (for MS patients: 21 minutes),,yes,yes,yes,applies partially,yes,yes,yes,no,no,Lab: Physical activity,Lab: Balance,,,no,,yes,significant,yes,significant,no,,no,,no,,no,,no,,no,,
"Kahraman T., Savci S., Coskuner-Poyraz E., Ozakbas S., Idiman E.",2015,"Kahraman et al, 2015",Determinants of physical activity in minimally impaired people with multiple sclerosis,10.1016/J.CLINEURO.2015.07.018,52,35,36 (8),36,"RR: n=43,
CIS: n=9",EDSS: 1.5 (1.0),5 (4.0),not reported,not reported,none,none,"Caltrac
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,significant,no,,no,,no,,no,,no,,
R. Motl,2015,"Motl et al, 2015",Does the effect of a physical activity behavioral intervention vary by characteristics of people with multiple sclerosis?,10.7224/1537-2073.2014-016,41,30,48.4 (9.1),48.4,"RR: n=31, 
P: n=10","PDDS mild: n=22,
PDDS moderate: n=19",10.6 (7.1),subjects taking symptomatic medications: n=23,not reported,MS patients,"MS patients (waitlist control)
n=41 (78% female)
age: 49.5 (9.2)
Type: RR: n=43, PP: n=7, SP: n=7
Severity: PDDS mild: n=17, PDDS moderate: n=24
Disease duration: 13.0 (9.1)","Yamax SW-401
Type of sensor: mechanical pedometer
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,significant,no,,no,,no,,yes,significant,no,,
"Stellmann J.P., Neuhaus A., Götze N., Briken S., Lederer C., Schimpl M., Heesen C., Daumer M.",2015,"Stellmann et al, 2015",Ecological validity of walking capacity tests in multiple sclerosis,10.1371/JOURNAL.PONE.0123822,28,18,"45 [38-51], range: 27-68",45,"RR: n=14,
PP: n=5, 
SP: n=8,
not reported: n=1","EDSS: 3.2 [2.5-4.1], range: 1-6.5","9 [4-17], range: 1-24",not reported,not reported,none,none,"Actibelt
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",mixed,7 days,,yes,no,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,Lab: Gait,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Kasser S.L., Jacobs J.V., Ford M., Tourville T.W.",2015,"Kasser et al, 2015","Effects of balance-specific exercises on balance, physical activity and quality of life in adults with multiple sclerosis: a pilot investigation",10.3109/09638288.2015.1019008,10,8,"52 (mean), 95% CI: 45-59",52,"RR: n=7, 
PP: n=2,
SP: n=1","EDSS: 3.1 (1.73), range: 1-6",not reported,not reported,not reported,none,none,"ActiGraph GT1M
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 7
Position: sternum, waist, wrist, ankle, not reported

APDM Opal IMU
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 6
Position: wrist, ankle, waist, others (chest)",mixed,7 days,,yes,yes,yes,yes,yes,applies partially,no,no,yes,RW: Physical activity,Lab: Gait,Lab: Balance,,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,yes,some significant,no,,
"Bove R., White C.C., Giovannoni G., Glanz B., Golubchikov V., Hujol J., Jennings C., Langdon D., Lee M., Legedza A., Paskavitz J., Prasad S., Richert J., Robbins A., Roberts S., Weiner H., Ramachandran R., Botfield M., De Jager P.L.",2015,"Bove et al, 2015",Evaluating more naturalistic outcome measures,10.1212/NXI.0000000000000162,22,16,34.3 (11.0),34.3,"RR: n=15,
PP: n=9, 
SP: n=4, 
NMO: n=1, 
not reported: n=2",EDSS: 2.5 (2.4),8.0 (6.0),not reported,not reported,healthy,"healthy (cohabitants)
n=17 (53% female)
age: 39.9 (10.5)","HTC Sensation 4G (smartphone)
Custom app
Type of sensor: touchscreen
Number of wearables: 1
Position: hand",real-world,12 months,,yes,no,yes,yes,applies partially,applies partially,yes,no,yes,RW: Dexterity/Tremor,,,,no,,yes,some significant,yes,some significant,no,,no,,no,,yes,some significant,no,,no,,
"Sandroff B.M., Motl R.W., Sosnoff J.J., Pula J.H.",2015,"Sandroff et al, 2015",Further validation of the Six-Spot Step Test as a measure of ambulation in multiple sclerosis,10.1016/J.GAITPOST.2014.10.011,96,77,52.7 (11.1),52.7,"RR: n=79,
P: n=13,
not reported: n=4","EDSS: 4.5 (median), range: 2-6.5",11.8 (10.0),not reported,not reported,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,no,,yes,significant,no,,no,,no,,no,,no,,
"Carpinella I., Cattaneo D., Ferrarin M.",2015,"Carpinella et al, 2015",Hilbert-Huang transform based instrumental assessment of intention tremor in multiple sclerosis,10.1088/1741-2560/12/4/046011,20,8,46.4 (8.5),46.4,"RR: n=9, 
PP: n=4, 
SP: n=7","EDSS: 6.2 (1.6), range: 2-8.5","15 .4 (11.6), range: 1-33",not reported,not reported,healthy,"healthy (cohabitants)
n=13 (38% female)
age: 44.2 (9)","Xsens MTx
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: hand",laboratory,not reported,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Dexterity/Tremor,,,,no,,yes,some significant,yes,some significant,yes,some significant,no,,no,,no,,no,,no,,
"Blikman L.J., Van Meeteren J., Horemans H.L., Kortenhorst I.C., Beckerman H., Stam H.J., Bussmann J.B.",2015,"Blikman et al, 2015",Is physical behavior affected in fatigued persons with multiple sclerosis?,10.1016/J.APMR.2014.08.023,23,18,"45.7 (10.2), range: 24-66",45.7,"RR: n=20, 
SP: n=3",EDSS : 2.0 [3.0],"9.3 (7.1), range: 0-21",not reported,exclusion criteria: no depression,healthy,"healthy (nonfatigued)
n=23 (78% female)
age: 45.7(10.2)","ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,Clinical Trial Registration No.: ISRCTN 82353628.,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,
"Ezeugwu V., Klaren R.E., Hubbard E.A., Manns P., Motl R.W.",2015,"Ezeugwu et al, 2015",Mobility disability and the pattern of accelerometer-derived sedentary and physical activity behaviors in people with multiple sclerosis,10.1016/J.PMEDR.2015.03.007,439,372,47.3 (10.0),47.3,"RR: n=395,
PP: n=9, 
SP: n=27, 
benign: n=6,
not reported: n=2","PDDS<=2: n=245,
PDDS>=3 : n=194","<= 10 years: n=279,
> 10 years: n=159",not reported,not reported,none,none,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,
"Klaren R.E., Hubbard E.A., Motl R.W., Pilutti L.A., Wetter N.C., Sutton B.P.",2015,"Klaren et al, 2015",Objectively Measured Physical Activity Is Associated with Brain Volumetric Measurements in Multiple Sclerosis,10.1155/2015/482536,39,30,48.7 (9.6),48.7,"RR: n=30, 
P: n=9",EDSS: 4.5 [2.5],10.3 (8.5),not reported,not reported,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: not reported",real-world,7 days,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,some significant,no,,no,,no,,no,,no,,no,,no,,
"Rice I.M., Rice L.A., Motl R.W.",2015,"Rice et al, 2015",Promoting Physical Activity Through a Manual Wheelchair Propulsion Intervention in Persons with Multiple Sclerosis,10.1016/J.APMR.2015.06.011,9,6,53.3 (11.1),53.3,"RR: n=3,
PP: n=2,
SP: n=4",inclusion criteria: full-time wheelchair user,13.2 (8.9),not reported,exclusion criteria: no cardiovascular or cardio-pulmonary disease or pressure ulcers,MS patients,"MS patients
n=5 (80% female)
age: 54 (0.4)
Type: RR: n=2, PP: n=1, SP: n=2
Severity: inclusion criteria: full-time wheelchair user
Disease duration: 17.6 (8.5)","ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: wrist",real-world,2 weeks,,yes,yes,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,some significant,no,,no,,no,,yes,significance not tested,no,,
"Sandroff B.M., Klaren R.E., Motl R.W.",2015,"Sandroff et al, 2015","Relationships among physical inactivity, deconditioning, and walking impairment in persons with multiple sclerosis",10.1097/NPT.0000000000000087,31,27,43.4 (7.7),43.4,"RR: n=29,
SP: n=2","PDDS: 2 (median), range: 0-5",8.6 (6.3),not reported,not reported,healthy,"healthy
n=31 (87% female)
age: 42.4 (7.5)","ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,no,,yes,significant,yes,some significant,no,,no,,no,,no,,no,,no,,
"Hubbard E.A., Motl R.W.",2015,"Hubbard et al, 2015","Sedentary behavior is associated with disability status and walking performance, but not cognitive function, in multiple sclerosis",10.1139/APNM-2014-0271,82,62,49.0 (9.1),49,"RR: n=65,
not reported: n=17","SR-EDSS: 3.4 (2.3), 3.5 [4.5]",11.8 (mean),not reported,not reported,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,yes,applies partially,yes,no,yes,RW: Physical activity,,,,yes,some significant,yes,some significant,no,,yes,significance not tested,no,,no,,no,,no,,no,,
"Moon Y., Wajda D.A., Motl R.W., Sosnoff J.J.",2015,"Moon et al, 2015",Stride-time variability and fall risk in persons with multiple sclerosis,10.1155/2015/964790,17,11,62.8 (7.4),62.8,"RR: n=10,
PP: n=3,
SP: n=4",EDSS: 6.0 [4.75-6.0],19.2 (9.0),not reported,exclusion criteria: no neurological or orthopedic conditions that affect balance or mobility,healthy,"healthy
n=17 (71% female)
age: 62.8 (5.9)","Xsens MTx
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 2
Position: lower leg",laboratory,not reported,,yes,yes,yes,yes,yes,yes,yes,no,yes,Lab: Gait,,,,no,,yes,some significant,yes,significant,no,,no,,no,,no,,no,,no,,
"Ayache S.S., Chalah M.A., Al-Ani T., Farhat W.H., Zouari H.G., Créange A., Lefaucheur J.-P.",2015,"Ayache et al, 2015",Tremor in multiple sclerosis: The intriguing role of the cerebellum,10.1016/J.JNS.2015.09.360,18,14,47.7 (10.3),47.7,"RR: n=10,
P: n=8",EDSS: 4.3 (2.4),14.4 (11.7),not reported,not reported,MS patients,"MS patients (no visible tremor)
n=14 (64% female)
age: 54 (0.4)
Type: RR: n=8, P: n=6
Severity: EDSS: 3.5 (1.4)
Disease duration: 11.4 (8.7)","MiR TREM0000
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 2
Position: upper arm, hand",laboratory,not reported,,yes,yes,yes,yes,yes,yes,applies partially,no,yes,Lab: Dexterity/Tremor,,,,no,,no,,no,,yes,some significant,no,,no,,no,,no,,no,,
C. Fjeldstad,2015,"Fjeldstad et al, 2015",Use of accelerometers to measure real-life physical activity in ambulatory individuals with multiple sclerosis,10.7224/1537-2073.2014-037,13,9,47.6 (3.0),47.6,RR: n=13,EDSS: 2.5 (0.5),7.5 (1.0),subjects taking disease-modifying therapies: n=11,not reported,healthy,"healthy
n=12 (42% female)
age: 45.5 (5.4)","ActiGraph GT1M
Type of sensor: accelerometer
Number of axes: 2
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,applies partially,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,yes,significant,no,,yes,non-significant,no,,no,,no,,no,,no,,no,,
"Sola-Valls N., Blanco Y., Sepúlveda M., Llufriu S., Martínez-Lapiscina E.H., La Puma D., Graus F., Villoslada P., Saiz A.",2015,"Sola-Valls et al, 2015",Walking function in clinical monitoring of multiple sclerosis by telemedicine,10.1007/S00415-015-7764-X,23,12,46.7 (10.0),46.7,"RR: n=15, 
SP: n=8",EDSS: 3.5 [1.5-6.5],14.2 (9.9),not reported,smokers: n=5,none,none,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",real-world,7 days,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,yes,significant,yes,significant,no,,yes,significant,no,,no,,no,,no,,no,,
T. Brown,2016,"Brown et al, 2016",A randomized crossover trial of Dalfampridine extended release for effect on ambulatory activity in people with multiple sclerosis,10.7224/1537-2073.2015-035,22,19,55.0 (2.5),55,"RR: n=13, 
PP: n=4, 
SP: n=5",EDSS: 5.1 (0.3),13.3 (1.7),"Dalfampridine extended release 10mg twice daily given first for 4 weeks, then 2 weeks off-treatment washout period and then placebo for 4 weeks; no use of any aminopyridine product or mitoxantrone in the past 6 months",not reported,MS patients,"MS patients (placebo first and then treatment)
n=21 (52% female)
age: 54 (0.4)
Type: RR: n=13, PP: n=2, SP: n=6
Severity: EDSS: 5.3 (0.2)
Disease duration: 13.5 (1.5)","StepWatch 3
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: ankle",real-world,7 days,,applies partially,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,,,,no,,no,,no,,yes,non-significant,no,,no,,no,,yes,non-significant,no,,
"Balto J.M., Kinnett-Hopkins D.L., Motl R.W.",2016,"Balto et al, 2016",Accuracy and precision of smartphone applications and commercially available motion sensors in multiple sclerosis,10.1177/2055217316634754,45,not reported,"46.7 (10.0), range: 23-62",46.7,"RR: n=43,
not reported: n=2","EDSS: 3.0 [1.5], range: 1.0-5.0","11.4 (9.3), range: 0.0-35.0",not reported,not reported,none,none,"Yamax SW-200
Type of sensor: mechanical pedometer
Number of axes: 1
Number of wearables: 1
Position: waist

Fitbit One & Jawbone UP Move
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Position: waist

Fitbit Flex & Jawbone UP2
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 2
Position: wrist

Apple iPhone 5 (smartphone)
Apple Health app
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: others (pocket)",laboratory,time to walk 25m,,applies partially,yes,yes,yes,applies partially,applies partially,yes,no,yes,Lab: Physical activity,,,,yes,non-significant,yes,non-significant,no,,no,,no,,no,,no,,no,,no,,
