,Authors,Year,First author and year,Title,DOI,Language,Demographics,Disease characteristics,Number of MS patients included in analysis,Number (% female),Percentage female,"Thereof female, n","Female, n",Age,Type of MS,,Severity,Duration of disease in years,Treatments,Comorbidities,Type (healthy or other),"Comparator population, number (number of females)",Type (healthy or other) more information,Number of Subjects,"Thereof female, n (or ratios)",,"Age, mean (SD) or age groups",Type of MS ,"Severity (EDSS, PDDS)","Duration of disease (years), mean (SD) or median [IQR]",Information on treatment of MS,Comorbidities,Wearable,sensors_type_plot,Primary wearable type(s) used,Brand / company of primary wearable(s),Number of axes (original copy),Software to extract features/data used,Recording frequency,Number of primary wearable (s),Position of primary wearable (drop-down),Position of primary wearable(s) (more details),Number of wearables (from position),"Context of primary wearable(s) (at home, in clinic, lab-testing, ...) (more details)",Context,Number of secondary wearable (s),Secondary wearable(s) type,Brand / company of secondary wearable(s),Position of secondary wearable(s),"Context of secondary wearable(s) (at home, in clinic, lab-testing, ...)",Wearables main topic of study?,"If wearable was not main topic of study, what was it used for?",Accelerometry used as outcome measure?,Study duration per participant (time wearable was worn),Duration wearable was worn,Number of visits/session,Main/primary outcome,Correlation metrics reported,"Reliability metrics reported (ICC, CV, standard error of measurement (SEM), minimally detectable change (MDC), ...)",Other metrics reported,"Other/secondary outcomes (e.g., cognition)","Traditional MS outcomes used (EDSS, MSFC, SDMT, T25FW, 10MWT, MRI, ...)",STUDY CONCLUSION,"Limitations reported (e.g., small sample size)",clinicaltrials.gov identifier (NCT),Comments (e.g. suspected re-use of participants),Does the study report a clearly defined research objective (including an outcome)?,Does the study adequately describe the inclusion/exclusion criteria?,"Does the study report on the population parameters/demographics (at least age, sex)?","Does the study report details on assessment of MS (severity [EDSS or PDSS], type)?","Does the study provide sufficient details on the wearables used (type, positioning of wearable, context, recording frequency)?",Does the study report proper statistical analysis? Correction for multiple comparisons?,"Does the study adequately report the strength of the results (e.g., ways of calculating effect sizes, reporting confidence intervals/standard deviation?",Does the study make the data and/or code publicly available?,Do the authors report on the limitations of their study?,Domain1,Domain2,Domain3,Domain4,Domain5,Domain6,Association with MS severity,Association with MS severity - Effect,Association with other measure,Association with other measure - Effect,"Comment on which other measure used (for mixed cases: add ""(s)"" or ""(ns)"" or ""(mixed)"" after each measure)",Group differences MS vs HC,Group differences MS vs HC - Effect,Group differences MS vs MS,Group differences MS vs MS - Effect,Group differences MS vs other diseases,Group differences MS vs other diseases - Effect,Comment on what other diseases included,Test-retest reliability,Test-retest reliability - Effect,Responsiveness to change,Responsiveness to change - Effect,Responsiveness to intervention,Responsiveness to intervention - Effect,Subjective patient acceptability,Subjective patient acceptability - Effect
Jutzeler,"Balto J.M., Kinnett-Hopkins D.L., Motl R.W.",2016,"Balto et al, 2016",Accuracy and precision of smartphone applications and commercially available motion sensors in multiple sclerosis,10.1177/2055217316634754,English,,,45,45 (not reported),#VALUE!,not reported,not reported,"46.7 (10.0), range: 23-62","RR: n=43,
not reported: n=2",2,"EDSS: 3.0 [1.5], range: 1.0-5.0","11.4 (9.3), range: 0.0-35.0",not reported,not reported,none,none,no control group,-,-,#VALUE!,-,-,-,-,-,-,"Yamax SW-200
Type of sensor: mechanical pedometer
Number of axes: 1
Position: waist

Jawbone UP2
Type of sensor: accelerometer
Number of axes: 3
Position: wrist

Jawbone UP Move
Type of sensor: accelerometer
Number of axes: 3
Position: waist

Fitbit Flex 
Type of sensor: accelerometer
Number of axes: 3
Position: waist

Fitbit One
Type of sensor: accelerometer
Number of axes: 3
Position: waist

Smartphone (iPhone 5)
Type of sensor: accelerometer
Number of axes: 3
Position: pocket","accelerometer, mechanical pedometer",wearable motion sensors (first is spring loaded and other 4 are triaxial accelerometers),"Digi-Walker SW-200 pedometer (Yamax), UP2 (Jawbone), UP Move (Jawbone), Flex (Fitbit), and One (Fitbit)",each 3,NA,NA,5,multiple positions,"(i) waist,
(ii) wrist, 
(iii) waist, 
(iv) wrist, 
(v) waist respectively 
(all non-dominant side)","5: 3 waist, 2 wrist",lab testing,laboratory,3,"physical activity smartphone applications, M7 motion coprocessor","(i) Health (Apple), 
(ii) Health Mate (Withings), 
(iii) Moves (ProtoGeo Oy)","phone, front pocket, non-dominant side",lab-testing,Yes,,Yes,time to walk 25m,time to walk 25m,1,500-step walking trials,Spearman rho rank-order correlations,"95% confidence interval (CI), ","mean, frequency of cases􏰁 >= 5%,􏰁 >= 10%, and >=  􏰁25% error per device for accuracy; standard deviation, coefficient of variation for precision; pvalues associated with correlation; mean and sd of number of steps; number of observations per device; coefficient of variation (CV)","absolute accuracy, relative accuracy (mean percentage error), absolute and relative precision, walking speed","MSWS-12 and EDSS scores, T25FW","results suggest that the waist-worn Fitbit One is the most precise and accurate sensor for measuring steps when walking on a treadmill, but future research is needed (testing the device across a broader range of disability, at different speeds, and in real-life walking conditions) before inclusion in clinical research and practice with MS patients.","walking trials were conducted on a motorized treadmill and not over ground, treadmill walking might still be novel and not mimic real-life walking conditions; study only included individuals with a self-reported ability to walk 500 steps without assistance (i.e. mild and moderate disability) and mostly relapsing􏰂remitting multiple sclerosis; ",,,applies partially,yes,yes,yes,applies partially,applies partially,yes,no,yes,Lab: Physical activity,,,,,,yes,non-significant,yes,non-significant,,no,,no,,no,,,no,,no,,no,,no,
Jutzeler,J. Gong,2016,"Gong et al, 2016",Causality Analysis of Inertial Body Sensors for Multiple Sclerosis Diagnostic Enhancement,10.1109/JBHI.2016.2589902,English,,,28,28 (75.0),75,21,75%,40.5 (9.4),not reported: n=28,28,EDSS: 2.0 [0-4.0],6.7 (5.9),not reported,not reported,healthy,"healthy
n=13 (53% female)
age: 39.3 (10.3)",healthy,13,53%,4.076923077,39.3 (10.3),-,-,-,-,-,"TEMPO Inertial sensors
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 5
Position: lower back, wrist, ankle","accelerometer, gyroscope","inertial body sensors, named technology-enabled medical precision observation version 3.2 with Bluetooth",https://ieeexplore.ieee.org/document/5226915,each 3,Matlab,64 Hz,5,multiple positions,"(i) left and right wrists,
(ii) left and right ankles, 
(iii) sacrum","5: 1 lower back, 2 wrist, 2 ankle",lab testing,laboratory,0,NA,NA,NA,NA,yes,-,Yes,time to walk 6M,time to walk 6M,1,causality index from data collected during 6MWT ,-,SD,"mean, sd of the different scores (except effect size)","Gait speed and distance walked during 6 MWT, Ratio between double stance time and single stance time, causality index (average value of the quantification of the pairwise causality matrix representing the causal interactions between pairs of body parts calculated from time-series data); effect size of demographics and individual causality indices ","6MWT, MSWS-12", the causality analysis provided better discrimination between healthy controls and persons with MS and a deeper understanding of MS disease impact on mobility,"relatively small sample size;  control population was not well matched in demographics;  inaccuracy of causality inference, and other factors during the data collection and preprocessing",,"method developed for and utilized in an MS pilot study, abstract from conference",applies partially,no,yes,applies partially,yes,yes,yes,no,yes,Lab: Physical activity,,,,,,no,,no,,,yes,significant,yes,significant,no,,,no,,no,,no,,no,
Jutzeler,"Pau M., Caggiari S., Mura A., Corona F., Leban B., Coghe G., Lorefice L., Marrosu M.G., Cocco E.",2016,"Pau et al, 2016",Clinical assessment of gait in individuals with multiple sclerosis using wearable inertial sensors: Comparison with patient-based measure,10.1016/J.MSARD.2016.10.007,English,,,105,"105 (70.5)
(severity:
MS class 1 [EDSS=0-1.5]: n=54, 
MS class 2 [EDSS=2.0-4.0]: n=31, 
MS class 3 [EDSS=4.5-6.0]: n=20)",70.47619048,74,"74 
(severity:
MS class 1 [EDSS=0-1.5]: n=37, 
MS class 2 [EDSS=2.0-4.0]: n=22, 
MS class 3 [EDSS=4.5-6.0]: n=15)","severity:
MS class 1 [EDSS=0-1.5]: 39.6 (8.3), 
MS class 2 [EDSS=2.0-4.0]: 43.6 (9.3), 
MS class 3 [EDSS=4.5-6.0]: 52.1 (10.2)",not reported: n=105,105,"EDSS:
MS class1: 1.0 (0.2),
MS class 2: 2.6 (0.6),
MS class 3: 4.6 (1.1)",not reported,not reported,absence of other conditions that affect gait,healthy,"healthy
n=47 (45% female)
age: 39.4 (12.7)",healthy,47,21,44.68085106,39.4 (12.7),-,-,-,-,-,"G-Sensor
Type of sensor: accelerometer, gyroscope, magnetometer
Number of axes: 3
Number of wearables: 1
Position: lower back","accelerometer, gyroscope, magnetometer","wireless inertial sensing device (includes a tri-axialaccelerometer, a gyroscope, and a magnetometer)","G-Sensor®, BTS Bioengineering S.p.A., Italy",3,BTS Bioengineering G-Studio,NA,1,lower-lumbar level,attached at the lower lumbar level (centered on the L4–L5 intervertebral disc) with a semi-elastic belt,1 (lower back),Experimental tests were performed in a clinical setting,laboratory,0,NA,NA,NA,NA,yes,,Yes,,,1,spatio-temporal gait parameters during timed 25-foot walking test (T25FW) ,Pearson product moment correlation coefficient ,SD,"Beta-squared coefficient, f-statistics and associated pvalues, wilks lambda, mean and sd of the different outcomes measured, pvalues associated with the correlation","gait speed, cadence, stride length, stance phase, swing phase, double support time","T25FW, MSWS-12","Wearable accelerometers are a useful tool for assessing gait performance for pwMS in a clinicalsetting, especially in cases of mild to moderate disability. Compared with other quantitative techniques, thesedevices allow patient testing under realistic conditions (i.e., fully dressed, with their usual shoes) using a simpleprocedure with immediate availability of data","no control of state of fatigue (or other factors that might influence walking performance);  location selected for the walking trials was a hallway close to outpatient clinics, so although we checked for undesired passages and obstructions from other patients or hospital personnel, the environment wasnot completely protected, and some forms of distraction might have occurred;  sample was unequally composed, with participants with low EDSS predominant",,,applies partially,yes,yes,applies partially,applies partially,yes,yes,no,yes,Lab: Physical activity,,,,,,yes,significant,yes,significant,,yes,significant,yes,significant,no,,,no,,no,,no,,no,
Jutzeler,S. Dandu,2016,"Dandu et al, 2016",Determining physiological significance of inertial gait features in multiple sclerosis,10.1109/BSN.2016.7516271,English,,,86,86 (not reported),#VALUE!,not reported,not reported,range: 19-61,not reported: n=86,86,EDSS: range: 0-7,not reported,not reported,not reported,healthy,"healthy
n=29 (female ratio not reported)
age: range: 19-54",healthy control group,29,not reported,#VALUE!,range: 19-54,-,-,-,-,-,"ActiGraph
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,Actigraph,Actigraph,3,ActiLife software,30 Hz,1,hip,hip,1 (waist),lab setting,laboratory,0,NA,NA,NA,NA,yes,,yes,6 minute,6 minutes,1,"distance covered, walking speed, edss, mfis, msws",yes,,ajusted r2,,"EDSS, MSWS, 6MWT","Walking speed, DTW Score, and Warp Score are closely
related to several patient-reported and exam-defined
outcome measurements. The traditional objective measure,
walking speed, has the best correlation with overall
disability as measured by the EDSS. However, our two
device-based measures improve prediction of MSWS scores,
as we have previously reported, as well as the EDSS and
MFIS, as shown by our current results.",not reported,,,yes,no,applies partially,applies partially,yes,yes,yes,no,no,Lab: Physical activity,,,,,,yes,significant,yes,significant,,yes,significant,no,,no,,,no,,no,,no,,no,
Jutzeler,"Stellmann J.-P., Jlussi M., Neuhaus A., Lederer C., Daumer M., Heesen C.",2016,"Stellmann et al, 2016",Fampridine and real-life walking in multiple sclerosis: Low predictive value of clinical test for habitual short-term changes,10.1016/J.JNS.2016.07.051,English,,,28,28 (60.7),60.71428571,17,17,49 (8.6),"RR: n=3,
PP: n=7,
SP: n=18",,EDSS: 4.75 [4-6.5],11.0 (8.4),not reported,not reported,none,none,no control cohort,-,-,#VALUE!,-,-,-,-,-,-,"Actibelt
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,Actibelt® accelerometer,Actibelt® accelerometer,3,NA,NA,1,waist,waist,1 (waist),,mixed,0,NA,NA,NA,NA,yes,-,yes,28 days,28 days,3,"6MWT, TTW, T25TW, accelerometry (mean steps/day, mean total distance/day, activity temperature",yes,SD,"mean, median,iqr","Patient reported outcomes (PROMS), MS Walking Scale (MSWS, 12 items, Frenchay Activity Index (FAI)","EDSS, MSWS-12, 6MWT, T25TW","Fampridine might improve real-life walking in MS, but in our cohort clinical tests are weak predictors. Accelerometry opens a new perspective on mobility measurment, but the current data do not show a consistent effect on non-performance based accelerometry outcomes.","1. The assessment of habitual walking speed has a restricted reliability if velocity drops below 0.6 m/s in more disabled patients, which was the case in seven patients from our cohort;
2.  A placebo group or a re-assessment of patients after a drug washout phase of 14 days was not implemented",,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,Lab: Physical activity,,,,,no,,no,,,no,,no,,no,,,no,,no,,yes,significant,no,
Jutzeler,"Brodie M.A.D., Psarakis M., Hoang P.",2016,"Brodie et al, 2016",Gyroscopic corrections improve wearable sensor data prior to measuring dynamic sway in the gait of people with Multiple Sclerosis,10.1080/10255842.2016.1140747,English,,,5,5 (100.0),100,5,5,56 (8),not reported: n=5,5,EDSS: 4.3 (1.0),not reported,not reported,not reported,healthy,"healthy
n=5 (100% female)
age: 56 (8)",healthy control group,5,5,100,56 (8),-,-,-,-,-,"APDM Opal IMU
Type of sensor: accelerometer, gyroscope
Number of axes: 3
Number of wearables: 1
Position: lower back","accelerometer, gyroscope, magnetometer",Opal™,APDM,3,Matlab,128 Hz,1,pelvis,pelvis,1 (lower back),lab testing,laboratory,0,NA,NA,NA,NA,yes,-,yes,not reported,not reported,2,6MWT,not reported,"SD, Root Mean Squared Error", mean,,6MWT,The proposed adaptive filter enabled dynamic pelvic sway to be measured accurately over a wide range of cadences during both vigorous and weaker stepping.,"1. Small number of relatively mobile female participants may not be generalizable all people with MS;
2. With respect to the proposed adaptive filter, further work may be required to track other body segments (such as the arms or legs) that experience greater ranges of angular displacements",,,yes,no,yes,applies partially,applies partially,yes,yes,no,yes,Lab: Physical activity,,,,,,no,,no,,,yes,significant,no,,no,,,no,,no,,no,,no,
Jutzeler,"Klaren R.E., Sebastiao E., Chiu C.-Y., Kinnett-Hopkins D., McAuley E., Motl R.W.",2016,"Klaren et al, 2016",Levels and rates of physical activity in older adults with multiple sclerosis,10.14336/AD.2015.1025,English,,,963,"963 (84.0)
(age:
Young: n=194,
Middle-aged: n=662,
Older: n=107)",84.00830737,809,"809
(Young: 82.2%,
Middle-aged: 85.5%,
Older: 77.6%)   ","age:
Young: 33.1 (4.7),
Middle-aged: 49.6 (5.4),
Older: 63.0 (3.6)        ","RR: n=885,
not reported: n=78",78,"EDSS:
Young: 1.0 [3.0]
Middle-aged: 2.0 [2.0]
Older: 3.0 [3.0]","Young: 6.3 (5.0)
Middle-aged: 10.8 (7.2)
Older: 16.5 (9.2)    ",not reported,not reported,none,none,,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model 7164),ActiGraph,3,"(i) ActiLife software, 
(ii) Excel",NA,1,waist (non-dominant hip),"waist, non-dominant hip",1 (waist),home setting,real-world,0,NA,NA,NA,NA,no,to assess physical activity in everyday life,yes,7 days,7 days,all at home,"Accelerometry, Godin Leisure-Time Exercise Questionnaire (GLTEQ), ",not reported,"cohen's d, sd","mean, median,iqr",-,PDDS,"Study provides objective data on levels and rates of physical activity and sedentary behavior in older adults with MS. Overall, older adults with MS engage in less MVPA and more sedentary behavior compared with middle-aged and younger adults with MS. Older adults with MS further engage in less LPA and more sedentary behavior compared with data for older adults from the general population.","1. Lack of a control, non-MS comparison group;
2. Did not analyze the physical activity and sedentary data of the older adults by demographic and clinical characteristics as the sample size did not permit such decompositions. 
3. Study assumed that the activity count cut-points for sedentary, LPA, and MVPA are equally applicable across the age groups. If the assumption is incorrect (i.e., older adults expend more energy for MVPA compared with middle-aged and young adults), estimates could biased.",,,yes,yes,yes,yes,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,,,no,,no,,,no,,yes,significant,no,,,no,,no,,no,,no,
Jutzeler,"Grover S.A., Sawicki C.P., Kinnett-Hopkins D., Finlayson M., Schneiderman J.E., Banwell B., Till C., Motl R.W., Yeh E.A.",2016,"Grover et al, 2016",Physical Activity and Its Correlates in Youth with Multiple Sclerosis,10.1016/J.JPEDS.2016.08.104,English,,,27,27 (66.7),66.66666667,18,18,16.0 (4.0),not reported: n=27,27,EDSS: 1.5 [0.5],2.0 (2.0),exclusion criteria: steroid treatment in the past 30 days,not reported,healthy,"mixed
healthy: n=37 (68% female), age: 15.0 (3.0);
monophasic acquired demyelinating syndromes: n=41 (46%), age: 14.0 (4.0), severity: EDSS: 1.0 [2.0]
Disease duration [yrs]: 4.0 (7.0)","mixed 
(healthy/mono-ADS)",37,25 (68%),#VALUE!,15.0 (3.0),-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model 7164),NA,NA,ActiLife software,NA,1,waist,iliac crest (waist),1 (waist),home setting,real-world,0,NA,NA,NA,NA,yes,,yes,7 days,7 days,all at home, To evaluated physical activity,"Spearman rho rank-order correlation, multivariate regession",SD,"mean, median, iqr","Depression (The Center for Epidemiological Studies Depression Scale for
Children), Fatigue (The Varni Pediatric Quality of Life Inventory Multidimensional Fatigue), Physical Activity Self-Efficacy (Physical Activity Self-Efficacy Scale (PASES)), Function and Disability Inventory (FDI), The Exercise Goal-Setting Scale (EGS), Sports Participation",GLTEQ,"Youth with multiple sclerosis engaged in fewer minutes per day of vigorous and moderate and vigorous physical activity than did healthy controls. A lower proportion of
the group with multiple sclerosis (63%) reported participating in any strenuous physical activity than healthy control (89%) groups.","1. Although consecutive children were recruited, the clinic itself is a specialized clinic at a tertiary care center, suggesting the possibility of patient selection bias.
2. The small sample size increased variability in some of the descriptive categories, which may have an influence on the results. 
3. The data collected via accelerometer may be limited, as accelerometers cannot be worn while participating in water activities and do not accurately measure activities such as cycling, lifting, or carrying objects.",,,yes,yes,yes,applies partially,applies partially,applies partially,yes,no,yes,RW: Physical activity,,,,,,no,,yes,significant,,yes,significant,no,,yes,significant,Monophasic acquired demyelinating syndromes,no,,no,,no,,no,
Naegelin,"Kinnett-Hopkins D., Grover S.A., Yeh E.A., Motl R.W.",2016,"Kinnett-Hopkins et al, 2016",Physical activity in pediatric onset multiple sclerosis: Validating a questionnaire for clinical practice and research,10.1016/J.MSARD.2016.08.010,English,,,27,27 (66.7),66.66666667,18,18,15.73 (3.2),not reported: n=27,27,EDSS: 1.5 (0.5),2.03 (2),not reported,not reported,healthy,"healthy
n=45 (67% female)
age: 14.76 (3.8)",HC,45,30 (66.7%),#VALUE!,14.76 (3.8),-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model 7164),"ActiGraph Corporation, Pensacola, Florida",1 (single vertical axis),ActiLife Software,NA,1,waist (non-dominant hip),"waist, non-dominant hip",1 (waist),Home Setting,real-world,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,1,To evaluate the GLTEQ(Godin Leisure-Time Exercise Questionnaire) as a measure of physical activity in Pediatric onst MS,Spearman Correlation,none,-,-,"EDSS, GLTEQ (Godin Leisure-Time Exercise Questionnaire)",Study provides evidence that supports the validity of GLTEQ scores as measures of vigorous and moderate-to-vigorous physical activity in pediatric onset MS.,Significant differences in MS and HC,n.i.,,yes,yes,yes,yes,applies partially,yes,yes,no,yes,RW: Physical activity,,,,,,no,,yes,mixed,Godin Leisure-Time Exercise Questionnaire (GLTEQ) vigorous physical activity (s),yes,mixed,no,,no,,,no,,no,,no,,no,
Naegelin,"Zörner B., Filli L., Reuter K., Kapitza S., Lörincz L., Sutter T., Weller D., Farkas M., Easthope C.S., Czaplinski A., Weller M., Linnebank M.",2016,"Zoerner et al, 2016",Prolonged-release fampridine in multiple sclerosis: Improved ambulation effected by changes in walking pattern,10.1177/1352458515622695,English,,,55,55 (61.8),61.81818182,34,34,48.6 (9.8),"RR: n=29,
PP: n=5, 
SP: n=21",,"EDSS: 4.9 (1.3), range: 2.5-6.5",11.9 (7.4),"Natalizumab: n=21,
INF: n=34, 
GA: n=2,
Fingolimod: n=2",not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"Actiwatch 2
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: ankle",accelerometer,Actiwatch 2,"Philips Respironics, USA",NA,Actiware software (6.0.1),32,1,ankle,ankle of the more impaired leg,1 (ankle),Home Setting,real-world,0,NA,NA,NA,NA,no,to assess physical activity in everyday life,yes,2x 14 days (cross over design),4 weeks,13,To explore the effects of PR-fampridine on different aspects of walking function and to identify associated gait modifications in subjects with MS,paired t-test,SD,-,-,"EDSS, T25 FW, 6MWT, TUG, Berg Balance Scale (BBS), Dynamic Gait Index (DGI), Lower extremity manual muscel test (LEMMT), 12-item WS, Wurzburg Fatigue Inventory for MS","PR-fampridine improves walking speed, endurance, and everyday physical activity in a subset of subjects with MS and leads to individual modifications of the gait pattern",none,NCT01576354,,yes,yes,yes,yes,yes,yes,yes,no,no,RW: Physical activity,,,,,,no,,no,,,no,,no,,no,,,no,,no,,yes,mixed,no,
Naegelin,M. Engelhard,2016,"Engelhard et al, 2016",Quantifying six-minute walk induced gait deterioration with inertial sensors in multiple sclerosis subjects,10.1016/J.GAITPOST.2016.07.184,English,,,89,89 (82.0),82.02247191,73,73,"46 [38-52], range: 19-61",not reported: n=89,89,"EDSS: 2.5 [2-3.5], range: 0-7",not reported,not reported,not reported,healthy,"healthy
n=29 (69% female)
age: 40 (19-54)",HC,29,20,68.96551724,40 (19-54),-,-,-,-,-,"ActiGraph GT3X
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model GT3X),NA,3,"(i) ActiLife (6.1),
(ii) Matlab (R2015a)",30,1,hip,hip,1 (waist),Lab Testing,laboratory,0,NA,NA,NA,NA,yes,-,yes,n.a.,1 day,1,To define and validate a measure of fatigue-related gait deterioration based on data from body-worn sensors and use this measure to detect gait deterioration induced b the 6MW. Using the dynamic time warping (DTW) algorithm.,Spearman Correlation,none,-,-,"EDSS, Warp Score, MSWS-12, MFIS, FSS","The Warp Score has been validated in MS subjects as an objective measure of fatigue-related gait deterioration. Progressive changes to gait cycles induced by the 6MW often appeared in later minutes, supporting the importance of sustained walking in clinical assessment.",none,,,yes,applies partially,yes,yes,yes,yes,yes,no,no,Lab: Physical activity,,,,,,yes,significant,yes,mixed,"MSWS (s), MFIS_p (s), MFIS (n)",no,,no,,no,,,no,,no,,no,,no,
Naegelin,"Klaren R.E., Hubbard E.A., Zhu W., Motl R.W.",2016,"Klaren et al, 2016",Reliability of Accelerometer Scores for Measuring Sedentary and Physical Activity Behaviors in Persons With Multiple Sclerosis,10.1123/APAQ.2015-0007,English,,,422,422 (85.1),85.07109005,359,359,47.3 (10),"RR: n=380;
not reported: n=42",42,PDDS: 2.0 [4.0],9.6 (7.4),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"ActiGraph 7164
Type of sensor: accelerometer
Number of axes: 1
Number of wearables: 1
Position: waist",accelerometer,ActiGraph accelerometer (model 7164),"ActiGraph Corporation, Pensacola, Florida",NA,ActiLife Software (6.0),NA,1,waist (non-dominant hip),"waist, non-dominant hip",1 (waist),Home Setting,real-world,0,NA,NA,NA,NA,yes,-,yes,7 days,7 days,0,To examine reliability of scores from an accelerometer as measures of sedentary and physical activity behaviours,-,ICC,-,-,PDDS,PwMS require 3-6 days of monitoring for reliably measuring sedentary and physical activity behaviors,"Mostly RRMS. Model 7164 may underestimate sedentary behavior, some participants used assistive devices for ambulation",,Secondary Analysis of a combined data set from two longitudinal investigations Motl 10 (Ref. 38) und Motl 11 (not referenced on this list),yes,no,yes,yes,yes,yes,yes,no,yes,RW: Physical activity,,,,,,no,,no,,,no,,no,,no,,,yes,significant,no,,no,,no,
Naegelin,"Lorefice L., Coghe G., Fenu G., Porta M., Pilloni G., Frau J., Corona F., Sechi V., Barracciu M.A., Marrosu M.G., Pau M., Cocco E.",2017,"Lorefice et al, 2017",‘Timed up and go’ and brain atrophy: a preliminary MRI study to assess functional mobility performance in multiple sclerosis,10.1007/S00415-017-8612-Y,English,,,60,60 (68.3),68.33333333,41,41,41.5 (11.6),"PP: n=4,
not reported: n=56 ",56,EDSS: 2.3 (1.2),11.6 (7.5),not reported,not reported,none,none,-,-,-,#VALUE!,-,-,-,-,-,-,"G-Sensor
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 1
Position: lower back",accelerometer,G-Sensor,"BTS Bioengineering S.p.A., Italy",NA,BTS G-Studio,NA,1,lower-lumbar level,L4-5 using a belt,1 (lower back),Lab Setting,laboratory,0,NA,NA,NA,NA,yes,-,yes,n.a.,1 day,1,To evaluate the relationship between brain volumes and TUG performance,Spearman Correlation,none,-,Brain Atrophy (MRI),"EDSS, Brain Atrophy (MRI)",Total iTUG duration is associated with lower White and Grey Matter volumes,none,,,yes,yes,yes,yes,applies partially,yes,yes,no,no,Lab: Physical activity,,,,,,no,,yes,mixed,lower GM volume (s),no,,no,,no,,,no,,no,,no,,no,
Naegelin,"McGinnis R.S., Mahadevan N., Moon Y., Seagers K., Sheth N., Wright J.A., DiCristofaro S., Silva I., Jortberg E., Ceruolo M., Pindado J.A., Sosnoff J., Ghaffari R., Patel S.",2017,"McGinnis et al, 2017",A machine learning approach for gait speed estimation using skin-mounted wearable sensors: From healthy controls to individuals with multiple sclerosis,10.1371/JOURNAL.PONE.0178366,English,,,30,30 (70.0),70,21,21,range: 29-74,not reported: n=30,30,"EDSS: range: 0-7,
MSWS: range: 0.20-0.95",not reported,not reported,not reported,healthy,"healthy
n=7 (43% female)
age: range: 37-71",HC,7,3,42.85714286,37-71,-,-,-,-,-,"BioSTampRC Sensors
Type of sensor: accelerometer
Number of axes: 3
Number of wearables: 5
Position: lower back, upper leg, lower leg",accelerometer,"BioSTampRC Sensors, Bio Stamp Research Connect","BioStampRC-MC10, Inc. Lexington, MA",3,NA,50,5,multiple positions,"(i) sacrum, 
(ii) bilateral thigh, 
(iii) bilateral shank","5: 1 lower back, 2 upper leg, 2 lower leg",Lab Setting,laboratory,0,NA,NA,NA,NA,yes,-,yes,n.a.,1 day,1,To develop a ML-based technique for estimating walking speed using a wearable device,Pearson Correlation,none,-,-,"EDSS, PCT (Postural Control Test), T25FWT, TUG, 6MWT","The accuracy of walking speed estimations by ML and the BioSTamp RC system in normal people improve with more distal device locations, in MS it improves with proximal locactions ",Treadmill walking not real life walking,,,yes,yes,yes,applies partially,yes,yes,yes,no,yes,Lab: Physical activity,,,,,,no,,yes,mixed,MSWS (s),no,,yes,non-significant,no,,,no,,no,,no,,no,
