"Title","Original Title","Author Names","AiP/IP Entry Date","Full Record Entry Date","Source","Source title","Publication Year","Volume","Issue","First Page","Last Page","Date of Publication","Publication Type","DOI"
"Physical Activity and Sedentary Behavior Timing in Fatigued and Nonfatigued Adults With Multiple Sclerosis",,"Cederberg K.L.J., Jeng B., Sasaki J.E., Motl R.W.","2022-02-21","2022-09-13","Archives of Physical Medicine and Rehabilitation (2022) 103:9 (1758-1765). Date of Publication: 1 Sep 2022","Archives of Physical Medicine and Rehabilitation","2022","103","9","1758","1765","1 Sep 2022","Article",10.1016/j.apmr.2021.12.022
"Recognising and mitigating the potential for diabetic emergencies in MRI",,"Lloyd L., Godwin B.","2022-05-23","2022-09-13","Journal of Medical Imaging and Radiation Sciences (2022) 53:3 (321-324). Date of Publication: 1 Sep 2022","Journal of Medical Imaging and Radiation Sciences","2022","53","3","321","324","1 Sep 2022","Article",10.1016/j.jmir.2022.04.003
"The Use of Smart Devices for Mental Health Diagnosis and Care",,"Lautman Z., Lev-Ari S.","2022-09-28","2022-10-04","Journal of Clinical Medicine (2022) 11:18 Article Number: 5359. Date of Publication: 1 Sep 2022","Journal of Clinical Medicine","2022","11","18",,,"1 Sep 2022","Editorial",10.3390/jcm11185359
"Pedometers and Accelerometers in Multiple Sclerosis: Current and New Applications",,"Sasaki J.E., Bertochi G.F.A., Meneguci J., Motl R.W.","2022-10-03","2022-10-12","International Journal of Environmental Research and Public Health (2022) 19:18 Article Number: 11839. Date of Publication: 1 Sep 2022","International Journal of Environmental Research and Public Health","2022","19","18",,,"1 Sep 2022","Review",10.3390/ijerph191811839
"The role of microglia immunometabolism in neurodegeneration: Focus on molecular determinants and metabolic intermediates of metabolic reprogramming",,"Wang Q., Lu M., Zhu X., Gu X., Zhang T., Xia C., Yang L., Xu Y., Zhou M.","2022-07-25","2022-11-09","Biomedicine and Pharmacotherapy (2022) 153 Article Number: 113412. Date of Publication: 1 Sep 2022","Biomedicine and Pharmacotherapy","2022","153",,,,"1 Sep 2022","Review",10.1016/j.biopha.2022.113412
"Remote Patient Monitoring for Neuropsychiatric Disorders: A Scoping Review of Current Trends and Future Perspectives from Recent Publications and Upcoming Clinical Trials",,"Sakamaki T., Furusawa Y., Hayashi A., Otsuka M., Fernandez J.","2022-02-04","2022-09-20","Telemedicine journal and e-health : the official journal of the American Telemedicine Association (2022) 28:9 (1235-1250). Date of Publication: 1 Sep 2022","Telemedicine journal and e-health : the official journal of the American Telemedicine Association","2022","28","9","1235","1250","1 Sep 2022","Review",10.1089/tmj.2021.0489
"A Literature Review of High-Tech Physiotherapy Interventions in the Elderly with Neurological Disorders",,"Spanakis M., Xylouri I., Patelarou E., Patelarou A.","2022-09-08","2022-09-15","International Journal of Environmental Research and Public Health (2022) 19:15 Article Number: 9233. Date of Publication: 1 Aug 2022","International Journal of Environmental Research and Public Health","2022","19","15",,,"1 Aug 2022","Review",10.3390/ijerph19159233
"Physical activity in non-disabled people with early multiple sclerosis: A multicenter cross-sectional study",,"Gervasoni E., Anastasi D., Di Giovanni R., Solaro C., Rovaris M., Brichetto G., Carpinella I., Confalonieri P., Tacchino A., Rabuffetti M., Cattaneo D.","2022-06-15","2022-11-16","Multiple Sclerosis and Related Disorders (2022) 64 Article Number: 103941. Date of Publication: 1 Aug 2022","Multiple Sclerosis and Related Disorders","2022","64",,,,"1 Aug 2022","Article",10.1016/j.msard.2022.103941
"Development of an Electrochemical CCL5 Chemokine Immunoplatform for Rapid Diagnosis of Multiple Sclerosis",,"Guerrero S., Sánchez-Tirado E., Agüí L., González-Cortés A., Yáñez-Sedeño P., Pingarrón J.M.","2022-09-13",,"Biosensors (2022) 12:8 Article Number: 610. Date of Publication: 1 Aug 2022","Biosensors","2022","12","8",,,"1 Aug 2022","Article",10.3390/bios12080610
"Update on an Observational, Clinically Useful Gait Coordination Measure: The Gait Assessment and Intervention Tool (G.A.I.T.)",,"Daly J.J., McCabe J.P., Gor-García-Fogeda M.D., Nethery J.C.","2022-09-13","2022-09-19","Brain Sciences (2022) 12:8 Article Number: 1104. Date of Publication: 1 Aug 2022","Brain Sciences","2022","12","8",,,"1 Aug 2022","Article",10.3390/brainsci12081104
"Recent Advances in Electrochemical Aptasensors for Detection of Biomarkers",,"Majdinasab M., Marty J.L.","2022-09-13","2022-09-27","Pharmaceuticals (2022) 15:8 Article Number: 995. Date of Publication: 1 Aug 2022","Pharmaceuticals","2022","15","8",,,"1 Aug 2022","Review",10.3390/ph15080995
"Machine learning aided classification of tremor in multiple sclerosis",,"Hossen A., Anwar A.R., Koirala N., Ding H., Budker D., Wickenbrock A., Heute U., Deuschl G., Groppa S., Muthuraman M.","2022-07-15","2022-08-01","eBioMedicine (2022) 82 Article Number: 104152. Date of Publication: 1 Aug 2022","eBioMedicine","2022","82",,,,"1 Aug 2022","Article",10.1016/j.ebiom.2022.104152
"Identifying factors contributing to increased susceptibility to COVID-19 risk: A systematic review of Mendelian randomization studies",,"Luo S., Liang Y., Wong T.H.T., Schooling C.M., Au Yeung S.L.","2022-08-26","2022-10-11","International Journal of Epidemiology (2022) 51:4 (1088-1105). Date of Publication: 1 Aug 2022","International Journal of Epidemiology","2022","51","4","1088","1105","1 Aug 2022","Review",10.1093/ije/dyac076
"Predicting Multiple Sclerosis Outcomes During the COVID-19 Stay-at-home Period: Observational Study Using Passively Sensed Behaviors and Digital Phenotyping",,"Chikersal P., Venkatesh S., Masown K., Walker E., Quraishi D., Dey A., Goel M., Xia Z.","2022-10-18","2022-10-21","JMIR Mental Health (2022) 9:8 Article Number: e38495. Date of Publication: 1 Aug 2022","JMIR Mental Health","2022","9","8",,,"1 Aug 2022","Article",10.2196/38495
"Non-linear Measures of Gait Adaptability in Multiple Sclerosis - Sensitivity and Neurological Correlates",,"Panisset M.G., Cofré Lizama L.E., Peng L., Galea M.P.",,"2022-08-17","medRxiv (2022). Date of Publication: 10 Jul 2022","medRxiv","2022",,,,,"10 Jul 2022","Preprint",10.1101/2022.07.06.22277289
"Acute Thermoregulatory and Cardiovascular Response to Submaximal Exercise in People With Multiple Sclerosis",,"Gervasoni E., Bertoni R., Anastasi D., Solaro C., Di Giovanni R., Grange E., Gunga H.-C., Rovaris M., Cattaneo D., Maggioni M.A., Merati G.","2022-07-25","2022-07-28","Frontiers in Immunology (2022) 13 Article Number: 842269. Date of Publication: 6 Jul 2022","Frontiers in Immunology","2022","13",,,,"6 Jul 2022","Article",10.3389/fimmu.2022.842269
"Sensor-based gait analyses of the six-minute walk test identify qualitative improvement in gait parameters of people with multiple sclerosis after rehabilitation",,"Berg-Hansen P., Moen S.M., Austeng A., Gonzales V., Klyve T.D., Negård H., Seeberg T.M., Celius E.G., Meyer F.","2022-02-22","2022-07-05","Journal of Neurology (2022) 269:7 (3723-3734). Date of Publication: 1 Jul 2022","Journal of Neurology","2022","269","7","3723","3734","1 Jul 2022","Article",10.1007/s00415-022-10998-z
"Physical activity and vascular comorbidity in Black and White persons with multiple sclerosis: A cross-sectional study",,"Huynh T., Jeng B., Motl R.W.","2022-04-05","2022-08-16","Disability and Health Journal (2022) 15:3 Article Number: 101314. Date of Publication: 1 Jul 2022","Disability and Health Journal","2022","15","3",,,"1 Jul 2022","Article",10.1016/j.dhjo.2022.101314
"Moderate-to-vigorous physical activity is associated with processing speed, but not learning and memory, in cognitively impaired persons with multiple sclerosis",,"Motl R.W., Sandroff B.M., Benedict R.H.B.","2022-05-10","2022-06-14","Multiple Sclerosis and Related Disorders (2022) 63 Article Number: 103833. Date of Publication: 1 Jul 2022","Multiple Sclerosis and Related Disorders","2022","63",,,,"1 Jul 2022","Article",10.1016/j.msard.2022.103833
"The Sylvia Lawry Centre for Multiple Sclerosis Research (SLCMSR)––Critical review facing the 20 anniversary",,"Heesen C., Magyari M., Stellmann J.P., Lederer C., Giovannoni G., Scalfari A., Daumer M.","2022-06-06","2022-11-09","Multiple Sclerosis and Related Disorders (2022) 63 Article Number: 103885. Date of Publication: 1 Jul 2022","Multiple Sclerosis and Related Disorders","2022","63",,,,"1 Jul 2022","Review",10.1016/j.msard.2022.103885
"Do device-measured physical activity and sedentary behavior differ by depression symptom status in persons with multiple sclerosis?",,"Jones C.D., Jeng B., Silic P., Motl R.W.","2022-05-30","2022-06-06","Multiple Sclerosis and Related Disorders (2022) 63 Article Number: 103889. Date of Publication: 1 Jul 2022","Multiple Sclerosis and Related Disorders","2022","63",,,,"1 Jul 2022","Article",10.1016/j.msard.2022.103889
"Digital tools for the assessment of pharmacological treatment for depressive disorder: State of the art",,"Van Assche E., Antoni Ramos-Quiroga J., Pariante C.M., Sforzini L., Young A.H., Flossbach Y., Gold S.M., Hoogendijk W.J.G., Baune B.T., Maron E.","2022-06-14","2022-08-01","European Neuropsychopharmacology (2022) 60 (100-116). Date of Publication: 1 Jul 2022","European Neuropsychopharmacology","2022","60",,"100","116","1 Jul 2022","Review",10.1016/j.euroneuro.2022.05.007
"A Comprehensive Literature Search of Digital Health Technology Use in Neurological Conditions: Review of Digital Tools to Promote Self-management and Support",,"Spreadbury J.H., Young A., Kipps C.M.","2022-08-12","2022-08-17","Journal of Medical Internet Research (2022) 24:7 Article Number: e31929. Date of Publication: 1 Jul 2022","Journal of Medical Internet Research","2022","24","7",,,"1 Jul 2022","Review",10.2196/31929
"Introduction of A Connected Armband in the Neurological Examination - Beyond the Neurologist's Eye in Multiple Sclerosis",,"Gassama S., Nicolas P., Souquieres L., Høgestøl E.A., Akhmadeev K., Bos Haugen S., Flinstad Harbo H., Desterke C., Simon F., Moussaoui S., Laplaud D., Gourraud P.",,"2022-08-05","European Journal of Neurology (2022) 29 Supplement 1 (282). Date of Publication: 1 Jul 2022","European Journal of Neurology","2022","29",,"282",,"1 Jul 2022","Conference Abstract",10.1111/ene.15465
"ALAMEDA - a new dawn in predicting brain disease aggravation",,"Dumitrascu D.",,"2022-08-05","European Journal of Neurology (2022) 29 Supplement 1 (593). Date of Publication: 1 Jul 2022","European Journal of Neurology","2022","29",,"593",,"1 Jul 2022","Conference Abstract",10.1111/ene.15466
"The Role of Remote Monitoring in Evaluating Fatigue in Multiple Sclerosis: A Review",,"Block V.J., Bove R., Nourbakhsh B.","2022-07-19","2022-07-28","Frontiers in Neurology (2022) 13 Article Number: 878313. Date of Publication: 27 Jun 2022","Frontiers in Neurology","2022","13",,,,"27 Jun 2022","Review",10.3389/fneur.2022.878313
"Editorial: Brain-Computer Interfaces: Novel Applications and Interactive Technologies",,"Minguillon J., Volosyak I., Guger C., Tangermann M., Lopez M.A.","2022-07-13","2022-07-20","Frontiers in Computational Neuroscience (2022) 16 Article Number: 939202. Date of Publication: 21 Jun 2022","Frontiers in Computational Neuroscience","2022","16",,,,"21 Jun 2022","Editorial",10.3389/fncom.2022.939202
"Cardiorespiratory fitness and free-living physical activity are not associated with cognition in persons with progressive multiple sclerosis: Baseline analyses from the CogEx study",,"Sandroff B.M., Motl R.W., Amato M.P., Brichetto G., Chataway J., Chiaravalloti N.D., Cutter G.R., Dalgas U., DeLuca J., Farrell R., Feys P., Filippi M., Freeman J., Inglese M., Meza C., Rocca M.A., Salter A., Feinstein A.","2021-10-08","2022-06-08","Multiple Sclerosis Journal (2022) 28:7 (1091-1100). Date of Publication: 1 Jun 2022","Multiple Sclerosis Journal","2022","28","7","1091","1100","1 Jun 2022","Article",10.1177/13524585211048397
"Fitness, physical activity, and exercise in multiple sclerosis: a systematic review on current evidence for interactions with disease activity and progression",,"Proschinger S., Kuhwand P., Rademacher A., Walzik D., Warnke C., Zimmer P., Joisten N.","2022-02-09","2022-07-21","Journal of Neurology (2022) 269:6 (2922-2940). Date of Publication: 1 Jun 2022","Journal of Neurology","2022","269","6","2922","2940","1 Jun 2022","Review",10.1007/s00415-021-10935-6
"Editorial: Deep Brain Stimulation Think Tank: Updates in Neurotechnology and Neuromodulation, Volume II",,"Ramirez-Zamora A., Giordano J., Halpern C., Butson C., Okun M.S.","2022-06-30","2022-07-05","Frontiers in Human Neuroscience (2022) 16 Article Number: 912730. Date of Publication: 1 Jun 2022","Frontiers in Human Neuroscience","2022","16",,,,"1 Jun 2022","Editorial",10.3389/fnhum.2022.912730
"The integration of clinical data in the assessment of multiple sclerosis – A review",,"Ostellino S., Benso A., Politano G.","2022-05-31","2022-07-05","Computer Methods and Programs in Biomedicine (2022) 221 Article Number: 106900. Date of Publication: 1 Jun 2022","Computer Methods and Programs in Biomedicine","2022","221",,,,"1 Jun 2022","Review",10.1016/j.cmpb.2022.106900
"New drugs for multiple sclerosis: New treatment algorithms",,"Cree B.A.C., Hartung H.-P., Barnett M.","2022-06-23","2022-07-21","Current Opinion in Neurology (2022) 35:3 (262-270). Date of Publication: 1 Jun 2022","Current Opinion in Neurology","2022","35","3","262","270","1 Jun 2022","Review",10.1097/WCO.0000000000001063
"Monitoring autoimmune diseases by bioelectrochemical detection of autoantibodies. Application to the determination of anti-myelin basic protein autoantibodies in serum of multiple sclerosis patients",,"Guerrero S., Sánchez-Tirado E., Agüí L., González-Cortés A., Yáñez-Sedeño P., Pingarrón J.M.","2022-03-03","2022-04-14","Talanta (2022) 243 (123304). Date of Publication: 1 Jun 2022","Talanta","2022","243",,"123304",,"1 Jun 2022","Article",10.1016/j.talanta.2022.123304
"PHYSICAL ACTIVITY MONITORING TO ASSESS DISABILITY PROGRESSION IN MULTIPLE SCLEROSIS",,"Stuart C.M., Philip S., Galea I.",,"2022-07-11","Journal of Neurology, Neurosurgery and Psychiatry (2022) 93:6 (A15). Date of Publication: 1 Jun 2022","Journal of Neurology, Neurosurgery and Psychiatry","2022","93","6","A15",,"1 Jun 2022","Conference Abstract",10.1136/jnnp-2022-ABN.43
"Icognition - towards telemonitoring of cognitive performance in multiple sclerosis",,"Van Laethem D., Denissen S., Costers L., Descamps A., D'Hooghe M.B., D'haeseleer M., Van Remoortel A., Van Merhaegen-Wieleman A., Grothe M., Penner I.K., Sima D.M., Van Schependom J., Nagels G.",,"2022-07-15","Multiple Sclerosis Journal (2022) 28:2 Supplement (10). Date of Publication: 1 Jun 2022","Multiple Sclerosis Journal","2022","28","2","10",,"1 Jun 2022","Conference Abstract",10.1177/13524585221100731
"Konectom™ cognitive processing speed testing and the influence of reaction time",,"Scaramozza M., Chiesa P.A., Scotland A., Sun Z., Rajbhandari R., Juraver A., Brochet B., Deloire M., Saubusse A., Charre-Morin J., Dulong C., Shen C., Carment L., Guymard T., Van Beek J., Ruiz M., Belachew S., Ruet A.",,"2022-07-15","Multiple Sclerosis Journal (2022) 28:2 Supplement (16-17). Date of Publication: 1 Jun 2022","Multiple Sclerosis Journal","2022","28","2","16","17","1 Jun 2022","Conference Abstract",10.1177/13524585221100731
"Assessing cognitive impairment in Multiple Sclerosis by smartphone-based training games: Results of a feasibility study S Pless",,"Wölfle T., Lorscheider J., Wiencierz A., Reyes O., Santos J., Naegelin Y., Calabrese P., Kappos L.",,"2022-07-15","Multiple Sclerosis Journal (2022) 28:2 Supplement (19). Date of Publication: 1 Jun 2022","Multiple Sclerosis Journal","2022","28","2","19",,"1 Jun 2022","Conference Abstract",10.1177/13524585221100731
"Connecting real-world digital mobility assessment to clinical outcomes for regulatory and clinical endorsement – the Mobilise-D study protocol.",,"Mikolaizak A.S., Rochester L., Maetzler W., Sharrack B., Demeyer H., Mazzà C., Caulfield B., Garcia-Aymerich J., Vereijken B., Arnera V., Miller R., Piraino P., Ammour N., Gordon M.F., Troosters T., Yarnall A.J., Alcock L., Gaßner H., Winkler J., Klucken J., Schlenstedt C., Watz H., Kirsten A.-M., Vogiatzis I., Chynkiamis N., Hume E., Megaritis D., Nieuwboer A., Ginis P., Buckley E., Brittain G., Comi G., Leocani L., Helbostad J.L., Johnsen L.G., Taraldsen K., Blain H., Driss V., Frei A., Puhan M.A., Polhemus A., de Basea M.B., Gimeno E., Hopkinson N.S., Buttery S.C., Hausdorff J.M., Mirelman A., Evers J., Neatrour I., Singleton D., Schwickert L., Becker C., Jansen C.-P.",,"2022-06-27","medRxiv (2022). Date of Publication: 26 May 2022","medRxiv","2022",,,,,"26 May 2022","Preprint",10.1101/2022.05.25.22275598
"Making Every Step Count: Minute-by-Minute Characterization of Step Counts Augments Remote Activity Monitoring in People With Multiple Sclerosis",,"Block V.J., Waliman M., Xie Z., Akula A., Bove R., Pletcher M.J., Marcus G.M., Olgin J.E., Cree B.A.C., Gelfand J.M., Henry R.G.","2022-06-17","2022-06-24","Frontiers in Neurology (2022) 13 Article Number: 860008. Date of Publication: 23 May 2022","Frontiers in Neurology","2022","13",,,,"23 May 2022","Article",10.3389/fneur.2022.860008
"Smartphone-based gait and balance assessment in survivors of stroke: a systematic review",,"Peters J., Abou L., Wong E., Dossou M.S., Sosnoff J.J., Rice L.A.","2022-05-25",,"Disability and rehabilitation. Assistive technology (2022) (1-11). Date of Publication: 18 May 2022","Disability and rehabilitation. Assistive technology","2022",,,"1","11","18 May 2022","Article in Press",10.1080/17483107.2022.2072527
"Sensitive and convenient detection of miRNA-145 using a gold nanoparticle-HCR coupled system: computational and in vitro validations",,"Beyrampour-Basmenj H., Pourhassan-Moghamddam M., Nakhjavani S.A., Faraji N., Alivand M., Zarghami N., Talebi M., Rahmati M., Ebrahimi-Kalan A.","2022-05-16",,"IEEE transactions on nanobioscience (2022) PP. Date of Publication: 9 May 2022","IEEE transactions on nanobioscience","2022","PP",,,,"9 May 2022","Article in Press",10.1109/TNB.2022.3170530
"Making remote measurement technology work in multiple sclerosis, epilepsy and depression: survey of healthcare professionals",,"Andrews J.A., Craven M.P., Lang A.R., Guo B., Morriss R., Hollis C.",,"2022-05-16","BMC medical informatics and decision making (2022) 22:1 (125). Date of Publication: 7 May 2022","BMC medical informatics and decision making","2022","22","1","125",,"7 May 2022","Article",10.1186/s12911-022-01856-z
"Evaluation of unsupervised 30-second chair stand test performance assessed by wearable sensors to predict fall status in multiple sclerosis",,"Tulipani L.J., Meyer B., Allen D., Solomon A.J., McGinnis R.S.","2022-03-02","2022-05-05","Gait and Posture (2022) 94 (19-25). Date of Publication: 1 May 2022","Gait and Posture","2022","94",,"19","25","1 May 2022","Article",10.1016/j.gaitpost.2022.02.016
"A topological data analysis-based method for gait signals with an application to the study of multiple sclerosis",,"Bois A., Tervil B., Moreau A., Vienne-Jumeau A., Ricard D., Oudre L.","2022-05-19","2022-05-31","PLoS ONE (2022) 17:5 May Article Number: e0268475. Date of Publication: 1 May 2022","PLoS ONE","2022","17","5 May",,,"1 May 2022","Article",10.1371/journal.pone.0268475
"ALAMEDA - A SYSTEM DESIGNED TO OPEN NEW AVENUES IN PATIENTS' REHABILITATION AFTER STROKE",,"Dumitrascu D., Ioan P., Badea R., Ribigan A., Antochi F.",,"2022-07-07","European Stroke Journal (2022) 7:1 SUPPL (149-150). Date of Publication: 1 May 2022","European Stroke Journal","2022","7","1 SUPPL","149","150","1 May 2022","Conference Abstract",10.1177/23969873221087559
"haMSter: a Smartphone Application for Remote Patient Monitoring",,"Altmann P., Ponleitner M., Leutmezer F., Monschein T., Rommer P., Berger T., Bsteh G.",,"2022-07-12","Neurology (2022) 98:18 SUPPL. Date of Publication: 1 May 2022","Neurology","2022","98","18 SUPPL",,,"1 May 2022","Conference Abstract",
"Assessing cognitive impairment in Multiple Sclerosis using Smartphone-Based training Games: Results of a feasibility study",,"Pless S., Wölfle T., Naegelin Y., Lorscheider J., Wiencierz A., Pupo Ó.R., Santos J., Calabrese P., Kappos L.",,"2022-07-12","Neurology (2022) 98:18 SUPPL. Date of Publication: 1 May 2022","Neurology","2022","98","18 SUPPL",,,"1 May 2022","Conference Abstract",
"Digital Self-monitoring of Multiple Sclerosis: Interview Study With Dutch Health Care Providers on the Expected New Configuration of Roles and Responsibilities",,"Wendrich K., Krabbenborg L.","2022-05-03","2022-05-19","JMIR mHealth and uHealth (2022) 10:4 (e30224). Date of Publication: 27 Apr 2022","JMIR mHealth and uHealth","2022","10","4","e30224",,"27 Apr 2022","Article",10.2196/30224
"Recent Trends and Practices Toward Assessment and Rehabilitation of Neurodegenerative Disorders: Insights From Human Gait",,"Das R., Paul S., Mourya G.K., Kumar N., Hussain M.","2022-05-09","2022-05-18","Frontiers in Neuroscience (2022) 16 Article Number: 859298. Date of Publication: 15 Apr 2022","Frontiers in Neuroscience","2022","16",,,,"15 Apr 2022","Review",10.3389/fnins.2022.859298
"The burden of incontinence in a real-world data environment—insights from a digital patient companion",,"von Au A., Wallwiener S., Matthies L.M., Friedrich B., Keim S., Wallwiener M., Reisenauer C., Brugger S.","2021-03-22","2022-06-16","International Urogynecology Journal (2022) 33:4 (977-984). Date of Publication: 1 Apr 2022","International Urogynecology Journal","2022","33","4","977","984","1 Apr 2022","Article",10.1007/s00192-021-04683-4
"A smartphone sensor-based digital outcome assessment of multiple sclerosis",,"Montalban X., Graves J., Midaglia L., Mulero P., Julian L., Baker M., Schadrack J., Gossens C., Ganzetti M., Scotland A., Lipsmeier F., van Beek J., Bernasconi C., Belachew S., Lindemann M., Hauser S.L.","2021-07-20","2022-04-21","Multiple Sclerosis Journal (2022) 28:4 (654-664). Date of Publication: 1 Apr 2022","Multiple Sclerosis Journal","2022","28","4","654","664","1 Apr 2022","Article",10.1177/13524585211028561
"Identifying falls remotely in people with multiple sclerosis",,"Block V.J., Pitsch E.A., Gopal A., Zhao C., Pletcher M.J., Marcus G.M., Olgin J.E., Hollenbach J., Bove R., Cree B.A.C., Gelfand J.M.","2021-08-23","2022-04-05","Journal of Neurology (2022) 269:4 (1889-1898). Date of Publication: 1 Apr 2022","Journal of Neurology","2022","269","4","1889","1898","1 Apr 2022","Article",10.1007/s00415-021-10743-y
"Immune-instructive materials as new tools for immunotherapy",,"Fisher L.E., Kämmerling L., Alexander M.R., Ghaemmaghami A.M.","2021-12-31","2022-08-23","Current Opinion in Biotechnology (2022) 74 (194-203). Date of Publication: 1 Apr 2022","Current Opinion in Biotechnology","2022","74",,"194","203","1 Apr 2022","Review",10.1016/j.copbio.2021.11.005
"Salivary biomarkers of neurodegenerative and demyelinating diseases and biosensors for their detection",,"Goldoni R., Dolci C., Boccalari E., Inchingolo F., Paghi A., Strambini L., Galimberti D., Tartaglia G.M.","2022-03-01","2022-03-08","Ageing Research Reviews (2022) 76 Article Number: 101587. Date of Publication: 1 Apr 2022","Ageing Research Reviews","2022","76",,,,"1 Apr 2022","Review",10.1016/j.arr.2022.101587
"Anti-aquaporin-4 immunoglobulin G colorimetric detection by silver nanoparticles",,"Higa A.M., Moraes A.S., Shimizu F.M., Bueno R.G., Peroni L.A., Strixino F.T., Sousa N.A.C., Deffune E., Bovolato A.L.C., Oliveira O.N., Brum D.G., Leite F.L.","2022-03-02","2022-10-25","Nanomedicine: Nanotechnology, Biology, and Medicine (2022) 41 Article Number: 102531. Date of Publication: 1 Apr 2022","Nanomedicine: Nanotechnology, Biology, and Medicine","2022","41",,,,"1 Apr 2022","Article",10.1016/j.nano.2022.102531
"Continuous monitoring with wearables in multiple sclerosis reveals an association of cardiac autonomic dysfunction with disease severity",,"Hilty M., Oldrati P., Barrios L., Müller T., Blumer C., Foege M., consortium P.H.R.T., Holz C., Lutterotti A.","2022-06-10","2022-06-16","Multiple Sclerosis Journal - Experimental, Translational and Clinical (2022) 8:2. Date of Publication: 1 Apr 2022","Multiple Sclerosis Journal - Experimental, Translational and Clinical","2022","8","2",,,"1 Apr 2022","Article",10.1177/20552173221103436
"Locomotor and histological changes in a cuprizone-induced animal model of multiple sclerosis: Comparison between alpha-tocopherol and fingolimod",,"Mitra N., Gurdib Singh N.S., Binti Wadingasafi N.A., Chellian J.","2022-02-09","2022-05-06","Research in Pharmaceutical Sciences (2022) 17:2 (134-142). Date of Publication: 1 Apr 2022","Research in Pharmaceutical Sciences","2022","17","2","134","142","1 Apr 2022","Article",10.4103/1735-5362.335172
"DESIGN OF BIOMATERIALS TO MODULATE INFLAMMATION",,"Leong K.",,"2022-05-16","Tissue Engineering - Part A (2022) 28:SUPPL 1 (S78). Date of Publication: 1 Apr 2022","Tissue Engineering - Part A","2022","28","SUPPL 1","S78",,"1 Apr 2022","Conference Abstract",10.1089/ten.tea.2022.29025.abstracts
"Outcome measures assisting treatment optimization in multiple sclerosis",,"Pardo G., Coates S., Okuda D.T.","2021-08-10","2022-03-01","Journal of Neurology (2022) 269:3 (1282-1297). Date of Publication: 1 Mar 2022","Journal of Neurology","2022","269","3","1282","1297","1 Mar 2022","Review",10.1007/s00415-021-10674-8
"An Update on the Laboratory Diagnosis of Neuromyelitis Optica Spectrum Disorders",,"Jeyalatha M.V., Therese K.L., Anand A.R.","2022-04-06","2022-04-11","Journal of Clinical Neurology (Korea) (2022) 18:2 (152-162). Date of Publication: 1 Mar 2022","Journal of Clinical Neurology (Korea)","2022","18","2","152","162","1 Mar 2022","Review",10.3988/jcn.2022.18.2.152
"Multiple Sclerosis: Systemic Challenges to Cost-Effective Care",,"Weinstein D.R., Owens G.M., Gandhi A.","2022-06-13","2022-06-16","American Health and Drug Benefits (2022) 15:1 (13-20). Date of Publication: 1 Mar 2022","American Health and Drug Benefits","2022","15","1","13","20","1 Mar 2022","Article",
"Personalized accelerometer cutoffs to evaluate moderate to vigorous physical activity in persons with multiple sclerosis: a feasibility study",,"Leblanc R., Decavel P., Cassirame J., Tordi N., Moulin T., Sagawa Y.","2022-07-25","2022-07-27","Gazzetta Medica Italiana Archivio per le Scienze Mediche (2022) 181:3 (150-159). Date of Publication: 1 Mar 2022","Gazzetta Medica Italiana Archivio per le Scienze Mediche","2022","181","3","150","159","1 Mar 2022","Article",10.23736/S0393-3660.20.04442-3
"The effects of continuous care model using a smartphone application on adherence to treatment and self-efficacy among patients with multiple sclerosis",,"Kazemi S.M., Rakhshan M., Rivaz M., Izadi S.",,"2022-03-08","BMC medical informatics and decision making (2022) 22:1 (53). Date of Publication: 26 Feb 2022","BMC medical informatics and decision making","2022","22","1","53",,"26 Feb 2022","Article",10.1186/s12911-022-01785-x
"LONGITUDINAL TREND MONITORING OF MULTIPLE SCLEROSIS AMBULATION USING SMARTPHONES",,"Creagh A.P., Dondelinger F., Lipsmeier F., Lindemann M., De Vos M.",,"2022-04-11","medRxiv (2022). Date of Publication: 24 Feb 2022","medRxiv","2022",,,,,"24 Feb 2022","Preprint",10.1101/2022.02.21.22270745
"Review—Emerging Portable Technologies for Gait Analysis in Neurological Disorders",,"Salchow-Hömmen C., Skrobot M., Jochner M.C.E., Schauer T., Kühn A.A., Wenger N.","2022-02-23","2022-03-07","Frontiers in Human Neuroscience (2022) 16 Article Number: 768575. Date of Publication: 3 Feb 2022","Frontiers in Human Neuroscience","2022","16",,,,"3 Feb 2022","Review",10.3389/fnhum.2022.768575
"Reliability, construct and concurrent validity of a smartphone-based cognition test in multiple sclerosis",,"Lam K.H., van Oirschot P., den Teuling B., Hulst H.E., de Jong B.A., Uitdehaag B.M.J., de Groot V., Killestein J.","2021-06-02","2021-06-02","Multiple Sclerosis Journal (2022) 28:2 (300-308). Date of Publication: 1 Feb 2022","Multiple Sclerosis Journal","2022","28","2","300","308","1 Feb 2022","Article",10.1177/13524585211018103
"Intensive Neurorehabilitation and Gait Improvement in Progressive Multiple Sclerosis: Clinical, Kinematic and Electromyographic Analysis",,"Huang S.-C., Guerrieri S., Costa G.D., Pisa M., Leccabue G., Gregoris L., Comi G., Leocani L.","2022-02-23","2022-04-21","Brain Sciences (2022) 12:2 Article Number: 258. Date of Publication: 1 Feb 2022","Brain Sciences","2022","12","2",,,"1 Feb 2022","Article",10.3390/brainsci12020258
