Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Document Type,Publication Stage,Open Access,Source,EID
"Shariati, S., Ghaffarinejad, A., Omidinia, E.","57478645700;8389379100;16646817600;","Early detection of multiple sclerosis (MS) as a neurodegenerative disease using electrochemical nano-aptasensor",2022,"Microchemical Journal","178",,"107358","","",,4,"10.1016/j.microc.2022.107358","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125846677&doi=10.1016%2fj.microc.2022.107358&partnerID=40&md5=6f077dbe1dfa574d4aca8aee9c29732b",Article,"Final","",Scopus,2-s2.0-85125846677
"Berg-Hansen, P., Moen, S.M., Austeng, A., Gonzales, V., Klyve, T.D., Negård, H., Seeberg, T.M., Celius, E.G., Meyer, F.","55408063800;36977501000;6603411720;57456202400;57456043000;57217250637;37018757500;6601956387;57197351393;","Sensor-based gait analyses of the six-minute walk test identify qualitative improvement in gait parameters of people with multiple sclerosis after rehabilitation",2022,"Journal of Neurology","269","7",,"3723","3734",,2,"10.1007/s00415-022-10998-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124708980&doi=10.1007%2fs00415-022-10998-z&partnerID=40&md5=8a64515cde884ce92df220a527ec68b1",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85124708980
"Block, V.J., Bove, R., Nourbakhsh, B.","56925200400;7003948420;36614542400;","The Role of Remote Monitoring in Evaluating Fatigue in Multiple Sclerosis: A Review",2022,"Frontiers in Neurology","13",,"878313","","",,,"10.3389/fneur.2022.878313","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133912115&doi=10.3389%2ffneur.2022.878313&partnerID=40&md5=a1a4774d9ab8bb6175a2a1374e323ff6",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85133912115
"Marotta, N., De Sire, A., Marinaro, C., Moggio, L., Inzitari, M.T., Russo, I., Tasselli, A., Paolucci, T., Valentino, P., Ammendolia, A.","57215886581;56747960300;57193132101;57216504038;15069589600;57562513800;57257117900;55079615500;55493332800;57216625779;","Efficacy of Transcranial Direct Current Stimulation (tDCS) on Balance and Gait in Multiple Sclerosis Patients: A Machine Learning Approach",2022,"Journal of Clinical Medicine","11","12","3505","","",,3,"10.3390/jcm11123505","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132013177&doi=10.3390%2fjcm11123505&partnerID=40&md5=897bea160ec288fbd4d7d1c1209eb7eb",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85132013177
"Cree, B.A.C., Hartung, H.-P., Barnett, M.","55890261600;35372254600;7202823681;","New drugs for multiple sclerosis: New treatment algorithms",2022,"Current Opinion in Neurology","35","3",,"262","270",,3,"10.1097/WCO.0000000000001063","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131488458&doi=10.1097%2fWCO.0000000000001063&partnerID=40&md5=9bf971f641c24f9226246642668a239c",Review,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85131488458
"Guerrero, S., Sánchez-Tirado, E., Agüí, L., González-Cortés, A., Yáñez-Sedeño, P., Pingarrón, J.M.","56943106000;56888829400;6602947242;7003694766;6603830001;57191446920;","Monitoring autoimmune diseases by bioelectrochemical detection of autoantibodies. Application to the determination of anti-myelin basic protein autoantibodies in serum of multiple sclerosis patients",2022,"Talanta","243",,"123304","","",,3,"10.1016/j.talanta.2022.123304","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125456059&doi=10.1016%2fj.talanta.2022.123304&partnerID=40&md5=428b0d56916dd0015b402e635c5cf83f",Article,"Final","",Scopus,2-s2.0-85125456059
"Sandroff, B.M., Motl, R.W., Amato, M.P., Brichetto, G., Chataway, J., Chiaravalloti, N.D., Cutter, G.R., Dalgas, U., DeLuca, J., Farrell, R., Feys, P., Filippi, M., Freeman, J., Inglese, M., Meza, C., Rocca, M.A., Salter, A., Feinstein, A.","41562065700;7004580855;7103061535;6506371342;57212501583;6701625461;34568672500;24822008800;7102873425;15730994000;6602128573;7202268530;57425207500;7004371136;57216912478;34973365100;23467695100;7202235415;","Cardiorespiratory fitness and free-living physical activity are not associated with cognition in persons with progressive multiple sclerosis: Baseline analyses from the CogEx study",2022,"Multiple Sclerosis Journal","28","7",,"1091","1100",,1,"10.1177/13524585211048397","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116372676&doi=10.1177%2f13524585211048397&partnerID=40&md5=1c95e674be83bbaf4db0c59048890b07",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85116372676
"Block, V.J., Waliman, M., Xie, Z., Akula, A., Bove, R., Pletcher, M.J., Marcus, G.M., Olgin, J.E., Cree, B.A.C., Gelfand, J.M., Henry, R.G.","56925200400;57215187416;57737677200;57222251202;7003948420;6701518530;7006375973;7006887967;55890261600;36022408500;7401911643;","Making Every Step Count: Minute-by-Minute Characterization of Step Counts Augments Remote Activity Monitoring in People With Multiple Sclerosis",2022,"Frontiers in Neurology","13",,"860008","","",,1,"10.3389/fneur.2022.860008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131809279&doi=10.3389%2ffneur.2022.860008&partnerID=40&md5=10ad061195ff367e1a76ee8a69ee3e42",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85131809279
"Simblett, S., Pennington, M., Quaife, M., Theochari, E., Burke, P., Brichetto, G., Devonshire, J., Lees, S., Little, A., Pullen, A., Stoneman, A., Thorpe, S., Weyer, J., Polhemus, A., Novak, J., Dawe-Lane, E., Morris, D., Mutepua, M., Odoi, C., Wilson, E., Wykes, T.","36769201900;57220469435;57076299300;57094936400;57210136235;6506371342;57210134462;57211978061;57225266713;57189887975;57199575627;57218684217;57210134568;57194482466;57216708365;57217130019;56360681700;57221747268;57202603480;57184856200;7005058916;","Key Drivers and Facilitators of the Choice to Use mHealth Technology in People With Neurological Conditions: Observational Study",2022,"JMIR Formative Research","6","5","e29509","","",,1,"10.2196/29509","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132019600&doi=10.2196%2f29509&partnerID=40&md5=ecea66c9e8e58bd89ba4e0be9ba885ad",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85132019600
"Bois, A., Tervil, B., Moreau, A., Vienne-Jumeau, A., Ricard, D., Oudre, L.","57223910034;57220964841;57208672284;57204738741;23089343000;35766614800;","A topological data analysis-based method for gait signals with an application to the study of multiple sclerosis",2022,"PLoS ONE","17","5 May","e0268475","","",,,"10.1371/journal.pone.0268475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130069649&doi=10.1371%2fjournal.pone.0268475&partnerID=40&md5=310a7fffe2b0ae31e21392e2133a55ec",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85130069649
"Tulipani, L.J., Meyer, B., Allen, D., Solomon, A.J., McGinnis, R.S.","57200934947;57210898550;57223391637;36115140000;37077700000;","Evaluation of unsupervised 30-second chair stand test performance assessed by wearable sensors to predict fall status in multiple sclerosis",2022,"Gait and Posture","94",,,"19","25",,3,"10.1016/j.gaitpost.2022.02.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125144708&doi=10.1016%2fj.gaitpost.2022.02.016&partnerID=40&md5=bc2caabd2e1ab249d77be428a2a52fff",Article,"Final","",Scopus,2-s2.0-85125144708
"Seals, A., Pilloni, G., Kim, J., Sanchez, R., Rizzo, J.-R., Charvet, L., Nov, O., Dove, G.","57204046104;6602956867;57703199200;57703199300;56527876700;55537283900;22981114200;55906741800;","'Are They Doing Better In The Clinic Or At Home?': Understanding Clinicians' Needs When Visualizing Wearable Sensor Data Used In Remote Gait Assessments For People With Multiple Sclerosis",2022,"Conference on Human Factors in Computing Systems - Proceedings",,,"350","","",,1,"10.1145/3491102.3501989","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130585746&doi=10.1145%2f3491102.3501989&partnerID=40&md5=a0a4a2c1b48f86d622c747947250eeca",Conference Paper,"Final","",Scopus,2-s2.0-85130585746
"Hsieh, K.L., Frechette, M.L., Fanning, J., Chen, L., Griffin, A., Sosnoff, J.J.","57195425005;57210886491;43861087700;57416449400;57362439000;6506857510;","The Developments and Iterations of a Mobile Technology-Based Fall Risk Health Application",2022,"Frontiers in Digital Health","4",,"828686","","",,,"10.3389/fdgth.2022.828686","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131262949&doi=10.3389%2ffdgth.2022.828686&partnerID=40&md5=d4041e254b640c6dd162b04226026226",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85131262949
"Das, R., Paul, S., Mourya, G.K., Kumar, N., Hussain, M.","56258896800;54413025800;36976204200;57194222869;55421370800;","Recent Trends and Practices Toward Assessment and Rehabilitation of Neurodegenerative Disorders: Insights From Human Gait",2022,"Frontiers in Neuroscience","16",,"859298","","",,1,"10.3389/fnins.2022.859298","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129282753&doi=10.3389%2ffnins.2022.859298&partnerID=40&md5=28b935d9bef217707d6093d9181b7b32",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85129282753
"Hilty, M., Oldrati, P., Barrios, L., Müller, T., Blumer, C., Foege, M., consortium, P.H.R.T., Holz, C., Lutterotti, A.","57219112033;57201325347;57201315554;57726619000;57726836900;57219929559;57727159300;56070704000;7801326016;","Continuous monitoring with wearables in multiple sclerosis reveals an association of cardiac autonomic dysfunction with disease severity",2022,"Multiple Sclerosis Journal - Experimental, Translational and Clinical","8","2",,"","",,,"10.1177/20552173221103436","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131303749&doi=10.1177%2f20552173221103436&partnerID=40&md5=465a0ac6eb3cf6447689e6e246a18a03",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85131303749
"Wendrich, K., Krabbenborg, L.","57211858773;57671380500;","Digital Self-monitoring of Multiple Sclerosis: Interview Study With Dutch Health Care Providers on the Expected New Configuration of Roles and Responsibilities",2022,"JMIR mHealth and uHealth","10","4","e30224","","",,,"10.2196/30224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129613802&doi=10.2196%2f30224&partnerID=40&md5=e5d5270b6b6caf06907a3ecda7c41229",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85129613802
"Ka-Hoo, L., Ioan, B., Oirschot Pim, V., Graaf Frank, D., Hans, W., Eva, S., Bernard, U., T, H., Joep, K., Groot Vincent, D.","57483542500;57484052900;57483371600;57483704000;57483704100;57484388800;57483704200;57484388900;57484216200;57483704300;","Towards individualized monitoring of cognition in multiple sclerosis in the digital era: A one-year cohort study",2022,"Multiple Sclerosis and Related Disorders","60",,"103692","","",,2,"10.1016/j.msard.2022.103692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85126111732&doi=10.1016%2fj.msard.2022.103692&partnerID=40&md5=632e6fbd84d4aacdc974d1033c20b500",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85126111732
"Goldoni, R., Dolci, C., Boccalari, E., Inchingolo, F., Paghi, A., Strambini, L., Galimberti, D., Tartaglia, G.M.","57219429092;57221801029;57211084080;6507557288;57203137236;6507558250;57220454572;7003489156;","Salivary biomarkers of neurodegenerative and demyelinating diseases and biosensors for their detection",2022,"Ageing Research Reviews","76",,"101587","","",,32,"10.1016/j.arr.2022.101587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125179323&doi=10.1016%2fj.arr.2022.101587&partnerID=40&md5=60e79f658959afb125843400d93658bb",Review,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85125179323
"Solodka, K., Berto, M., Ferraro, D., Menozzi, C., Borsari, M., Bortolotti, C.A., Biscarini, F., Pinti, M.","57313376700;55916543200;7005670751;23498173200;7003297595;6701639177;56228171600;6701578776;","Detection of Neurofilament Light Chain with Label-Free Electrolyte-Gated Organic Field-Effect Transistors",2022,"Advanced Materials Interfaces","9","11","2102341","","",,,"10.1002/admi.202102341","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124628161&doi=10.1002%2fadmi.202102341&partnerID=40&md5=81e21e4fdb2dded12370cd55dab0a3e8",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85124628161
"Block, V.J., Pitsch, E.A., Gopal, A., Zhao, C., Pletcher, M.J., Marcus, G.M., Olgin, J.E., Hollenbach, J., Bove, R., Cree, B.A.C., Gelfand, J.M.","56925200400;24721675000;57221906149;57218392086;6701518530;7006375973;7006887967;6603309682;7003948420;55890261600;36022408500;","Identifying falls remotely in people with multiple sclerosis",2022,"Journal of Neurology","269","4",,"1889","1898",,1,"10.1007/s00415-021-10743-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85112739420&doi=10.1007%2fs00415-021-10743-y&partnerID=40&md5=fddd9a837ef2e3032dc75655616bd64f",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85112739420
"Montalban, X., Graves, J., Midaglia, L., Mulero, P., Julian, L., Baker, M., Schadrack, J., Gossens, C., Ganzetti, M., Scotland, A., Lipsmeier, F., van Beek, J., Bernasconi, C., Belachew, S., Lindemann, M., Hauser, S.L.","7007177960;57224556735;48662674900;36716396800;6602152696;57210888547;57210890577;57210882489;55642519800;57195630269;26029878300;57198184964;35572654700;6603818257;7005073689;7201831074;","A smartphone sensor-based digital outcome assessment of multiple sclerosis",2022,"Multiple Sclerosis Journal","28","4",,"654","664",,17,"10.1177/13524585211028561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110075941&doi=10.1177%2f13524585211028561&partnerID=40&md5=305ac3105b162d3e019f3d6eedd60d28",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85110075941
"Leblanc, R., Decavel, P., Cassirame, J., Tordi, N., Moulin, T., Sagawa, Y.","57807386000;23049491600;21933498200;6701530517;36728904500;55582757300;","Personalized accelerometer cutoffs to evaluate moderate to vigorous physical activity in persons with multiple sclerosis: a feasibility study",2022,"Gazzetta Medica Italiana Archivio per le Scienze Mediche","181","3",,"150","159",,,"10.23736/S0393-3660.20.04442-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134357093&doi=10.23736%2fS0393-3660.20.04442-3&partnerID=40&md5=a6c0a81f3a1a3554430aace2e1d0367b",Article,"Final","",Scopus,2-s2.0-85134357093
"Weinstein, D.R., Owens, G.M., Gandhi, A.","57728182300;57203028945;57728823600;","Multiple Sclerosis: Systemic Challenges to Cost-Effective Care",2022,"American Health and Drug Benefits","15","1",,"13","20",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131378146&partnerID=40&md5=d54c81e6831d675856c77ef054e76043",Article,"Final","",Scopus,2-s2.0-85131378146
"Pardo, G., Coates, S., Okuda, D.T.","24067422300;57226539992;15731885000;","Outcome measures assisting treatment optimization in multiple sclerosis",2022,"Journal of Neurology","269","3",,"1282","1297",,2,"10.1007/s00415-021-10674-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111847014&doi=10.1007%2fs00415-021-10674-8&partnerID=40&md5=07d0857a781873752973a7d580a2df5b",Review,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85111847014
"Salchow-Hömmen, C., Skrobot, M., Jochner, M.C.E., Schauer, T., Kühn, A.A., Wenger, N.","57204934635;57456249200;57194854283;56229005800;7202398730;55902395400;","Review—Emerging Portable Technologies for Gait Analysis in Neurological Disorders",2022,"Frontiers in Human Neuroscience","16",,"768575","","",,2,"10.3389/fnhum.2022.768575","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124757865&doi=10.3389%2ffnhum.2022.768575&partnerID=40&md5=4ce086d8ac92520bdf040c50f6300fa6",Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85124757865
"Huang, S.-C., Guerrieri, S., Costa, G.D., Pisa, M., Leccabue, G., Gregoris, L., Comi, G., Leocani, L.","57201477173;56688297600;57217089963;57200128545;57219707848;57219702508;7201788288;26643042800;","Intensive Neurorehabilitation and Gait Improvement in Progressive Multiple Sclerosis: Clinical, Kinematic and Electromyographic Analysis",2022,"Brain Sciences","12","2","258","","",,1,"10.3390/brainsci12020258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124834476&doi=10.3390%2fbrainsci12020258&partnerID=40&md5=e07370674973cbb324bad5b0dd0014d6",Article,"Final","All Open Access, Gold",Scopus,2-s2.0-85124834476
"Shah, V.V., Curtze, C., Sowalsky, K., Arpan, I., Mancini, M., Carlson-Kuhta, P., El-Gohary, M., Horak, F.B., McNames, J.","56202420700;26633473600;57195292062;43960889900;14123848900;6507069866;16175043200;7102345593;7004220307;","Inertial Sensor Algorithm to Estimate Walk Distance",2022,"Sensors","22","3","1077","","",,,"10.3390/s22031077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123542427&doi=10.3390%2fs22031077&partnerID=40&md5=d87b083b268650b97fb7352e3fe036a9",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85123542427
"Ibrahim, A.A., Flachenecker, F., Gaßner, H., Rothammer, V., Klucken, J., Eskofier, B.M., Kluge, F.","57220856518;57414843600;56397984200;57415001300;6603201965;26428080900;57192813255;","Short inertial sensor-based gait tests reflect perceived state fatigue in multiple sclerosis",2022,"Multiple Sclerosis and Related Disorders","58",,"103519","","",,1,"10.1016/j.msard.2022.103519","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122964012&doi=10.1016%2fj.msard.2022.103519&partnerID=40&md5=f6f610a3ff03adc727791e532fd3bfd2",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85122964012
"Stephens, S., Schneiderman, J.E., Finlayson, M., Berenbaum, T., Motl, R.W., Yeh, E.A.","22837143700;25629038500;7005342078;57193860777;7004580855;57202783371;","Feasibility of a theory-informed mobile app for changing physical activity in youth with multiple sclerosis",2022,"Multiple Sclerosis and Related Disorders","58",,"103467","","",,1,"10.1016/j.msard.2021.103467","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122461642&doi=10.1016%2fj.msard.2021.103467&partnerID=40&md5=bbe968c056616e3ed6fef87452e1faba",Article,"Final","",Scopus,2-s2.0-85122461642
"Lam, K.-H., Twose, J., McConchie, H., Licitra, G., Meijer, K., de Ruiter, L., van Lierop, Z., Moraal, B., Barkhof, F., Uitdehaag, B., de Groot, V., Killestein, J.","57202955852;57220109301;57220103667;57193579985;56583871500;57311303400;57219463758;24067235400;7102989379;7006076844;6701620344;7004423164;","Smartphone-derived keystroke dynamics are sensitive to relevant changes in multiple sclerosis",2022,"European Journal of Neurology","29","2",,"522","534",,4,"10.1111/ene.15162","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119257676&doi=10.1111%2fene.15162&partnerID=40&md5=8a83173e150ebdbc5d871113e3f63961",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85119257676
"Lam, K.H., van Oirschot, P., den Teuling, B., Hulst, H.E., de Jong, B.A., Uitdehaag, B.M.J., de Groot, V., Killestein, J.","57202955852;57356659900;57219413353;57214771421;35877256000;7006076844;6701620344;7004423164;","Reliability, construct and concurrent validity of a smartphone-based cognition test in multiple sclerosis",2022,"Multiple Sclerosis Journal","28","2",,"300","308",,7,"10.1177/13524585211018103","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106589556&doi=10.1177%2f13524585211018103&partnerID=40&md5=a7740b7cc2ddafd3874fbcb5e5504892",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85106589556
"Carpinella, I., Gervasoni, E., Anastasi, D., Di Giovanni, R., Tacchino, A., Brichetto, G., Confalonieri, P., Solaro, C., Rovaris, M., Ferrarin, M., Cattaneo, D.","16174260800;57192344544;57204651309;57204240264;16246150800;6506371342;7004054280;57511380800;7005618200;6604078293;7003782543;","Walking With Horizontal Head Turns Is Impaired in Persons With Early-Stage Multiple Sclerosis Showing Normal Locomotion",2022,"Frontiers in Neurology","12",,"821640","","",,2,"10.3389/fneur.2021.821640","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124630294&doi=10.3389%2ffneur.2021.821640&partnerID=40&md5=bbec5b4cddedbc95311d8ad760f5ab0a",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85124630294
"Xie, T., Padmanaban, M., Javed, A., Satzer, D., Towle, T.E., Warnke, P., Towle, V.L.","54986157500;57190689859;24483341900;56030785700;57431971000;7006350551;7004514341;","Effect of Deep Brain Stimulation on Cerebellar Tremor Compared to Non-Cerebellar Tremor Using a Wearable Device in a Patient With Multiple Sclerosis: Case Report",2022,"Frontiers in Human Neuroscience","15",,"754091","","",,,"10.3389/fnhum.2021.754091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123694382&doi=10.3389%2ffnhum.2021.754091&partnerID=40&md5=c4b4f4813523db7515fa35796112fb18",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85123694382
"Graves, J.S., Ganzetti, M., Dondelinger, F., Lipsmeier, F., Belachew, S., Bernasconi, C., Montalban, X., van Beek, J., Baker, M., Gossens, C., Lindemann, M.","57224556735;55642519800;36197837100;26029878300;6603818257;35572654700;7007177960;57198184964;57210888547;57210882489;7005073689;","Preliminary validity of the Draw a Shape Test for upper extremity assessment in multiple sclerosis",2022,"Annals of Clinical and Translational Neurology",,,,"","",,,"10.1002/acn3.51705","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85145065345&doi=10.1002%2facn3.51705&partnerID=40&md5=36ba757b0f8897d9abb05ebc801926df",Article,"Article in Press","",Scopus,2-s2.0-85145065345
"Lam, J.S., Hasan, M.R., Ahmed, K.A., Hossain, M.Z.","58020069600;57215341043;57409049800;57212814547;","Machine Learning to Diagnose Neurodegenerative Multiple Sclerosis Disease",2022,"Communications in Computer and Information Science","1716 CCIS",,,"251","262",,1,"10.1007/978-981-19-8234-7_20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85144206153&doi=10.1007%2f978-981-19-8234-7_20&partnerID=40&md5=7c3458ab4998b757324c7940702c2452",Conference Paper,"Final","",Scopus,2-s2.0-85144206153
"Chen, M.H., Leow, A., Ross, M.K., DeLuca, J., Chiaravalloti, N., Costa, S.L., Genova, H.M., Weber, E., Hussain, F., Demos, A.P.","57216581821;9635292600;57284557700;7102873425;6701625461;56814279600;8514730800;24777670400;57218287872;55236667600;","Associations between smartphone keystroke dynamics and cognition in MS",2022,"Digital Health","8",,,"","",,,"10.1177/20552076221143234","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143639568&doi=10.1177%2f20552076221143234&partnerID=40&md5=5addf67ee455d95c373bb3b891a40c3f",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85143639568
"Ganzetti, M., Graves, J.S., Holm, S.P., Dondelinger, F., Midaglia, L., Gaetano, L., Craveiro, L., Lipsmeier, F., Bernasconi, C., Montalban, X., Hauser, S.L., Lindemann, M.","55642519800;57224556735;57900129900;36197837100;48662674900;57188959275;57195295864;26029878300;35572654700;7007177960;7201831074;7005073689;","Neural correlates of digital measures shown by structural MRI: a post-hoc analysis of a smartphone-based remote assessment feasibility study in multiple sclerosis",2022,"Journal of Neurology",,,,"","",,,"10.1007/s00415-022-11494-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143318810&doi=10.1007%2fs00415-022-11494-0&partnerID=40&md5=d82d0ba2503be0a811c4853534714a2e",Article,"Article in Press","All Open Access, Hybrid Gold",Scopus,2-s2.0-85143318810
"Urosevic, V., Dagliati, A., Ottaviano, M., Vojicic, N., Larizza, C., Pala, D.","41862815300;57192824262;24723259500;57802450300;6701382890;57208402794;","Design and Optimization of REST Services for Performance and Scalability in Provision of Big Environmental Data to Exploratory Analytics of their Effects on Progression of ALS and MS",2022,"IEEE International Conference on Consumer Electronics - Berlin, ICCE-Berlin","2022-September",,,"","",,,"10.1109/ICCE-Berlin56473.2022.9937100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142370206&doi=10.1109%2fICCE-Berlin56473.2022.9937100&partnerID=40&md5=24be83e2da94b1c06dccf27c5ba99ba0",Conference Paper,"Final","",Scopus,2-s2.0-85142370206
"Creagh, A.P., Dondelinger, F., Lipsmeier, F., Lindemann, M., De Vos, M.","57195574606;36197837100;26029878300;7005073689;15834083300;","Longitudinal Trend Monitoring of Multiple Sclerosis Ambulation Using Smartphones",2022,"IEEE Open Journal of Engineering in Medicine and Biology","3",,,"202","210",,,"10.1109/OJEMB.2022.3221306","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141602826&doi=10.1109%2fOJEMB.2022.3221306&partnerID=40&md5=e17f4852c8a9c4811028373767ecc7fa",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85141602826
"Altmann, P., Ponleitner, M., Monschein, T., Krajnc, N., Zulehner, G., Zrzavy, T., Leutmezer, F., Rommer, P.S., Kornek, B., Berger, T., Bsteh, G.","53363241300;57219923966;57219001695;57223848381;25643851500;55762130100;6604028817;26431605100;6602773799;7202632707;55629675900;","Feasibility of a smartphone app to monitor patient reported outcomes in multiple sclerosis: The haMSter interventional trial",2022,"Digital Health","8",,,"","",,,"10.1177/20552076221135387","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85141402629&doi=10.1177%2f20552076221135387&partnerID=40&md5=4582dc0e2d8215f39e3674ef8608d71a",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85141402629
"Panizzolo, F.A., Cimino, S., Pettenello, E., Belfiore, A., Petrone, N., Marcolin, G.","36617761000;57917585000;57917564500;57917574700;36477644500;30967601000;","Effect of a passive hip exoskeleton on walking distance in neurological patients",2022,"Assistive Technology","34","5",,"527","532",,2,"10.1080/10400435.2021.1880494","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139376287&doi=10.1080%2f10400435.2021.1880494&partnerID=40&md5=6e0598a18fc8597c9da4fed1677f2d0e",Article,"Final","",Scopus,2-s2.0-85139376287
"Barrios, L., Amon, R., Oldrati, P., Hilty, M., Holz, C., Lutterotti, A.","57201315554;57863525600;57201325347;57219112033;56070704000;7801326016;","Cognitive fatigability assessment test (cFAST): Development of a new instrument to assess cognitive fatigability and pilot study on its association to perceived fatigue in multiple sclerosis",2022,"Digital Health","8",,,"","",,,"10.1177/20552076221117740","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136794965&doi=10.1177%2f20552076221117740&partnerID=40&md5=8a5330932cb3e232b404ad4d912f5def",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85136794965
"Lucangeli, L., D'angelantonio, E., Camomilla, V., Pallotti, A.","57222588797;57226612548;6508000391;57190986464;","SISTINE 2.0: Sensorized Socks for Postural Telemonitoring",2022,"2022 IEEE International Workshop on Metrology for Industry 4.0 and IoT, MetroInd 4.0 and IoT 2022 - Proceedings",,,,"283","288",,,"10.1109/MetroInd4.0IoT54413.2022.9831630","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136115553&doi=10.1109%2fMetroInd4.0IoT54413.2022.9831630&partnerID=40&md5=eb4de64f5e7ae970fd32f05fc53ca47c",Conference Paper,"Final","",Scopus,2-s2.0-85136115553
"Zou, J., Zhang, Q.","57221676410;56939502300;","eyeSay: Brain Visual Dynamics Decoding With Deep Learning &amp; Edge Computing",2022,"IEEE Transactions on Neural Systems and Rehabilitation Engineering","30",,,"2217","2224",,,"10.1109/TNSRE.2022.3193714","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135751752&doi=10.1109%2fTNSRE.2022.3193714&partnerID=40&md5=4e2e8c98cef7e7561611182ddde5897c",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85135751752
