,Author.Names,Title,Source.title,Publication.Year,Abstract,Publication.Type,DOI,ID,database,yvonne_included,yvonne_excluded,yvonne_comments,catherine_included,catherine_excluded,catherine_comment,tim,tim_comment
412,"Paiman, C; Lemus, D; Short, D; Vallery, H",Observing the State of Balance with a Single Upper-Body Sensor,FRONTIERS IN ROBOTICS AND AI,2016,"The occurrence of falls is an urgent challenge in our aging society. For wearable devices that actively prevent falls or mitigate their consequences, a critical prerequisite is knowledge on the user's current state of balance. To keep such wearable systems practical and to achieve high acceptance, only very limited sensor instrumentation is possible, often restricted to inertial measurement units at waist level. We propose to augment this limited sensor information by combining it with additional knowledge on human gait, in the form of an observer concept. The observer contains a combination of validated concepts to model human gait: a spring-loaded inverted pendulum model with articulated upper body, where foot placement and stance leg are controlled via the extrapolated center of mass (XCoM) and the virtual pivot point (VPP), respectively. State estimation is performed via an Additive Unscented Kalman Filter (Additive UKF). We investigated sensitivity of the proposed concept to model uncertainties, and we evaluated observer performance with real data from human subjects walking on a treadmill. Data were collected from an Inertial Measurement Unit (IMU) placed near the subject's center of mass (CoM), and observer estimates were compared to the ground truth as obtained via infrared motion capture. We found that the root mean squared deviation did not exceed 13 cm on position, 22 cm/s on velocity (0.56-1.35 m/s), 1.2 degrees on orientation, and 17 degrees/s on angular velocity.",Article,10.3389/FROBT.2016.00011,WOS:000382477000001,WoS,Yes,,,no,Out of scope,No MS patients,Out of scope (topic),not MS
413,"Grover S.A., Sawicki C.P., Kinnett-Hopkins D., Finlayson M., Schneiderman J.E., Banwell B., Till C., Motl R.W., Yeh E.A.",Physical Activity and Its Correlates in Youth with Multiple Sclerosis,Journal of Pediatrics,2016,"Objectives To investigate physical activity levels in youth with multiple sclerosis and monophasic acquired demyelinating syndromes ([mono-ADS], ie, children without relapsing disease) compared with healthy controls and to determine factors that contribute to engagement in physical activity. We hypothesized that greater physical activity goal setting and physical activity self-efficacy would be associated with greater levels of vigorous physical activity in youth with multiple sclerosis. Study design A total of 68 consecutive patients (27 multiple sclerosis, 41 mono-ADS) and 37 healthy controls completed fatigue, depression, Physical Activity Self-Efficacy Scale, perceived disability, Exercise Goal-Setting scale, and physical activity questionnaires, and wore an accelerometer for 7 days. All patients had no ambulatory limitations (Expanded Disability Status Scale, scores all?<4). Results Youth with multiple sclerosis engaged in fewer minutes per day of vigorous (P?=?.009) and moderate and vigorous physical activity (P?=?.048) than did patients with mono-ADS and healthy controls. A lower proportion of the group with multiple sclerosis (63%) reported participating in any strenuous physical activity than the mono-ADS (85%) and healthy control (89%) groups (P?=?.020). When we adjusted for age and sex, the Physical Activity Self-Efficacy Scale and Exercise Goal-Setting scale were associated positively with vigorous physical activity in the group with multiple sclerosis. Fatigue and depression did not predict physical activity or accelerometry metrics. Conclusions Youth with multiple sclerosis participate in less physical activity than their counterparts with mono-ADS and healthy controls. Physical activity self-efficacy and exercise goal setting serve as potentially modifiable correlates of physical activity, and are measures suited to future interventions aimed to increase physical activity in youth with multiple sclerosis.",Article,10.1016/J.JPEDS.2016.08.104,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=10976833&id=doi:10.1016%2Fj.jpeds.2016.08.104&atitle=Physical+Activity+and+Its+Correlates+in+Youth+with+Multiple+Sclerosis&stitle=J.+Pediatr.&title=Journal+of+Pediatrics&volume=179&issue=&spage=197&epage=203.e2&aulast=Grover&aufirst=Stephanie+A.&auinit=S.A.&aufull=Grover+S.A.&coden=JOPDA&isbn=&pages=197-203.e2&date=2016&auinit1=S&auinitm=A,Embase,Yes,,,no,Out of scope,youth population,included,accelerometer used as outcome measure
414,"Kinnett-Hopkins D., Grover S.A., Yeh E.A., Motl R.W.",Physical activity in pediatric onset multiple sclerosis: Validating a questionnaire for clinical practice and research,Multiple Sclerosis and Related Disorders,2016,"Background Knowledge regarding physical activity (PA) and its benefits in pediatric onset multiple sclerosis (POMS) is growing and suggests high levels of inactivity. The utility of a validated screening tool for clinical settings is unknown. This study evaluated the Godin Leisure-Time Exercise Questionnaire (GLTEQ) as a measure of PA in POMS. Methods POMS patients (n=27) and healthy controls (n=45) wore an accelerometer over a 7-day period and then completed the GLTEQ. Results The GLTEQ captured expected group differences in PA for vigorous, moderate, and moderate-to-vigorous physical activity (MVPA), confirmed by accelerometry. There was a large, positive correlation between GLTEQ and accelerometry scores for vigorous PA in POMS (r=0.736, p=0.001), and a nearly significant and moderate, positive correlation between MVPA scores (r=0.319, p=.053). Conclusion We provide evidence that supports the validity of GLTEQ scores as measures of vigorous and MVPA in POMS. Researchers and clinicians might adopt this scale for measuring PA.",Article,10.1016/J.MSARD.2016.08.010,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=22110356&id=doi:10.1016%2Fj.msard.2016.08.010&atitle=Physical+activity+in+pediatric+onset+multiple+sclerosis%3A+Validating+a+questionnaire+for+clinical+practice+and+research&stitle=Mult.+Scler.+Relat.+Disord.&title=Multiple+Sclerosis+and+Related+Disorders&volume=10&issue=&spage=26&epage=29&aulast=Kinnett-Hopkins&aufirst=Dominique&auinit=D.&aufull=Kinnett-Hopkins+D.&coden=&isbn=&pages=26-29&date=2016&auinit1=D&auinitm=,Embase,Yes,,,no,Pediatric,,included,accelerometer used as outcome measure
419,"Zörner B., Filli L., Reuter K., Kapitza S., Lörincz L., Sutter T., Weller D., Farkas M., Easthope C.S., Czaplinski A., Weller M., Linnebank M.",Prolonged-release fampridine in multiple sclerosis: Improved ambulation effected by changes in walking pattern,Multiple Sclerosis,2016,"Background: Prolonged-release fampridine (PR-fampridine, 4-aminopyridine) increases walking speed in the timed 25-foot walk test (T25FW) in some patients (timed-walk responders) with multiple sclerosis (MS). Objective: To explore the effects of PR-fampridine on different aspects of walking function and to identify associated gait modifications in subjects with MS. Methods: In this prospective, randomized, placebo-controlled, double-blind, phase II study (FAMPKIN; clinicaltrials.gov, NCT01576354), subjects received a 6-week course of oral placebo or PR-fampridine treatment (10 mg, twice daily) before crossing over. Using 3D-motion-analysis, kinematic and kinetic parameters were assessed during treadmill walking (primary endpoint). Clinical outcome measures included T25FW, 6-minute walk test (6MWT), and balance scales. Physical activity in everyday life was measured with an accelerometer device. Results: Data from 55 patients were suitable for analysis. Seventeen subjects were timed-walk responders under PR-fampridine. For the total study population and for responders, a significant increase in walking speed (T25FW) and distance (6MWT) was observed. Gait pattern changes were found at the single-subject level and correlated with improvements in the T25FW and 6MWT. Physical activity was increased in responders. Conclusion: PR-fampridine improves walking speed, endurance, and everyday physical activity in a subset of subjects with MS and leads to individual modifications of the gait pattern.",Article,10.1177/1352458515622695,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14770970&id=doi:10.1177%2F1352458515622695&atitle=Prolonged-release+fampridine+in+multiple+sclerosis%3A+Improved+ambulation+effected+by+changes+in+walking+pattern&stitle=Mult.+Scler.&title=Multiple+Sclerosis&volume=22&issue=11&spage=1463&epage=1475&aulast=Z%C3%B6rner&aufirst=Bj%C3%B6rn&auinit=B.&aufull=Z%C3%B6rner+B.&coden=MUSCF&isbn=&pages=1463-1475&date=2016&auinit1=B&auinitm=,Embase,Yes,,,no,Out of scope,,included,accelerometer used as outcome measure
420,"Cain, SM; McGinnis, RS; Davidson, SP; Vitali, RV; Perkins, NC; McLean, SG",Quantifying performance and effects of load carriage during a challenging balancing task using an array of wireless inertial sensors,GAIT & POSTURE,2016,"We utilize an array of wireless inertial measurement units (IMUs) to measure the movements of subjects (n = 30) traversing an outdoor balance beam (zigzag and sloping) as quickly as possible both with and without load (20.5 kg). Our objectives are: (1) to use IMU array data to calculate metrics that quantify performance (speed and stability) and (2) to investigate the effects of load on performance. We hypothesize that added load significantly decreases subject speed yet results in increased stability of subject movements. We propose and evaluate five performance metrics: (1) time to cross beam (less time = more speed), (2) percentage of total time spent in double support (more double support time = more stable), (3) stride duration (longer stride duration = more stable), (4) ratio of sacrum M-L to A-P acceleration (lower ratio = less lateral balance corrections = more stable), and (5) M-L torso range of motion (smaller range of motion = less balance corrections = more stable). We find that the total time to cross the beam increases with load (t = 4.85, p < 0.001). Stability metrics also change significantly with load, all indicating increased stability. In particular, double support time increases (t = 6.04, p < 0.001), stride duration increases (t = 3.436, p = 0.002), the ratio of sacrum acceleration RMS decreases (t = -5.56, p < 0.001), and the M-L torso lean range of motion decreases (t = -2.82, p = 0.009). Overall, the IMU array successfully measures subject movement and gait parameters that reveal the trade-off between speed and stability in this highly dynamic balance task. (C) 2015 Elsevier B.V. All rights reserved.",Article,10.1016/J.GAITPOST.2015.10.022,WOS:000366158300011,WoS,Yes,,,no,Out of scope,No MS patients,Out of scope (topic),interesting
421,M. Engelhard,Quantifying six-minute walk induced gait deterioration with inertial sensors in multiple sclerosis subjects,Gait and Posture,2016,NA,Article,10.1016/J.GAITPOST.2016.07.184,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84979673801&origin=inward,Scopus,Yes,,,no,Out of scope,,included,IMU
422,"Craig, JJ; Bruetsch, A; Huisinga, JM",Relationship between trunk and foot accelerations during walking in healthy adults,GAIT & POSTURE,2016,"Understanding upper body and lower body segment relationships may be an important step in assessing stability during gait. This study explored the relationship between acceleration patterns at the trunk and at the foot during treadmill walking at self-selected pace in healthy adults. Forty healthy subjects walked on a treadmill for 3 minutes at self-selected speed. Root mean square (RMS) and approximate entropy (ApEn) were derived from the acceleration time series at the trunk and at the foot in the frontal and sagittal plane. RMS of accelerations at the trunk were strongly correlated with RMS values at the foot in the sagittal plane (r = 0.883, p < 0.01) and in the frontal plane (r = 0.811, p < 0.01). ApEn values at the trunk were moderately correlated with ApEn values at the foot in the sagittal plane (r = 0.603, p < 0.01) only. These results show that acceleration variability at the foot is related to acceleration variability at the trunk, specifically that increased variability at the foot is tied to increased variability at the trunk in healthy adults. Portable inertial sensors can potentially be used in any environment including a laboratory, clinic, or at home to measure lower and upper body segment motion, and assessing relationships between upper and lower body motion may provide a more comprehensive evaluation of overall stability. (C) 2016 Elsevier B.V. All rights reserved.",Article,10.1016/J.GAITPOST.2016.06.001,WOS:000384858400005,WoS,Yes,,,no,Out of scope,No MS Patients,Out of scope (topic),interesting
427,"Matthies, DJC; Haescher, M; Nanayakkara, S; Bieber, G",Step Detection for Rollator Users with Smartwatches,SUI'18: PROCEEDINGS OF THE 2018 SYMPOSIUM ON SPATIAL USER INTERACTION,2016,"Smartwatches enable spatial user input, namely for the continuous tracking of physical activity and relevant health parameters. Additionally, smartwatches are experiencing greater social acceptability, even among the elderly. While step counting is an essential parameter to calculate the user's spatial activity, current detection algorithms are insufficient for calculating steps when using a rollator, which is a common walking aid for elderly people. Through a pilot study conducted with eight different wrist-worn smart devices, an overall recognition of similar to 10% was achieved. This is because characteristic motions utilized by step counting algorithms are poorly reflected at the user's wrist when pushing a rollator. This issue is also present among other spatial activities such as pushing a pram, a bike, and a shopping cart. This paper thus introduces an improved step counting algorithm for wrist-worn accelerometers. This new algorithm was first evaluated through a controlled study and achieved promising results with an overall recognition of similar to 85%. As a follow-up, a preliminary field study with randomly selected elderly people who used rollators resulted in similar detection rates of similar to 83%. To conclude, this research will expectantly contribute to greater step counting precision in smart wearable technology.",Proceedings Paper,10.1145/3267782.3267784,WOS:000493133300020,WoS,Yes,,,no,Conference proceeding,,Out of scope (topic),"no MS patients, interesting"
429,"Van Der Logt R.P., Findling O., Rust H., Yaldizli O., Allum J.H.J.",The effect of vibrotactile biofeedback of trunk sway on balance control in multiple sclerosis,Multiple Sclerosis and Related Disorders,2016,"Background Patients with multiple sclerosis (MS) suffer from diminished balance control due to slowed sensory conduction and possibly delayed central processing. Vibrotactile biofeedback of trunk sway has been shown to improve balance control in patients with peripheral and central vestibular disorders. Here, the effects of vibrotactile feedback training on trunk sway and a possible carry-over effect was measured in MS patients during stance and gait. Methods Ten MS patients (mean age 46.8±7.7 years, 40% male) participated in a crossover study in which 7 different stance and gait tasks were trained with and without angle feedback for stance and angular velocity feedback for gait. An assessment sequence of 12 tasks was performed once before and twice after the training sequence. Trunk sway was measured with body-worn gyroscopes. Head mounted vibrotactile biofeedback of trunk sway was provided during one crossover training arm and the following second assessment sequence. Results Biofeedback generally leads to a decrease in sway but an increase in sway angular velocities during some stance tasks compared to training without biofeedback. Biofeedback while walking eyes open resulted in a decreased sway angular velocity. The greatest changes were found in the pitch direction of trunk sway. Effects diminished after biofeedback was removed. Conclusions This study showed that vibrotactile biofeedback of trunk sway beneficially effects stance and provides significant improvement in gait compared to training without biofeedback in MS patients.",Article,10.1016/J.MSARD.2016.05.003,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=22110356&id=doi:10.1016%2Fj.msard.2016.05.003&atitle=The+effect+of+vibrotactile+biofeedback+of+trunk+sway+on+balance+control+in+multiple+sclerosis&stitle=Mult.+Scler.+Relat.+Disord.&title=Multiple+Sclerosis+and+Related+Disorders&volume=8&issue=&spage=58&epage=63&aulast=Van+Der+Logt&aufirst=R.P.&auinit=R.P.&aufull=Van+Der+Logt+R.P.&coden=&isbn=&pages=58-63&date=2016&auinit1=R&auinitm=P,Embase,Yes,,,no,Out of scope,,Out of scope (topic),"wearable for therapy, not diagnostic"
436,"Braendvik S.M., Koret T., Helbostad J.L., Lorås H., Bråthen G., Hovdal H.O., Aamot I.L.",Treadmill Training or Progressive Strength Training to Improve Walking in People with Multiple Sclerosis? A Randomized Parallel Group Trial,Physiotherapy research international : the journal for researchers and clinicians in physical therapy,2016,"BACKGROUND AND PURPOSE: The most effective treatment approach to improve walking in people with multiple sclerosis (MS) is not known. The aim of this trial was to assess the efficacy of treadmill training and progressive strength training on walking in people with MS.METHODS: A single blinded randomized parallel group trial was carried out. Eligible participants were adults with MS with Expanded Disability Status Scale score ?6. A total of 29 participants were randomized and 28 received the allocated exercise intervention, treadmill (n?=?13) or strength training (n?=?15). Both groups exercised 30?minutes, three times a week for 8?weeks. Primary outcome was The Functional Ambulation Profile evaluated by the GAITRite walkway. Secondary outcomes were walking work economy and balance control during walking, measured by a small lightweight accelerometer connected to the lower back. Testing was performed at baseline and the subsequent week after completion of training.RESULTS: Two participants were lost to follow-up, and 11 (treadmill) and 15 (strength training) were left for analysis. The treadmill group increased their Functional Ambulation Profile score significantly compared with the strength training group (p?=?.037). A significant improvement in walking work economy (p?=?.024) and a reduction of root mean square of vertical acceleration (p?=?.047) also favoured the treadmill group.DISCUSSION: The results indicate that task-specific training by treadmill walking is a favourable approach compared with strength training to improve walking in persons with mild and moderate MS. Implications for Physiotherapy practice, this study adds knowledge for the decision of optimal treatment approaches in people with MS. Copyright © 2015 John Wiley & Sons, Ltd.",Article,10.1002/PRI.1636,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14712865&id=doi:10.1002%2Fpri.1636&atitle=Treadmill+Training+or+Progressive+Strength+Training+to+Improve+Walking+in+People+with+Multiple+Sclerosis%3F+A+Randomized+Parallel+Group+Trial&stitle=Physiother+Res+Int&title=Physiotherapy+research+international+%3A+the+journal+for+researchers+and+clinicians+in+physical+therapy&volume=21&issue=4&spage=228&epage=236&aulast=Braendvik&aufirst=Siri+Merete&auinit=S.M.&aufull=Braendvik+S.M.&coden=&isbn=&pages=228-236&date=2016&auinit1=S&auinitm=M,Embase,Yes,,,no,Out of scope,,included,accelerometer used as outcome measure
442,"Lorefice L., Coghe G., Fenu G., Porta M., Pilloni G., Frau J., Corona F., Sechi V., Barracciu M.A., Marrosu M.G., Pau M., Cocco E.",‘Timed up and go’ and brain atrophy: a preliminary MRI study to assess functional mobility performance in multiple sclerosis,Journal of Neurology,2017,"Motor and cognitive disabilities are related to brain atrophy in multiple sclerosis (MS). ‘Timed up and go’ (TUG) has been recently tested in MS as functional mobility test, as it is able to evaluate ambulation/coordination-related tasks, as well as cognitive function related to mobility. The objective of this study is to evaluate the relationship between brain volumes and TUG performances. Inclusion criteria were a diagnosis of MS and the ability to walk at least 20 m. TUG was performed using a wearable inertial sensor. Times and velocities of TUG sub-phases were calculated by processing trunk acceleration data. Patients underwent to a brain MRI, and volumes of whole brain, white matter (WM), grey matter (GM), and cortical GM (C) were estimated with SIENAX. Sixty patients were enrolled. Mean age was 41.5 ± 11.6 years and mean EDSS 2.3 ± 1.2. Total TUG duration was correlated to lower WM (? = 0.358, p = 0.005) and GM (? = 0.309, p = 0.017) volumes. A stronger association with lower GM volume was observed for intermediate (? = 0.427, p = 0.001) and final turning (? = 0.390, p = 0.002). TUG is a useful tool in a clinical setting as it can not only evaluate patients’ disability in terms of impaired functional mobility, but also estimate pathological features, such as grey atrophy.",Article,10.1007/S00415-017-8612-Y,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14321459&id=doi:10.1007%2Fs00415-017-8612-y&atitle=%E2%80%98Timed+up+and+go%E2%80%99+and+brain+atrophy%3A+a+preliminary+MRI+study+to+assess+functional+mobility+performance+in+multiple+sclerosis&stitle=J.+Neurol.&title=Journal+of+Neurology&volume=264&issue=11&spage=2201&epage=2204&aulast=Lorefice&aufirst=Lorena&auinit=L.&aufull=Lorefice+L.&coden=JNRYA&isbn=&pages=2201-2204&date=2017&auinit1=L&auinitm=,Embase,Yes,,,no,Out of scope,,included,accelerometer used as outcome measure
463,A. Qureshi,Demonstrating the real-world significance of the mid-swing to heel strike part of the gait cycle using spectral features,"2017 IEEE 14th International Conference on Wearable and Implantable Body Sensor Networks, BSN 2017",2017,NA,Conference Paper,10.1109/BSN.2017.7936025,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85025459263&origin=inward,Scopus,No,Out of scope (topic),,yes,,Conference paper with sufficient data,included,
488,"Sebastião E., Learmonth Y.C., Motl R.W.",Lower Physical Activity in Persons with Multiple Sclerosis at Increased Fall Risk: A Cross-sectional Study,American journal of physical medicine & rehabilitation,2017,"Persons with multiple sclerosis (MS) often report being afraid of falling, and this may have effects on physical activity (PA) engagement. This study investigated PA levels in persons with MS as a function of fall risk categories. Forty-seven persons with MS participated in the study and were categorized into either increased fall risk (IFR; n = 21; 55.5 ± 9.0 years) or normal fall risk (NFR; n = 26; 51.2 ± 12.9 years) groups based on scores from the Activities-Balance Confidence scale. PA was measured by accelerometer and expressed as average steps per day, and time spent in sedentary behavior, light PA, and moderate to vigorous physical activity over the course of 7 consecutive days. Univariate and covariate analyses were used to compare the differences in PA between fall risk groups. The average steps per day of the NFR group was significant higher compared with the IFR group (6024 ± 2533.1 vs. 2599 ± 1622.7 steps; P < 0.001), and the difference remained after controlling for disability level (5351 ± 2298.6 vs. 3432 ± 2363.6 steps; P = 0.016). There were no differences in light PA and moderate to vigorous physical activity between groups after controlling for disability level. Persons with MS at IFR accumulate fewer steps per day compared with those at NFR. This underscores the need for well-designed interventions targeting walking in this population who are far from the recommended 10,000 steps, particularly those with IFR.",Article,10.1097/PHM.0000000000000581,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=15377385&id=doi:10.1097%2FPHM.0000000000000581&atitle=Lower+Physical+Activity+in+Persons+with+Multiple+Sclerosis+at+Increased+Fall+Risk%3A+A+Cross-sectional+Study&stitle=Am+J+Phys+Med+Rehabil&title=American+journal+of+physical+medicine+%26+rehabilitation&volume=96&issue=5&spage=357&epage=361&aulast=Sebasti%C3%A3o&aufirst=Emerson&auinit=E.&aufull=Sebasti%C3%A3o+E.&coden=&isbn=&pages=357-361&date=2017&auinit1=E&auinitm=,Embase,Yes,,,no,Out of scope,,included,accelerometer used as outcome measure
497,"Klaren R.E., Hubbard E.A., Wetter N.C., Sutton B.P., Motl R.W.",Objectively measured sedentary behavior and brain volumetric measurements in multiple sclerosis,Neurodegenerative Disease Management,2017,"Aim: This study examined the association between sedentary behavior patterns and whole brain gray matter (GM), white matter (WM) and subcortical GM structures in persons with multiple sclerosis (MS). Methods: 36 persons with MS wore an accelerometer and underwent a brain MRI. Whole brain GM and WM and deep GM structures were calculated from 3D T1-weighted structural brain images. Results: There were statistically significant (p < 0.01) and moderate or large associations between number of sedentary bouts/day and brain volume measures. The primary result was a consistent negative association between number of sedentary bouts/day and whole brain GM and WM, and deep GM structures. Conclusion: We provide novel evidence for decreased brain volume as a correlate of a sedentary behavior pattern in persons with MS.",Article,10.2217/NMT-2016-0036,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=17582032&id=doi:10.2217%2Fnmt-2016-0036&atitle=Objectively+measured+sedentary+behavior+and+brain+volumetric+measurements+in+multiple+sclerosis&stitle=Neurodegenerative+Dis.+Manage.&title=Neurodegenerative+Disease+Management&volume=7&issue=1&spage=31&epage=37&aulast=Klaren&aufirst=Rachel+E.&auinit=R.E.&aufull=Klaren+R.E.&coden=&isbn=&pages=31-37&date=2017&auinit1=R&auinitm=E,Embase,No,Out of scope (topic),,yes,,,included,accelerometer used as outcome measure
517,"Kasser S.L., Goldstein A., Wood P.K., Sibold J.","Symptom variability, affect and physical activity in ambulatory persons with multiple sclerosis: Understanding patterns and time-bound relationships",Disability and Health Journal,2017,"Background Individuals with multiple sclerosis (MS) experience a clinical course that is highly variable with daily fluctuations in symptoms significantly affecting functional ability and quality of life. Yet, understanding how MS symptoms co-vary and associate with physical and psychological health is unclear. Objective The purpose of the study was to explore variability patterns and time-bound relationships across symptoms, affect, and physical activity in individuals with MS. Methods The study employed a multivariate, replicated, single-subject repeated-measures (MRSRM) design and involved four individuals with MS. Mood, fatigue, pain, balance confidence, and losses of balance were measured daily over 28 days by self-report. Physical activity was also measured daily over this same time period via accelerometry. Dynamic factor analysis (DFA) was used to determine the dimensionality and lagged relationships across the variables. Results Person-specific models revealed considerable time-dependent co-variation patterns as well as pattern variation across subjects. Results also offered insight into distinct variability structures at varying levels of disability. Conclusion Modeling person-level variability may be beneficial for addressing the heterogeneity of experiences in individuals with MS and for understanding temporal and dynamic interrelationships among perceived symptoms, affect, and health outcomes in this group.",Article,10.1016/J.DHJO.2016.10.006,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=18767583&id=doi:10.1016%2Fj.dhjo.2016.10.006&atitle=Symptom+variability%2C+affect+and+physical+activity+in+ambulatory+persons+with+multiple+sclerosis%3A+Understanding+patterns+and+time-bound+relationships&stitle=Disabil.+Health+J.&title=Disability+and+Health+Journal&volume=10&issue=2&spage=207&epage=213&aulast=Kasser&aufirst=Susan+L.&auinit=S.L.&aufull=Kasser+S.L.&coden=&isbn=&pages=207-213&date=2017&auinit1=S&auinitm=L,Embase,No,Out of scope (topic),,yes,,,Out of scope (outcomes),interesting
518,"Aburub A., Khalil H., Al-Sharman A., Alomari M., Khabour O.",The association between physical activity and sleep characteristics in people with multiple sclerosis,Multiple Sclerosis and Related Disorders,2017,"Study objectives The majority of individuals with multiple sclerosis (MS) suffer from sleep disorders. In this study, we investigated the relationship between physical activity and sleep characteristics in MS patients. Methods Sixty MS patients were recruited in the study. Sleep characteristics were assessed using the Actisleep device while physical activity levels were assessed using mobility accelerometer. Results The results showed that means (±SD) of sleep latency (SL) and sleep efficiency (ES) for MS patients were 23.89±13.23 min and 87.52±76.89% respectively. The participants’ total time in sleep (TST) and wake after sleep onset (WASO) were 353.25±63.98 min and 83.84±42.23 min respectively. With respect to physical activity levels, means (±SD) of light (LA), moderate (MA), vigorous (VA) activities and moderate to vigorous physical activity (MVPA) were 11,660.15±18,145, 212.04±148.67, 9.70±9.26 and 222.88±154.60 counts per minute, respectively. Pearson's correlation analysis showed that WASO correlated significantly with LA, MA and MVPA (P<0.05). These correlations remained significant even after accounting for age, body weight and disease severity (P<0.05). Conclusion The results show a positive relationship of physical activity with sleep parameters in individuals with MS.",Article,10.1016/J.MSARD.2016.12.010,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=22110356&id=doi:10.1016%2Fj.msard.2016.12.010&atitle=The+association+between+physical+activity+and+sleep+characteristics+in+people+with+multiple+sclerosis&stitle=Mult.+Scler.+Relat.+Disord.&title=Multiple+Sclerosis+and+Related+Disorders&volume=12&issue=&spage=29&epage=33&aulast=Aburub&aufirst=Aseel&auinit=A.&aufull=Aburub+A.&coden=&isbn=&pages=29-33&date=2017&auinit1=A&auinitm=,Embase,No,Out of scope (outcomes)/Teamdiscussion,,yes,,,included,accelerometer used as outcome measure
522,"Lorefice L., Coghe G., Fenu G., Porta M., Pilloni G., Frau J., Corona F., Marrosu M.G., Pau M., Cocco E.",Timed up and go and brain atrophy: A preliminary MRI study to assess functional mobility performance in multiple sclerosis,Multiple Sclerosis Journal,2017,"Background: Mobility impairment is one of the most disabling problems and cause of comorbidity (eg. falls and bone injuries) in MS. Timed up and go (TUG) is a widely used measure of functional mobility and an instrumented TUG which make use of inertial sensors has been recently tested in MS (Pau et al., 2017). This approach allows obtaining time, acceleration and velocities of each TUG sub-phase (i.e. sit-tostand, intermediate and final turning, stand-to-sit). In addition, as it is based on open-task, TUG evaluate also programming, planning, navigation and other executive functions. Since clinical disabilities, especially motor and cognitive impairment, are highly related to brain atrophy (Charil, A., et al., 2006), and TUG is able to combine these abilities in a single task, the purpose of this study was to evaluate relationship between brain volumes and instrumented TUG (iTUG) performances. Methods: Inclusion criteria for enrollment were a diagnosis of MS according to McDonald criteria and been able to walk at least 20m. iTUG was performed using a wearable inertial sensor as previously reported by Pau et al. Times and velocities of TUG subphases were calculated by processing the trunk accleeration data. .All patients underwent to a brain MRI and volumes of whole brain (WB), white matter (WM), grey matter (GM) and cortical GM (C) were estimated with SIENAX (Smith et al., 2002). Relationship between brain volumes and TUG parameters were assessed by means of Spearman correlation. Results: Sixty patients were enrolled (19 male); mean age was 41.5±11.6 years and mean EDSS was 2.3±1.2. The following significant correlations were found: total TUG duration with WB (Rho=0.270 p=0.038), WM (Rho=0.358 p=0.005), GM (Rho=0.309 p=0.017), C (Rho=0.317 p=0.014); for intermediate turning: mean velocity with WB (Rho=0.365 p=0.004), WM (Rho=0.331 p=0.10), GM (Rho= 0.427 p=0.001), C (Rho=0.380 p=0.003), and maximal velocity with WB (Rho= 0.274 p=0.035), GM (Rho=0.377 p=0.003), C (Rho=0.351 p=0.006). For the final turning: mean velocity with WM (Rho=0.256 p=0.042), GM (Rho=0.350 p=0.007), C (Rho=0.304 p=0.019) and maximal velocity with WB (Rho=0.265 p=0.043), GM (Rho=0.390 p=0.002), C (Rho=0.400 p=0.002). Conclusions: iTUG is a very useful tool in clinical setting as it can not only evaluate patients' disability in terms of impaired functional mobility, but also estimate pathological features such as cortical atrophy.",Conference Abstract,10.1177/1352458517731404,http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14770970&id=doi:10.1177%2F1352458517731404&atitle=Timed+up+and+go+and+brain+atrophy%3A+A+preliminary+MRI+study+to+assess+functional+mobility+performance+in+multiple+sclerosis&stitle=Mult.+Scler.+J.&title=Multiple+Sclerosis+Journal&volume=23&issue=3&spage=156&epage=&aulast=Lorefice&aufirst=L.&auinit=L.&aufull=Lorefice+L.&coden=&isbn=&pages=156-&date=2017&auinit1=L&auinitm=,Embase,Yes,,,no,Abstract,,Abstract only,
