"","Author Names","Title","Source title","Publication Year","Abstract","Publication Type","DOI","Open URL Link","database"
"484","Carpinella I., Cattaneo D., Ferrarin M.","Hilbert-Huang transform based instrumental assessment of intention tremor in multiple sclerosis","Journal of Neural Engineering",2015,"Objective. This paper describes a method to extract upper limb intention tremor from gyroscope data, through the Hilbert-Huang transform (HHT), a technique suitable for the study of nonlinear and non-stationary processes. The aims of the study were to: (i) evaluate the method's ability to discriminate between healthy controls and MS subjects; (ii) validate the proposed procedure against clinical tremor scores assigned using Fahn's tremor rating scale (FTRS); and (iii) compare the performance of the HHT-based method with that of linear band-pass filters. Approach. HHT was applied on gyroscope data collected on 20 MS subjects and 13 healthy controls (CO) during finger-to-nose tests (FNTs) instrumented with an inertial sensor placed on the hand. The results were compared to those obtained after traditional linear filtering. The tremor amplitude was quantified with instrumental indexes (TIs) and clinical FTRS ratings. Main results. The TIs computed after HHT-based filtering discriminated between CO and MS subjects with clinically-detected intention tremor (MS-T). In particular, TIs were significantly higher in the final part of the movement (TI<inf>2</inf>) with respect to the first part (TI<inf>1</inf>), and, for all components (X, Y, Z), MS-T showed a TI<inf>2</inf> significantly higher than in CO subjects. Moreover, the HHT detected subtle alterations not visible from clinical ratings, as TI<inf>2</inf> (Z-component) was significantly increased in MS subjects without clinically-detected tremor (MS-NT). The method's validity was demonstrated by significant correlations between clinical FTRS scores and TI<inf>2</inf> related to X (r<inf>s</inf> = 0.587, p = 0.006) and Y (r<inf>s</inf> = 0.682, p < 0.001) components. Contrarily, fewer differences among the groups and no correlation between instrumental and clinical indexes emerged after traditional filtering. Significance. The present results supported the use of the HHT-based procedure for a fully-automated quantitative and objective measure of intention tremor in MS, which can overcome the limitations of clinical scales and provide supplementary information about this sign.","Article","10.1088/1741-2560/12/4/046011","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=17412552&id=doi:10.1088%2F1741-2560%2F12%2F4%2F046011&atitle=Hilbert-Huang+transform+based+instrumental+assessment+of+intention+tremor+in+multiple+sclerosis&stitle=J.+Neural+Eng.&title=Journal+of+Neural+Engineering&volume=12&issue=4&spage=&epage=&aulast=Carpinella&aufirst=Ilaria&auinit=I.&aufull=Carpinella+I.&coden=&isbn=&pages=-&date=2015&auinit1=I&auinitm=","Embase"
"464","Carpinella I., Cattaneo D., Bonora G., Ferrarin M.","Instrumented finger-to-nose test for the quantitative assessment of intention tremor in multiple sclerosis: A Hilbert-Huang-based approach","Gait and Posture",2015,"Main topics: Analysis of clinical movement data, movement deviation indexes. Introduction and aim: Intention tremor, characterized by increasing amplitude toward the end of goal-directed movements, is a highly disabling symptom of Multiple Sclerosis (MS) [1]. It is usually assessed using clinical ordinal scales rating tremor amplitude during the finger-to-nose test. Although widely used, ordinal scales suffer from high examiner-dependency and poor sensitivity. In the present study, an instrumented finger-to-nose test (FTN) is proposed to overcome these limitations and provide an objective quantitative assessment of intention tremor in MS subjects. Patients/materials and methods: 20 MS subjects and 13 healthy controls (CO) executed FTN (5 repetitions) with an inertial sensor (Xsens, The Netherlands) on the hand's dorsum (X-axis longitudinal, Y medio-lateral, Z normal to the dorsum). Gyroscope signals were processed using Hilbert-Huang transform (HHT) [2], a novel technique suitable for the analysis of non-linear and non- stationary processes. HHT consists of two steps: a) empirical mode decomposition, which decomposes the raw signal in a set of components called Intrinsic Mode Functions (IMF) and b) Hilbert spectral analysis which computes the time-course of instantaneous frequency and instantaneous amplitude of each IMF. After HHT, noise, tremor and voluntary movement were reconstructed, considering that voluntary movement is below 1 Hz while tremor in mainly between 2 Hz and 6 Hz with a vision-dependent component around 1Hz [3]. The following mode selection criterion was proposed: 1) median frequency (MF), median amplitude (MA) and inter-quartile range of amplitude (IQRA) were computed for each IMF; 2) IMFs with MF>7Hz were assigned to noise; 3) the IMF with the maximum MA and MF<1Hz was assigned to movement together with the subsequent modes; 4) IMFs with MF between 2 Hz and 7 Hz were assigned to tremor; 5) remaining IMFs, with MF around 1 Hz, were assigned to tremor if their MA was within the IQRA of the last mode assigned to tremor, else they were assigned to movement. A tremor index (TI: percentage ratio between root mean square of tremor and the norm of raw angular velocity) was proposed to quantify tremor during either the first and the final part of each FTN movement. Intention tremor was also clinically assessed through Fahn Tremor Rating Scale (FTRS). Results: FTRS showed intention tremor in 11MSsubjects (MS T) and no tremor in 9 patients (MS NT). According to the definition of intention tremor, TI of MS subjects was significantly higher in the final part of the movement (TI2) with respect to the first part (TI1). No such a difference was found in CO. As reported in Table 1, MS T showed a TI2 significantly higher than CO (X, Y and Z components) and MS NT (X and Y components). TI2 related to Z component was significantly altered also in MS NT. Finally, a significant positive correlation was found between FTRS score and TI2 related to X (ρ = 0.587, p = 0.006) and Y components (ρ = 0.682, p < 0.001). Discussion and conclusions: Present results suggest that HHT is a suitable technique to analyse intention tremor from gyroscope data in MS. With respect to common methods based on Fourier transform, the proposed procedure has two main advantages: i) it is able to automatically extract tremor components without any a priori knowledge of the tremor frequency specific of each subject, ii) it provides a finer separation between tremor and voluntary movement, that is essential to study the multiple components of MS tremor, which includes low-frequency components around 1 Hz. Moreover, the proposed tremor index (TI): i) is able to discriminate between healthy controls and MS subjects with tremor, ii) is significantly correlated with the clinical tremor score, iii) detects subtle alterations in MS subjects with FTRS = 0 that deserve further study. In conclusion, present results support the use of the proposed procedure as a quick and easy-to-use tool for the quantitative assessment of intention tremor in MS.","Conference Abstract","10.1016/J.GAITPOST.2015.03.066","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=18792219&id=doi:10.1016%2Fj.gaitpost.2015.03.066&atitle=Instrumented+finger-to-nose+test+for+the+quantitative+assessment+of+intention+tremor+in+multiple+sclerosis%3A+A+Hilbert-Huang-based+approach&stitle=Gait+Posture&title=Gait+and+Posture&volume=42&issue=&spage=S34&epage=&aulast=Carpinella&aufirst=I.&auinit=I.&aufull=Carpinella+I.&coden=&isbn=&pages=S34-&date=2015&auinit1=I&auinitm=","Embase"
"507","Blikman L.J., Van Meeteren J., Horemans H.L., Kortenhorst I.C., Beckerman H., Stam H.J., Bussmann J.B.","Is physical behavior affected in fatigued persons with multiple sclerosis?","Archives of Physical Medicine and Rehabilitation",2015,"Objective: To study physical behavior in detail in fatigued persons with multiple sclerosis (MS).Design: Case-control explorative study.Setting: Outpatient rehabilitation department and participants' daily environment.Participants: Fatigued persons with MS (n=23) were selected from a randomized controlled trial. Cases were matched by age and sex to healthy, nonfatigued controls (n=23). Eligible persons with MS were severely fatigued (Checklist Individual Strength fatigue domain mean score, 43.2±6.6) and ambulatory (Expanded Disability Status Scale mean score, 2.5±1.5).Interventions: Not applicable.Main Outcome Measures: Measurements were performed using an accelerometer over 7 days. Outcomes included the following: amount of physical activity expressed in counts per day, counts per minute (CPM), and counts per day period (morning, afternoon, evening); duration of activity intensity categories (sedentary, light physical activity, moderate-to-vigorous physical activity [MVPA]); and distribution of MVPA and sedentary periods over the day.Results: Persons with MS had fewer counts per day (mean difference, -156×10<sup>3</sup>; 95% confidence interval [CI], -273×10<sup>3</sup> to -39×10<sup>3</sup>; P=.010), had fewer CPM (mean difference, -135; 95% CI, -256 to -14; P=.030), and were less physically active in the morning (mean difference, -200; 95% CI, -389 to -11; P=.039) and evening (mean difference, -175; 95% CI, -336 to -14; P=.034) than controls. Persons with MS spent a higher percentage of their time sedentary (mean difference, 5.6; 95% CI,.1-11.1; P=.045) and spent less time at the higher MVPA intensity (mean difference, -2.4; 95% CI, -4.7 to -0.09; P=.042). They had fewer MVPA periods (mean difference, 29; 95% CI, -56.2 to -2.6; P=.032) and a different distribution of sedentary (mean difference,.033; 95% CI,.002 to.064; P=.039) and MVPA periods (mean difference, -.08; 95% CI, -.15 to -.01; P=.023).Conclusions: Detailed analyses of physical behavior showed that ambulatory fatigued persons with MS do differ from healthy controls not only in physical activity level, but also in other physical behavior dimensions (eg, day patterns, intensity, distribution).","Conference Paper","10.1016/J.APMR.2014.08.023","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=1532821X&id=doi:10.1016%2Fj.apmr.2014.08.023&atitle=Is+physical+behavior+affected+in+fatigued+persons+with+multiple+sclerosis%3F&stitle=Arch.+Phys.+Med.+Rehabil.&title=Archives+of+Physical+Medicine+and+Rehabilitation&volume=96&issue=1&spage=24&epage=29&aulast=Blikman&aufirst=Lyan+J.&auinit=L.J.&aufull=Blikman+L.J.&coden=APMHA&isbn=&pages=24-29&date=2015&auinit1=L&auinitm=J","Embase"
"509","Real-Fernández F., Rossi G., Lolli F., Papini A.M., Rovero P.","Label-free method for anti-glucopeptide antibody detection in Multiple Sclerosis","MethodsX",2015,"Abstract Surface plasmon resonance technique is particularly interesting in immunology because it has the potential to visualize label-free antigen-antibody interactions in real-time, thus enabling antibody detection and monitoring. Herein we release the guidelines for the correct use of a method to detect specific antibodies directly in Multiple Sclerosis patients' sera using a glucopeptide-based label-free biosensor. The protocol describes the strategy employed for the immobilization of glucopeptide antigen onto a gold sensor chip and the evaluation of the specific binding of serum antibodies to the immobilized antigen. Label-free method for the real time screening of disease-specific antibodies within a few minutes;The described protocol employs small quantities of glucopeptide antigen and blood serum samples saving method-cost;Stability of the immobilized glucopeptide antigen guarantees the regeneration of the surface allowing re-use the immunosensor with high automated throughput. The antibodies detected using the described methodology can be evaluated as biomarkers of Multiple Sclerosis. The SPR detection system is able to characterize antibodies significantly different from those evaluated in the classical enzyme-linked immunosorbent assays (ELISA).","Article","10.1016/J.MEX.2015.03.004","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=22150161&id=doi:10.1016%2Fj.mex.2015.03.004&atitle=Label-free+method+for+anti-glucopeptide+antibody+detection+in+Multiple+Sclerosis&stitle=MethodsX&title=MethodsX&volume=2&issue=&spage=141&epage=144&aulast=Real-Fern%C3%A1ndez&aufirst=Feliciana&auinit=F.&aufull=Real-Fern%C3%A1ndez+F.&coden=&isbn=&pages=141-144&date=2015&auinit1=F&auinitm=","Embase"
"473","Grover S.A., Hopkins-Topp D., Sawicki C.P., Motl R.W., Finlayson M., Schneiderman J.E., Till C., Banwell B., Yeh E.A.","Low levels of participation in vigorous physical activity in youth with multiple sclerosis and the associations with fatigue and depression","Multiple Sclerosis",2015,"Background: Acquired demyelinating syndromes (ADS) occur in about 1/100,000 children. About 1/5 will eventually receive a diagnosis of multiple sclerosis (MS). Up to 3/4 of children with MS suffer from depression, fatigue, and/or cognitive impairment. Previous studies in healthy adolescents and adults with MS have shown physical activity (PA) to benefit cognition and psychosocial outcomes. Investigating PA may help in the development of non-pharmacologic interventions for symptom management in pediatric MS. Goals: To investigate: (1) PA levels in youth with monophasic ADS (mono-ADS) and MS in comparison to healthy controls (HC); (2) The associations of PA levels in youth with MS wh experience fatigue and depression. Methods: 74 consecutive patients were recruited from the Neuroinflammatory Clinic at the Hospital for Sick Children, Toronto, Canada (25 MS, 49 mono-ADS). 45 HC were recruited by flyers/word of mouth. Accelerometry (7 days), PA (Godin Leisure Time Exercise Questionnaire (GLTEQ)), fatigue (PedsQL MFS) and depression (CES-DC) questionnaires were completed by all participants. SickKids research ethics approval was obtained. Results: MS participants (15.7±1.9 yo) were older than mono- ADS (13.7±2.6; p=0.001) and HC (14.4±2.4; p=0.03) participants. The proportion of females was not different across groups (p=0.14). Accelerometer data showed lower vigorous PA in the MS group (0.07±1.5 min/d) than in the mono-ADS (3.3±5.6 min/d; p=0.006) and HC (5.6±5.0 min/d; p=0.004) groups. On the GLTEQ, indicated MS patients compared with mono-ADS patients participated in lower levels of strenuous (17±18 vs. 30±21 METs, p=0.01) and total (42±29 vs. 63±32 METs, p=0.02) PA. Results remained after controlling for age. No differences were found in fatigue or depression between the groups. For the MS group, fatigue was correlated with depression (r=0.76) and vigorous PA was negatively correlated with fatigue (r=-0.53) and depression (r=-0.54). Conclusions: Youth with MS participate in less vigorous/strenuous PA than their mono-ADS and HC counterparts. Those who participate in higher levels of vigorous PA report fewer depressive and fatigue symptoms. This study is limited by its crosssectional nature, therefore, directionality of this association is unknown. Future investigations should focus on interventions that will help increase the amount of vigorous/strenuous PA as this may have the potential to ameliorate depression and fatigue in youth with MS.","Conference Abstract","10.1177/1352458515602642","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13524585&id=doi:10.1177%2F1352458515602642&atitle=Low+levels+of+participation+in+vigorous+physical+activity+in+youth+with+multiple+sclerosis+and+the+associations+with+fatigue+and+depression&stitle=Mult.+Scler.&title=Multiple+Sclerosis&volume=23&issue=11&spage=379&epage=380&aulast=Grover&aufirst=S.A.&auinit=S.A.&aufull=Grover+S.A.&coden=&isbn=&pages=379-380&date=2015&auinit1=S&auinitm=A","Embase"
"508","Carignan B., Daneault J.-F., Duval C.","Measuring tremor with a smartphone","Methods in Molecular Biology",2015,"Tremor is the most common movement disorder. However; characterizing it in large populations is not easily accomplished since current methodologies are not adapted to large-scale field studies. To overcome this challenge, a smartphone application was developed as a stand-alone platform to assess tremor. The current book chapter details the steps taken to validate this mobile application. Data recorded with the smartphone was analyzed online and offline as well as compared to laboratory equipment and a clinical scale. This allowed for the identification of the tremor properties that could reliably be characterized with the smartphone as well as the limits of the hardware. It also allowed for the identification of tasks that could be performed with the smartphone when tremor was being assessed. Finally, we confirmed the clinical relevance of the results provided by the smartphone application.","Article","10.1007/978-1-4939-2172-0_24","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=10643745&id=doi:10.1007%2F978-1-4939-2172-0_24&atitle=Measuring+tremor+with+a+smartphone&stitle=Methods+Mol.+Biol.&title=Methods+in+Molecular+Biology&volume=1256&issue=&spage=359&epage=374&aulast=Carignan&aufirst=Benoit&auinit=B.&aufull=Carignan+B.&coden=&isbn=&pages=359-374&date=2015&auinit1=B&auinitm=","Embase"
"467","Eremenco S., Shaffer S., Schüler R.","Migration of the fatigue symptoms and impacts questionnaire-relapsing multiple sclerosis (FSIQ-RMSTM) from paper to an electronic diary format","Value in Health",2015,"Objectives: The FSIQ-RMS™ is the first patient-reported outcome (PRO) measure of fatigue in RMS developed according to the 2009 FDA PRO guidance.1 A qualitative study was conducted to provide evidence of adequacy after adapting the FSIQRMS ™ from paper to an electronic handheld device (eDiary). Methods: Migration of the FSIQ-RMS™ to a BLU Life Play® Android™ smartphone involved modifying the instructions and landscape formatting with one item per screen. The FSIQ-RMS™ was administered to adult RMS patients at 2 US sites in a cross-sectional study. After training on the eDiary, each participant completed paper and electronic versions of the FSIQ-RMS™ in randomized order, then a device-usability questionnaire followed by one-on-one semi-structured cognitive interviews to assess comprehension of the FSIQ-RMS™, comparison between paper and electronic platforms, and usability of the eDiary. Results: The migration study included 10 RMS patients (mean age 42 [range 27-54] years; 70% female), 8 with relapsing-remitting MS and 2 with relapsing secondary-progressive MS; mean±SD Expanded Disability Status Scale score 3.2±1.9. All participants understood and were able to view the FSIQ-RMS™ instructions, questions and response options, were able to answer the questions, and reported that the eDiary was easy to use. Based on participant comments, examples were added to one item to clarify the intended meaning. Discrepancies in response between formats were found, but most were not attributed to the device. Many participants (7/10, 70%) spontaneously reported preferring the eDiary to the paper format. Three participants suggested increasing the touch-sensitivity of the “Next” button; 5 suggested that they would have preferred a larger device (n= 3) and/or font size (n= 4). Conclusions: Results confirmed the conceptual equivalence of the FSIQ-RMS™ eDiary to the paper version and its appropriateness for use with RMS patients. Further validation of the FSIQ-RMS™ will be conducted in a Phase III RMS trial.","Conference Abstract",NA,"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=10983015&id=doi:&atitle=Migration+of+the+fatigue+symptoms+and+impacts+questionnaire-relapsing+multiple+sclerosis+%28FSIQ-RMSTM%29+from+paper+to+an+electronic+diary+format&stitle=Value+Health&title=Value+in+Health&volume=18&issue=7&spage=A717&epage=&aulast=Eremenco&aufirst=S.&auinit=S.&aufull=Eremenco+S.&coden=&isbn=&pages=A717-&date=2015&auinit1=S&auinitm=","Embase"
"496","Ezeugwu V., Klaren R.E., Hubbard E.A., Manns P., Motl R.W.","Mobility disability and the pattern of accelerometer-derived sedentary and physical activity behaviors in people with multiple sclerosis","Preventive Medicine Reports",2015,"Objective: Low physical activity and high sedentary behavior levels are major concerns in persons with multiple sclerosis (MS) and these differ depending on the level of mobility disability. However, the manner in which daily activity is accumulated is currently unknown in this population. Methods: A secondary analysis was performed on a combined data set of persons with MS from two previous investigations of physical activity and symptomatic or quality of life outcomes in the United States over a two year period (2007-2009). Mobility disability status was determined using the Patient Determined Disease Steps (PDDS) while activity behavior was objectively monitored using an ActiGraph accelerometer for 7. days. Results: Persons with MS who have mobility disability were involved in sedentary behavior, light and moderate intensity activity for 65%, 34% and 1% of the day, respectively compared to 60%, 37%, and 3%, respectively in those without mobility disability (p<. 0.05). Breaks in sedentary time did not differ by mobility disability status. Compared to those without mobility disability, the average number of sedentary bouts longer than 30. min was greater in those with mobility disability (p= 0.016). Conclusion: Persons with MS with mobility disability are less active, engage in more sedentary behavior and accumulate prolonged sedentary bouts. 60%). 37%). 3%). 4.3).","Article","10.1016/J.PMEDR.2015.03.007","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=22113355&id=doi:10.1016%2Fj.pmedr.2015.03.007&atitle=Mobility+disability+and+the+pattern+of+accelerometer-derived+sedentary+and+physical+activity+behaviors+in+people+with+multiple+sclerosis&stitle=Preventive+Med.+Reports&title=Preventive+Medicine+Reports&volume=2&issue=&spage=241&epage=246&aulast=Ezeugwu&aufirst=Victor&auinit=V.&aufull=Ezeugwu+V.&coden=&isbn=&pages=241-246&date=2015&auinit1=V&auinitm=","Embase"
"499","Stellmann J.P., Young K.L., Heesen C., Siemonsen S.","Mobility in primary progressive MS: Correlation of structural MRI, mobility assessments and patient reportedoutcomes","Multiple Sclerosis",2015,"Background: Mobility is one of the most valuable bodily functions in multiple sclerosis (MS). Mobility assessment, its ecological validity and its association with structural integrity of the brain and spinal cord is still a matter of discussion. Primary progressive MS (PPMS) has predominantly a neurodegenerative disease course, and investigating structural deficits without a major influence of acute inflammation is possible. Aims: To investigate the association between patient-reported outcomes (PROMs), walking tests, real life mobility assessment and structural magnetic resonance imaging (MRI). Methods: Forty PPMS patients (mean age 52.4 years, mean disease duration 6.6 years, mean Expanded Disability Status Scale (EDSS) score 3.8) performed a timed-tandem walk (TTW), a timed 25 foot walk (T25fW), a 6-minute walking test (6MWT) and answered the Hamburg quality of life questionnaire for MS (HAQUAMS), the Godin-leisure-time (GLT) and the Frenchay activities of daily living (ADL) questionnaires. From a one-week accelerometry we extracted steps and distance per day, walking speed and total movement counts. Patients underwent cerebral and spinal MRI, including T1, T2 and diffusion-tensor imaging (DTI) sequences. We used voxelbased morphometry (VBM), tract-based spatial statistics (TBSS), region of interest-based DTI analyses as well as correlation network analysis to investigate associations between outcomes. Correlation analyses were corrected for a false discovery rate of 0.05. Results: VBM and TBSS analyses revealed only a negligible association of EDSS and HAQUAMS mobility subscores with right frontal grey matter and tracts. Within a correlation network we could identify clusters of assessments. Clinical gait tests (T25fW, TTW, 6MWT) were linked to each other and moderately to EDSS, HAQUAMS and ADL. There was no significant correlation with the MRI. The number of steps, as detected with oneweek accelerometry, linked mobility to brain volume (Pearson correlation 0.4) and distance and steps correlated better with ADL (Pearson correlation ∼0.6). Out of the PROMs, only ADL were correlated with grey matter volume. Cervical spinal cord diameter and fractional anisotropy were not associated with other outcomes. Conclusion: Clinical walking tests such as T25fW and 6MWT showed a poor association with real-life mobility and MRI. Reallife mobility, PROMs and MRI might thus be applied as ecologically valid and pathophysiologically meaningful assessment network parameters for mobility in MS.","Conference Abstract","10.1177/1352458515573128","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13524585&id=doi:10.1177%2F1352458515573128&atitle=Mobility+in+primary+progressive+MS%3A+Correlation+of+structural+MRI%2C+mobility+assessments+and+patient+reportedoutcomes&stitle=Mult.+Scler.&title=Multiple+Sclerosis&volume=21&issue=4&spage=497&epage=&aulast=Stellmann&aufirst=J.P.&auinit=J.P.&aufull=Stellmann+J.P.&coden=&isbn=&pages=497-&date=2015&auinit1=J&auinitm=P","Embase"
"3232","Hoflinger, F; Zhang, R; Volk, T; Garea-Rodriguez, E; Yousaf, A; Schlumbohm, C; Krieglstein, K; Reindl, LM","Motion capture sensor to monitor movement patterns in animal models of disease","2015 IEEE 6TH LATIN AMERICAN SYMPOSIUM ON CIRCUITS & SYSTEMS (LASCAS)",2015,"In this paper we present two new motion capture sensors to monitor motoric dysfunction in laboratory animals. The parameters that are recorded by our system correspond to neurological deficits that are typical for multiple sclerosis (MS) like symptoms in animals. Normally, quantification of motor impairment requires neurological examination and complex behavioral testing. However, to perform these tests is an error-prone and time consuming process. Therefore, a strong interest exists in the automation and objective analysis of motoric behavior. Our presented small, accurate, and lightweight motion sensors provides an optimal solution for this problem. The developed motion sensors have the smallest volume and weight requirements available at the moment to monitor motoric dysfunction of animals. The collected data from the sensor is more representative since the subjective human factor is minimized and the animal can stay in its usual environment rather than being placed in a separate observation cage. We present two wireless motion sensors. An active sensor is powered with battery and saving the data on a SD-Card. The second sensor works completely passive and is powered via electromagnetic field. The sensors provide full control over the data of a three-axis accelerometer, a three-axis gyroscope, and a three-axis magnetometer. The two principles were successfully tested in an initial animal experiment.","Proceedings Paper",NA,"WOS:000380477800010","WoS"
"3131","F. Höflinger","Motion capture sensor to monitor movement patterns in animal models of disease","2015 IEEE 6th Latin American Symposium on Circuits and Systems, LASCAS 2015 - Conference Proceedings",2015,NA,"Conference Paper","10.1109/LASCAS.2015.7250413","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84945161512&origin=inward","Scopus"
"487","Göcke A.-K., Tallner A., Mäurer M.","Multiple sclerosis and social networks","European Journal of Neurology",2015,"Background and aims: Modern electronic technologies and social networks have created a huge community of internet users. In Germany >75% of the general population has internet access and the “World Wide Web” has become the most important source for health issues. Therefore we evaluated the role of social networks for health issues of MS patients. Methods: We sent out questionaires to 1554 MS Patients registered in our database. 486 individuals returned the questionnaires (32%). Questionnaires comprise questions about disease course and symptoms, internet usage (hardware, frequency, preferences) as well as depression and quality of life. Results: 89% of our cohort indicates to use the PC to access the world wide web, 56% use smartphones, but only 26% tablet computers. 52% of our patients use social networks, and more than 60% report a daily use. Among the social networks Facebook is by far the most popular platform, other providers like Xing, Instagram or Twitter are of minor importance. In addition only a minority of patients read private MSBlogs. Although a high proportion of MS patients use social networks only a minority join MS support groups on social platforms (12%) and take part in MS assistant services delivered via the Internet (4%). Conclusion: A high proportion of MS patients use social networks, in particular facebook. Actually health issues are not a primary reason to join a social network. Due to the intensive usage of social networks we believe that these networks should become an important tool for MS care centers in order to deliver health education.","Conference Abstract","10.1111/ENE.12807","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13515101&id=doi:10.1111%2Fene.12807&atitle=Multiple+sclerosis+and+social+networks&stitle=Eur.+J.+Neurol.&title=European+Journal+of+Neurology&volume=22&issue=&spage=480&epage=&aulast=G%C3%B6cke&aufirst=A.-K.&auinit=A.-K.&aufull=G%C3%B6cke+A.-K.&coden=&isbn=&pages=480-&date=2015&auinit1=A&auinitm=-K","Embase"
"512","Klaren R.E., Hubbard E.A., Motl R.W., Pilutti L.A., Wetter N.C., Sutton B.P.","Objectively Measured Physical Activity Is Associated with Brain Volumetric Measurements in Multiple Sclerosis","Behavioural Neurology",2015,"Background: Little is known about physical activity and its association with volumes of whole brain gray matter and white matter and deep gray matter structures in persons with multiple sclerosis (MS). Purpose: This study examined the association between levels of physical activity and brain volumetric measures from magnetic resonance imaging (MRI) in MS. Method: 39 persons with MS wore an accelerometer for a 7-day period and underwent a brain MRI. Normalized GM volume (NGMV), normalized WM volume (NWMV), and deep GM structures were calculated from 3D T1-weighted structural brain images. We conducted partial correlations (pr) controlling for demographic and clinical variables. Results: Moderate-to-vigorous physical activity (MVPA) was significantly associated with NGMV (pr=0.370, p<0.05), NWMV (pr=0.433, p<0.01), hippocampus (pr=0.499, p<0.01), thalamus (pr=0.380, p<0.05), caudate (pr=0.539, p<0.01), putamen (pr=0.369, p<0.05), and pallidum (pr=0.498, p<0.01) volumes, when controlling for sex, age, clinical course of MS, and Expanded Disability Status Scale score. There were no associations between sedentary and light physical activity with MRI outcomes. Conclusion: Our results provide the first evidence that MVPA is associated with volumes of whole brain GM and WM and deep GM structures that are involved in motor and cognitive functions in MS.","Article","10.1155/2015/482536","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=18758584&id=doi:10.1155%2F2015%2F482536&atitle=Objectively+Measured+Physical+Activity+Is+Associated+with+Brain+Volumetric+Measurements+in+Multiple+Sclerosis&stitle=Behav.+Neurol.&title=Behavioural+Neurology&volume=2015&issue=&spage=&epage=&aulast=Klaren&aufirst=Rachel+E.&auinit=R.E.&aufull=Klaren+R.E.&coden=BNEUE&isbn=&pages=-&date=2015&auinit1=R&auinitm=E","Embase"
"3351","M. Daumer","On the Measurement of the Disease Status in Clinical Trials: Lessons from Multiple Sclerosis","Re-Engineering Clinical Trials: Best Practices for Streamlining the Development Process",2015,NA,"Chapter","10.1016/B978-0-12-420246-7.00016-5","https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84944553110&origin=inward","Scopus"
"492","Chiauzzi E., Rodarte C., DasMahapatra P.","Patient-centered activity monitoring in the self-management of chronic health conditions","BMC Medicine",2015,"Background: As activity tracking devices become smaller, cheaper, and more consumer-accessible, they will be used more extensively across a wide variety of contexts. The expansion of activity tracking and personal data collection offers the potential for patient engagement in the management of chronic diseases. Consumer wearable devices for activity tracking have shown promise in post-surgery recovery in cardiac patients, pulmonary rehabilitation, and activity counseling in diabetic patients, among others. Unfortunately, the data generated by wearable devices is seldom integrated into programmatic self-management chronic disease regimens. In addition, there is lack of evidence supporting sustained use or effects on health outcomes, as studies have primarily focused on establishing the feasibility of monitoring activity and the association of measured activity with short-term benefits. Discussion: Monitoring devices can make a direct and real-time impact on self-management, but the validity and reliability of measurements need to be established. In order for patients to become engaged in wearable data gathering, key patient-centered issues relating to usefulness in care, motivation, the safety and privacy of information, and clinical integration need to be addressed. Because the successful usage of wearables requires an ability to comprehend and utilize personal health data, the user experience should account for individual differences in numeracy skills and apply evidence-based behavioral science principles to promote continued engagement. Summary: Activity monitoring has the potential to engage patients as advocates in their personalized care, as well as offer health care providers real world assessments of their patients' daily activity patterns. This potential will be realized as the voice of the chronic disease patients is accounted for in the design of devices, measurements are validated against existing clinical assessments, devices become part of the treatment 'prescription', behavior change programs are used to engage patients in self-management, and best practices for clinical integration are defined.","Article","10.1186/S12916-015-0319-2","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=17417015&id=doi:10.1186%2Fs12916-015-0319-2&atitle=Patient-centered+activity+monitoring+in+the+self-management+of+chronic+health+conditions&stitle=BMC+Med.&title=BMC+Medicine&volume=13&issue=1&spage=&epage=&aulast=Chiauzzi&aufirst=Emil&auinit=E.&aufull=Chiauzzi+E.&coden=&isbn=&pages=-&date=2015&auinit1=E&auinitm=","Embase"
"516","Feys P.","Potential of robot-assisted therapy for disabled persons with MS","Multiple Sclerosis",2015,"","Editorial","10.1177/1352458516632383","http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14770970&id=doi:10.1177%2F1352458516632383&atitle=Potential+of+robot-assisted+therapy+for+disabled+persons+with+MS&stitle=Mult.+Scler.&title=Multiple+Sclerosis&volume=22&issue=3&spage=264&epage=265&aulast=Feys&aufirst=Peter&auinit=P.&aufull=Feys+P.&coden=MUSCF&isbn=&pages=264-265&date=2015&auinit1=P&auinitm=","Embase"
