"";"Author.Names";"Title";"Source.title";"Publication.Year";"Abstract";"Publication.Type";"DOI";"ID";"database";"yvonne_included";"yvonne_excluded";"yvonne_comments";"catherine_included";"catherine_excluded";"catherine_comment";"johannes_included";"johannes_comment";"tim_included";"tim_comment";"team_decision"
"577";"Jurisic Skevin, A; Filipovic, N; Mijailovic, N; Divjak, A; Nurkovic, J; Radakovic, R; Gacic, M; Grbovic, V";"Gait Analysis using Wearable Sensors with Multiple Sclerosis Patients";"TEHNICKI VJESNIK-TECHNICAL GAZETTE";2018;"In this study we investigated gait measurement with wearable sensor for subjects with and without multiple sclerosis (MS) and evaluation gait function.The gait function was measured with Avatar sensors system in 3 patients with MS and in 3 healthy subjects without MS. The system consists of a main sensor node and three additional fixtures. Each sensor node is wearing three-axial accelerometer and two-axis gyroscope. Cross-correlation analysis with the walk signal was applied.Coefficient values from cross-correlation are determined for all 6 subjects. Then for a new unknown subject the cross-correlation was applied and the mean value cross-correlation for healthy subjects was 0.0477, while in MS subjects this value was 0.0207. A proven validation for this small training system has shown the evidence for different gait analysis for MS and healthy subjects.This small study opens a new avenue for clinical diagnosis of potential MS subjects while wearable sensor can provide an objective framework for assessing gait abnormality. The measured data can provide better understanding on the progression of the disease and response to treatment.";"Article";"10.17559/TV-20170603222557";"WOS:000445262900014";"WoS";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"578";"Refai M.I.M., van Beijnum B.F., Buurke J.H., Veltink P.H.";"Gait and Dynamic Balance Sensing Using Wearable Foot Sensors";"IEEE Transactions on Neural Systems and Rehabilitation Engineering";2018;"Remote monitoring of gait performance offers possibilities for objective evaluation, and tackling impairment in motor ability, gait, and balance in populations such as elderly, stroke, multiple sclerosis, Parkinson&#x2019;s, etc. This requires a wearable and unobtrusive system capable of estimating ambulatory gait and balance measures, such as Extrapolated Centre of Mass (XCoM) and dynamic Margin of Stability (MoS). These estimations require knowledge of 3D forces and moments (F&#x0026;M), and accurate foot positions. Though an existing Ambulatory Gait and Balance System (AGBS) consisting of 3D F&#x0026;M sensors, and inertial measurement units (IMUs) can be used for the purpose, it is bulky and conspicuous. Resistive pressure sensors were investigated as an alternative to the onboard 3D F&#x0026;M sensors. Subject specific regression models were built to estimate 3D F&#x0026;M from 1D plantar pressures. The model was applicable for different walking speeds. Different pressure sensor configurations were studied to optimise system complexity and accuracy. Using resistive sensors only under the toe and heel, we were able to estimate the XCoM with a mean absolute RMS error of 2.2&#x00B1;0.3 cm in the walking direction while walking at a preferred speed, when compared to the AGBS. For the same case, the XCoM was classified as ahead or behind the Base of Support correctly at 97.7 &#x00B1; 1.7%. In conclusion, the study shows that pressure sensors, minimally under the heel and toe, offer a lightweight and inconspicuous alternative for F&#x0026;M sensing, towards estimating ambulatory gait and dynamic balance.";"Article in Press";"10.1109/TNSRE.2018.2885309";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=15344320&id=doi:10.1109%2FTNSRE.2018.2885309&atitle=Gait+and+Dynamic+Balance+Sensing+Using+Wearable+Foot+Sensors&stitle=IEEE+Trans.+Neural+Syst.+Rehabil.+Eng.&title=IEEE+Transactions+on+Neural+Systems+and+Rehabilitation+Engineering&volume=&issue=&spage=&epage=&aulast=Refai&aufirst=Mohamed+Irfan+Mohamed&auinit=M.I.M.&aufull=Refai+M.I.M.&coden=ITNSB&isbn=&pages=-&date=2018&auinit1=M&auinitm=I.M.";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"579";"Boukhvalova A.K., Kowalczyk E., Harris T., Kosa P., Wichman A., Sandford M.A., Memon A., Bielekova B.";"Identifying and quantifying neurological disability via smartphone";"Frontiers in Neurology";2018;"Embedded sensors of the smartphones offer opportunities for granular, patient-autonomous measurements of neurological dysfunctions for disease identification, management, and for drug development. We hypothesized that aggregating data from two simple smartphone tests of fine finger movements with differing contribution of specific neurological domains (i.e., strength & cerebellar functions, vision, and reaction time) will allow establishment of secondary outcomes that reflect domain-specific deficit. This hypothesis was tested by assessing correlations of smartphone-derived outcomes with relevant parts of neurological examination in multiple sclerosis (MS) patients. We developed MS test suite on Android platform, consisting of several simple functional tests. This paper compares cross-sectional and longitudinal performance of Finger tapping and Balloon popping tests by 76 MS patients and 19 healthy volunteers (HV). The primary outcomes of smartphone tests, the average number of taps (per two 10-s intervals) and the average number of pops (per two 26-s intervals) differentiated MS from HV with similar power to traditional, investigator-administered test of fine finger movements, 9-hole peg test (9HPT). Additionally, the secondary outcomes identified patients with predominant cerebellar dysfunction, motor fatigue and poor eye-hand coordination and/or reaction time, as evidenced by significant correlations between these derived outcomes and relevant parts of neurological examination. The intra-individual variance in longitudinal sampling was low. In the time necessary for performing 9HPT, smartphone tests provide much richer and reliable measurements of several distinct neurological functions. These data suggest that combing more creatively-construed smartphone apps may one day recreate the entire neurological examination.";"Article";"10.3389/FNEUR.2018.00740";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=16642295&id=doi:10.3389%2Ffneur.2018.00740&atitle=Identifying+and+quantifying+neurological+disability+via+smartphone&stitle=Front.+Neurol.&title=Frontiers+in+Neurology&volume=9&issue=SEP&spage=&epage=&aulast=Boukhvalova&aufirst=Alexandra+K.&auinit=A.K.&aufull=Boukhvalova+A.K.&coden=&isbn=&pages=-&date=2018&auinit1=A&auinitm=K";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"581";"Carpinella I., Gervasoni E., Anastasi D., Lencioni T., Cattaneo D., Ferrarin M.";"Instrumental Assessment of Stair Ascent in People with Multiple Sclerosis, Stroke, and Parkinson's Disease: A Wearable-Sensor-Based Approach";"IEEE Transactions on Neural Systems and Rehabilitation Engineering";2018;"Stair ascent is a challenging daily-life activity highly related to independence. This task is usually assessed with clinical scales suffering from partial subjectivity and limited detail in evaluating different task aspects. In this paper, we instrumented the assessment of stair ascent in people with multiple sclerosis (MS), stroke (ST), and Parkinson's disease (PD) to analyze the validity of the proposed quantitative indexes and characterize subjects' performances. Participants climbed 10 steps wearing a magneto-inertial sensor [magneto-inertial measurement unit (MIMU)] at sternum level. Gait pattern features (step frequency, symmetry, regularity, and harmonic ratios), and upper trunk sway were computed from MIMU signals. Clinical modified dynamic gait index (mDGI) and mDGI-Item 8 'Up stairs' were administered. Significant correlations with clinical scores were found for gait pattern features (rs≥ 0.536) and trunk pitch sway (rs≤-0.367) demonstrating their validity. Instrumental indexes showed alterations in the three pathological groups compared to healthy subjects and significant differences, not clinically detected, among MS, ST, and PD. MS showed the worst performance, with alterations of all gait pattern aspects and larger trunk pitch sway. ST showed worsening in gait pattern features but not in trunk motion. PD showed fewer alterations consisting in reduced step frequency and trunk yaw sway. These results suggest that the use of an MIMU provided valid objective indexes revealing between-group differences in stair ascent not detected by clinical scales. Importantly, the indexes include upper trunk measures, usually not present in clinical tests, and provide relevant hints for tailored rehabilitation.";"Article";"10.1109/TNSRE.2018.2881324";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=15344320&id=doi:10.1109%2FTNSRE.2018.2881324&atitle=Instrumental+Assessment+of+Stair+Ascent+in+People+with+Multiple+Sclerosis%2C+Stroke%2C+and+Parkinson%27s+Disease%3A+A+Wearable-Sensor-Based+Approach&stitle=IEEE+Trans.+Neural+Syst.+Rehabil.+Eng.&title=IEEE+Transactions+on+Neural+Systems+and+Rehabilitation+Engineering&volume=26&issue=12&spage=2324&epage=2332&aulast=Carpinella&aufirst=Ilaria&auinit=I.&aufull=Carpinella+I.&coden=ITNSB&isbn=&pages=2324-2332&date=2018&auinit1=I&auinitm=";"Embase";"Yes";"";"";"yes";"";"Conference paper with sufficient data";NA;NA;NA;NA;NA
"583";"Sirhan B., Frid L., Kalron A.";"Is the dual-task cost of walking and texting unique in people with multiple sclerosis?";"Journal of Neural Transmission";2018;"The objective of the study was to investigate cognitive-motor interference of walking while texting in people with multiple sclerosis (PwMS). The study included 30 PwMS, mean disease duration 11.8 (SD = 6.8) years, and 15 healthy controls. The investigation included a cognitive assessment; texting assessment based on 100 typed characters; and gait assessment under two different conditions: normal walking and walking while texting. Outcome measures included the Symbol Digit Modalities Test to assess cognition. Texting measures included accuracy (%) and duration(s). Gait was assessed with axial accelerometers to quantify temporal measures. The dual-task cost percentage for the walking tests and texting accuracy was determined by calculating the percentage change from a single task to a double task. The impact of texting while walking on gait measures was significantly higher in PwMS; furthermore, texting was less accurate compared to the healthy controls. The dual-task cost for texting accuracy in the PwMS group was 153.3 (SD = 105.7) compared to 8.9 (SD = 26.6) in the healthy group. A significant association was found solely in the PwMS group between cognition and texting accuracy while in a sitting position (R(2) = 0.564) and while walking (R(2) = 0.534). The dual-task cost of walking and texting appears to be unique in the MS population.";"Article";"10.1007/S00702-018-1939-4";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14351463&id=doi:10.1007%2Fs00702-018-1939-4&atitle=Is+the+dual-task+cost+of+walking+and+texting+unique+in+people+with+multiple+sclerosis%3F&stitle=J.+Neural+Transm.&title=Journal+of+Neural+Transmission&volume=125&issue=12&spage=1829&epage=1835&aulast=Sirhan&aufirst=Bilal&auinit=B.&aufull=Sirhan+B.&coden=JNTRF&isbn=&pages=1829-1835&date=2018&auinit1=B&auinitm=";"Embase";"No";"Out of scope (topic)";"";"yes";"";"";"Included";"";"Out of scope (topic)";"";"in"
"589";"S. Bhattacharya";"Monitoring daily activities of multiple sclerosis patients with connected health devices";"UbiComp/ISWC 2018 - Adjunct Proceedings of the 2018 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2018 ACM International Symposium on Wearable Computers";2018;NA;"Conference Paper";"10.1145/3267305.3267682";"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85058321052&origin=inward";"Scopus";"No";"Out of scope (outcomes)/Teamdiscussion";"";"yes";"";"Conference paper with sufficient data";"Included";"";"included";"accelerometer used as outcome measure";NA
"591";"Smith V.M.J., Varsanik J.S., Walker R.A., Russo A.W., Patel K.R., Gabel W., Phillips G.A., Kimmel Z.M., Klawiter E.C.";"Movement measurements at home for multiple sclerosis: Walking speed measured by a novel ambient measurement system";"Multiple Sclerosis Journal - Experimental, Translational and Clinical";2018;"Background: Gait disturbance is a major contributor to clinical disability in multiple sclerosis (MS). A sensor was developed to assess walking speed at home for people with MS using infrared technology in real-time without the use of wearables. Objective: To develop continuous in-home outcome measures to assess gait in adults with MS. Methods: Movement measurements were collected continuously for 8 months from six people with MS. Average walking speed and peak walking speed were calculated from movement data, then analyzed for variability over time, by room (location), and over the course of the day. In-home continuous gait outcomes and variability were correlated with standard in-clinic gait outcomes. Results: Measured in-home average walking speed of participants ranged from 0.33 m/s to 0.96 m/s and peak walking speed ranged from 0.89 m/s to 1.51 m/s. Mean total within-participant coefficient of variation for daily average walking speed and peak walking speed were 10.75% and 10.93%, respectively. Average walking speed demonstrated a moderately strong correlation with baseline Timed 25-Foot Walk (r(s) = 0.714, P ¼ 0.111). Conclusion: New non-wearable technology provides reliable and continuous in-home assessment of walking speed.";"Article";"10.1177/2055217317753465";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=20552173&id=doi:10.1177%2F2055217317753465&atitle=Movement+measurements+at+home+for+multiple+sclerosis%3A+Walking+speed+measured+by+a+novel+ambient+measurement+system&stitle=Mult.+Scler.+J.+Exp.+Transl.+Clin.&title=Multiple+Sclerosis+Journal+-+Experimental%2C+Translational+and+Clinical&volume=4&issue=1&spage=&epage=&aulast=Smith&aufirst=Victoria+M.+J.&auinit=V.M.J.&aufull=Smith+V.M.J.&coden=&isbn=&pages=-&date=2018&auinit1=V&auinitm=M.J.";"Embase";"Yes";"";"Wearable Sensor?";"yes";"";"";NA;NA;NA;NA;NA
"604";"Cederberg K.L., Motl R.W., McAuley E.";"Physical Activity, Sedentary Behavior, and Physical Function in Older Adults With Multiple Sclerosis";"Journal of aging and physical activity";2018;"Older adults with multiple sclerosis (MS) experience the combined effects of aging and a chronic, disabling neurological disease on physical activity, sedentary behavior, and physical function. This study examined associations among light and moderate-to-vigorous physical activity (LPA and MVPA), sedentary behavior, and physical function in older adults with MS. Forty older adults with MS (median age = 60 years) who had a median Expanded Disability Status Scale score of 4.5 wore an accelerometer for a 7-day period and completed the Short Physical Performance Battery (SBBP), 6-minute walk (6MW), and timed 25-foot walk (T25FW). LPA was associated with SPPB (rs = .551, p < 0.01), 6MW (rs = .660, p < 0.01), and T25FW (rs = .623, p < 0.01) scores; MVPA was associated with 6MW (rs = .529, p < 0.01) and T25FW (rs = .403, p < 0.01) scores. There were significant associations between LPA, but not MVPA, with SPPB (β = .583, p < 0.01), 6MW (β = .613, p < 0.01), and T25FW (β = .627, p < 0.01) scores in linear regression analyses. Older adults with MS who engaged in more LPA demonstrated better physical function and therefore LPA might be a target of future behavioral interventions.";"Article";"10.1123/JAPA.2016-0358";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=1543267X&id=doi:10.1123%2Fjapa.2016-0358&atitle=Physical+Activity%2C+Sedentary+Behavior%2C+and+Physical+Function+in+Older+Adults+With+Multiple+Sclerosis&stitle=J+Aging+Phys+Act&title=Journal+of+aging+and+physical+activity&volume=26&issue=2&spage=177&epage=182&aulast=Cederberg&aufirst=Katie+L.&auinit=K.L.&aufull=Cederberg+K.L.&coden=&isbn=&pages=177-182&date=2018&auinit1=K&auinitm=L";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"610";"Engelhard M.M., Patek S.D., Lach J.C., Goldman M.D.";"Real-world walking in multiple sclerosis: Separating capacity from behavior";"Gait and Posture";2018;"Background Habitual physical activity (HPA) measurement addresses the impact of MS on real-world walking, yet its interpretation is confounded by the competing influences of MS-associated walking capacity and physical activity behaviors. Objective To develop specific measures of MS-associated walking capacity through statistically sophisticated HPA analysis, thereby more precisely defining the real-world impact of disease. Methods Eighty-eight MS and 38 control subjects completed timed walks and patient-reported outcomes in clinic, then wore an accelerometer for 7 days. HPA was analyzed with several new statistics, including the maximum step rate (MSR) and habitual walking step rate (HWSR), along with conventional methods, including average daily steps. HPA statistics were validated using clinical walking outcomes. Results The six-minute walk (6MW) step rate correlated most strongly with MSR (r = 0.863, p < 10(−25)) and HWSR (r = 0.815, p < 10(−11)) rather than average daily steps (r = 0.676, p < 10(−11)). The combination of MSR and HWSR correlated more strongly with the 6 MW step rate than either measure alone (r = 0.884, p < 10(−14)). The MSR overestimated the 6 MW step rate (μ = 10.4, p < 10(−7)), whereas the HWSR underestimated it (μ = −18.2, p < 10(−19)). Conclusions Conventional HPA statistics are poor measures of capacity due to variability in activity behaviors. The MSR and HWSR are valid, specific measures of real-world capacity which capture subjects’ highest step rate and preferred step rate, respectively.";"Article";"10.1016/J.GAITPOST.2017.10.015";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=18792219&id=doi:10.1016%2Fj.gaitpost.2017.10.015&atitle=Real-world+walking+in+multiple+sclerosis%3A+Separating+capacity+from+behavior&stitle=Gait+Posture&title=Gait+and+Posture&volume=59&issue=&spage=211&epage=216&aulast=Engelhard&aufirst=Matthew+M.&auinit=M.M.&aufull=Engelhard+M.M.&coden=GAPOF&isbn=&pages=211-216&date=2018&auinit1=M&auinitm=M";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"612";"Supratak A., Datta G., Gafson A.R., Nicholas R., Guo Y., Matthews P.M.";"Remote monitoring in the home validates clinical gait measures for multiple sclerosis";"Frontiers in Neurology";2018;"Background: The timed 25-foot walk (T25FW) is widely used as a clinic performance measure, but has yet to be directly validated against gait speed in the home environment. Objectives: To develop an accurate method for remote assessment of walking speed and to test how predictive the clinic T25FW is for real-life walking. Methods: An AX3-Axivity tri-axial accelerometer was positioned on 32 MS patients (Expanded Disability Status Scale [EDSS] 0-6) in the clinic, who subsequently wore it at home for up to 7 days. Gait speed was calculated from these data using both a model developed with healthy volunteers and individually personalized models generated from a machine learning algorithm. Results: The healthy volunteer model predicted gait speed poorly for more disabled people with MS. However, the accuracy of individually personalized models was high regardless of disability (R-value = 0.98, p-value = 1.85 × 10(-22)). With the latter, we confirmed that the clinic T25FW is strongly predictive of the maximum sustained gait speed in the home environment (R-value = 0.89, p-value = 4.34 × 10(-8)). Conclusion: Remote gait monitoring with individually personalized models is accurate for patients with MS. Using these models, we have directly validated the clinical meaningfulness (i.e., predictiveness) of the clinic T25FW for the first time.";"Article";"10.3389/FNEUR.2018.00561";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=16642295&id=doi:10.3389%2Ffneur.2018.00561&atitle=Remote+monitoring+in+the+home+validates+clinical+gait+measures+for+multiple+sclerosis&stitle=Front.+Neurol.&title=Frontiers+in+Neurology&volume=9&issue=JUL&spage=&epage=&aulast=Supratak&aufirst=Akara&auinit=A.&aufull=Supratak+A.&coden=&isbn=&pages=-&date=2018&auinit1=A&auinitm=";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"620";"Pau M., Corona F., Pilloni G., Porta M., Coghe G., Cocco E.";"Texting while walking differently alters gait patterns in people with multiple sclerosis and healthy individuals";"Multiple Sclerosis and Related Disorders";2018;"Background In recent times, increasing safety concerns have been associated with the use of mobile phones by pedestrians. In particular, texting has been shown to significantly alter gait patterns. However, no specific investigations have been performed on people with Multiple Sclerosis (pwMS), who are already characterized by gait dysfunctions caused by the disease. Objective To assess the existence of possible alterations in spatio-temporal parameters of gait in pwMS when simultaneously texting on a smartphone and walking. Methods Fifty-four pwMS (mean age 40.5 ± 10.5) and 40 age-matched unaffected individuals were tested in two conditions: walking, and walking while texting on a smartphone. Spatio-temporal parameters of gait were assessed using a wearable accelerometer located on the lower back. Results Texting induces reduction of gait speed, stride length and cadence in both groups, but such changes were smaller in magnitude in pwMS. An increase of stance and double support and reduction of swing phase were observed in pwMS only. Conclusions Texting alters gait patterns of pwMS differently from unaffected individuals, probably due to a different prioritization of the task, which appears to take into account the motor and sensory impairments associated with the disease by favoring the motor task.";"Article";"10.1016/J.MSARD.2017.11.021";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=22110356&id=doi:10.1016%2Fj.msard.2017.11.021&atitle=Texting+while+walking+differently+alters+gait+patterns+in+people+with+multiple+sclerosis+and+healthy+individuals&stitle=Mult.+Scler.+Relat.+Disord.&title=Multiple+Sclerosis+and+Related+Disorders&volume=19&issue=&spage=129&epage=133&aulast=Pau&aufirst=Massimiliano&auinit=M.&aufull=Pau+M.&coden=&isbn=&pages=129-133&date=2018&auinit1=M&auinitm=";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"623";"Witchel H.J., Oberndorfer C., Needham R., Healy A., Westling C.E.I., Guppy J.H., Bush J., Barth J., Herberz C., Roggen D., Eskofier B.M., Rashid W., Chockalingam N., Klucken J.";"Thigh-derived inertial sensor metrics to assess the sit-to-stand and stand-to-sit transitions in the timed up and go (TUG) Task for quantifying mobility impairment in multiple sclerosis";"Frontiers in Neurology";2018;"Introduction: Inertial sensors generate objective and sensitive metrics of movement disability that may indicate fall risk in many clinical conditions including multiple sclerosis (MS). The Timed-Up-And-Go (TUG) task is used to assess patient mobility because it incorporates clinically-relevant submovements during standing. Most sensor-based TUG research has focused on the placement of sensors at the spine, hip or ankles; an examination of thigh activity in TUG in multiple sclerosis is wanting. Methods: We used validated sensors (x-IMU by x-io) to derive transparent metrics for the sit-to-stand (SI-ST) transition and the stand-to-sit (ST-SI) transition of TUG, and compared effect sizes for metrics from inertial sensors on the thighs to effect sizes for metrics from a sensor placed at the L3 level of the lumbar spine. Twenty-three healthy volunteers were compared to 17 ambulatory persons with MS (PwMS, HAI = 2). Results: During the SI-ST transition, the metric with the largest effect size comparing healthy volunteers to PwMS was the Area Under the Curve of the thigh angular velocity in the pitch direction-representing both thigh and knee extension; the peak of the spine pitch angular velocity during SI-ST also had a large effect size, as did some temporal measures of duration of SI-ST, although less so. During the ST-SI transition the metric with the largest effect size in PwMS was the peak of the spine angular velocity curve in the roll direction. A regression was performed. Discussion: We propose for PwMS that the diminished peak angular velocity during SI-ST directly represents extensor weakness, while the increased roll during ST-SI represents diminished postural control. Conclusions: During the SI-ST transition of TUG, angular velocities can discriminate between healthy volunteers and ambulatory PwMS better than temporal features. Sensor placement on the thighs provides additional discrimination compared to sensor placement at the lumbar spine.";"Article";"10.3389/FNEUR.2018.00684";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=16642295&id=doi:10.3389%2Ffneur.2018.00684&atitle=Thigh-derived+inertial+sensor+metrics+to+assess+the+sit-to-stand+and+stand-to-sit+transitions+in+the+timed+up+and+go+%28TUG%29+Task+for+quantifying+mobility+impairment+in+multiple+sclerosis&stitle=Front.+Neurol.&title=Frontiers+in+Neurology&volume=9&issue=SEP&spage=&epage=&aulast=Witchel&aufirst=Harry+J.&auinit=H.J.&aufull=Witchel+H.J.&coden=&isbn=&pages=-&date=2018&auinit1=H&auinitm=J";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"625";"S. Dandu";"Understanding the physiological significance of four inertial gait features in multiple sclerosis";"IEEE Journal of Biomedical and Health Informatics";2018;NA;"Article";"10.1109/JBHI.2017.2773629";"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85040374610&origin=inward";"Scopus";"No";"Out of scope (topic)";"";"yes";"";"";"Included";"";"included";"";NA
"629";"Motl R.W., Bollaert R.E., Sandroff B.M.";"Validation of the godin leisure-time exercise questionnaire classification coding system using accelerometry in multiple sclerosis";"Rehabilitation Psychology";2018;"Objective: There have been recent efforts toward creating a health contribution score (HCS) from the Godin Leisure-Time Exercise Questionnaire (GLTEQ) that reflects public-health guidelines for levels of moderate-to-vigorous physical activity (MVPA). The HCS yields categories of insufficiently active (less substantial or low benefits), moderately active (some benefits), and active (substantial benefits). The present study examined the validity of the GLTEQ HCS and its categories as reflecting levels of MVPA in multiple sclerosis (MS). Method: The sample included 684 persons with MS. Participants wore an accelerometer on an elastic belt around the waist above the nondominant hip during the waking hours of the day over a 7-day period and completed the GLTEQ. Results: The data analyses supported a large correlation between the GLTEQ HCS and accelerometer-measured MVPA, r = .46, p ≤ .0001, but small correlations with accelerometer-measured light physical activity (LPA), r = .16, p ≤ .001 and sedentary time, r =-.13, p = .001. There further was a large difference in accelerometer-measured MVPA between categories of physical activity levels (i.e., insufficiently active vs. active) based on the GLTEQ HCS (d = 0.89), but small differences in LPA (d = 0.39) and sedentary time (d=-0.31). Those results were unchanged in additional data analyses accounting for LPA and sedentary behavior. Conclusions: The GLTEQ HCS and categories primarily reflect MVPA rather than LPA and sedentary behavior in persons with MS.";"Article";"10.1037/REP0000162";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=19391544&id=doi:10.1037%2Frep0000162&atitle=Validation+of+the+godin+leisure-time+exercise+questionnaire+classification+coding+system+using+accelerometry+in+multiple+sclerosis&stitle=Rehabil.+Psychol.&title=Rehabilitation+Psychology&volume=63&issue=1&spage=77&epage=82&aulast=Motl&aufirst=Robert+W.&auinit=R.W.&aufull=Motl+R.W.&coden=RHBPB&isbn=&pages=77-82&date=2018&auinit1=R&auinitm=W";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"630";"A. Kuusik";"Wearable m-assessment system for neurological disease patients";"IEEE World Forum on Internet of Things, WF-IoT 2018 - Proceedings";2018;NA;"Conference Paper";"10.1109/WF-IOT.2018.8355165";"https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85050394059&origin=inward";"Scopus";"No";"Abstract";"";"yes";"";"Conference paper with sufficient data";"Included";"";"Out of scope (outcomes)";"";"in"
"632";"Psarakis M., Greene D.A., Cole M.H., Lord S.R., Hoang P., Brodie M.";"Wearable technology reveals gait compensations, unstable walking patterns and fatigue in people with multiple sclerosis";"Physiological measurement";2018;"OBJECTIVE: People with multiple sclerosis (PwMS) often experience a decline in gait performance, which can compromise their independence and increase falls. Ankle joint contractures in PwMS are common and often result in compensatory gait patterns to accommodate reduced ankle range of motion (ROM). APPROACH: Using advances in wearable technology, the aim of this study was to quantify head and pelvis movement patterns that occur in PwMS with disability and determine how these secondary gait compensations impact on gait stability. Twelve healthy participants and 12 PwMS participated in the study. Head and pelvis movements were measured using two tri-axial accelerometers. Measures of gait compensation, mobility, variability, asymmetry, stability and fatigue were assessed during a 6 min walking test. MAIN RESULTS: Compared to healthy controls, PwMS had greater vertical asymmetry in their head and pelvic movements (Cohen's d  =  1.85 and 1.60). Lower harmonic ratios indicated that PwMS were more unstable than controls (Cohen's d  =  -1.61 to  -3.06), even after adjusting for their slower walking speeds. In the PwMS, increased compensatory movements were correlated with reduced ankle active ROM (r  =  -0.71), higher disability (EDSS) scores (r  =  0.58), unstable gait (r  =  -0.76), reduced mobility (r  =  -0.76) and increased variability (r  =  0.83). SIGNIFICANCE: Wearable device technology provides an efficient and reliable way to screen for excessive compensatory movements often present in PwMS and provides clinically important information that impacts on mobility, stride time variability and gait stability. This information may help clinicians identify PwMS at high risk of falling and develop better rehabilitation interventions that, in addition to improving mobility, may help target the underlying causes of unstable gait.";"Article";"10.1088/1361-6579/AAC0A3";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=13616579&id=doi:10.1088%2F1361-6579%2Faac0a3&atitle=Wearable+technology+reveals+gait+compensations%2C+unstable+walking+patterns+and+fatigue+in+people+with+multiple+sclerosis&stitle=Physiol+Meas&title=Physiological+measurement&volume=39&issue=7&spage=075004&epage=&aulast=Psarakis&aufirst=Michael&auinit=M.&aufull=Psarakis+M.&coden=&isbn=&pages=075004-&date=2018&auinit1=M&auinitm=";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
"633";"Bernhard F.P., Sartor J., Bettecken K., Hobert M.A., Arnold C., Weber Y.G., Poli S., Margraf N.G., Schlenstedt C., Hansen C., Maetzler W.";"Wearables for gait and balance assessment in the neurological ward - study design and first results of a prospective cross-sectional feasibility study with 384 inpatients";"BMC Neurology";2018;"Background: Deficits in gait and balance are common among neurological inpatients. Currently, assessment of these patients is mainly subjective. New assessment options using wearables may provide complementary and more objective information. Methods: In this prospective cross-sectional feasibility study performed over a four-month period, all patients referred to a normal neurology ward of a university hospital and aged between 40 and 89years were asked to participate. Gait and balance deficits were assessed with wearables at the ankles and the lower back. Frailty, sarcopenia, Parkinsonism, depression, quality of life, fall history, fear of falling, physical activity, and cognition were evaluated with questionnaires and surveys. Results: Eighty-two percent (n=384) of all eligible patients participated. Of those, 39% (n=151) had no gait and balance deficit, 21% (n=79) had gait deficits, 11% (n=44) had balance deficits and 29% (n=110) had gait and balance deficits. Parkinson's disease, stroke, epilepsy, pain syndromes, and multiple sclerosis were the most common diseases. The assessment was well accepted. Conclusions: Our study suggests that the use of wearables for the assessment of gait and balance features in a clinical setting is feasible. Moreover, preliminary results confirm previous epidemiological data about gait and balance deficits among neurological inpatients. Evaluation of neurological inpatients with novel wearable technology opens new opportunities for the assessment of predictive, progression and treatment response markers.";"Article";"10.1186/S12883-018-1111-7";"http://sfx.metabib.ch/sfx_locater?sid=EMBASE&issn=14712377&id=doi:10.1186%2Fs12883-018-1111-7&atitle=Wearables+for+gait+and+balance+assessment+in+the+neurological+ward+-+study+design+and+first+results+of+a+prospective+cross-sectional+feasibility+study+with+384+inpatients&stitle=BMC+Neurol.&title=BMC+Neurology&volume=18&issue=1&spage=&epage=&aulast=Bernhard&aufirst=Felix+P.&auinit=F.P.&aufull=Bernhard+F.P.&coden=BNMEC&isbn=&pages=-&date=2018&auinit1=F&auinitm=P";"Embase";"Yes";"";"";"yes";"";"";NA;NA;NA;NA;NA
